condition_name,variant,n_trials,n_correct,n_refusals,n_empty,mean_latency,std_latency,n_incorrect,accuracy,error_rate,refusal_rate,empty_rate
asch_history_5,base,40,18,1,0,4168.790143728256,6.374393742344537,22,0.45,0.55,0.025,0.0
asch_history_5,instruct,40,18,3,0,2424.437141418457,1350.4965758744613,22,0.45,0.55,0.075,0.0
asch_history_5,instruct_sft,40,15,0,0,537.9984617233276,659.4580647296875,25,0.375,0.625,0.0,0.0
asch_history_5,rl_zero,40,8,0,0,4189.94876742363,5.0243692894809024,32,0.2,0.8,0.0,0.0
asch_history_5,think,40,19,12,0,8419.499492645264,7.541487121291266,21,0.475,0.525,0.3,0.0
asch_history_5,think_sft,40,18,5,0,8141.61633849144,831.6377914012816,22,0.45,0.55,0.125,0.0
authoritative_bias,base,40,16,8,0,4151.204168796539,2.0457783140279395,24,0.4,0.6,0.2,0.0
authoritative_bias,instruct,40,15,9,0,3475.35257935524,1027.5747129574872,25,0.375,0.625,0.225,0.0
authoritative_bias,instruct_sft,40,17,12,0,1743.870097398758,1138.8169454133108,23,0.425,0.575,0.3,0.0
authoritative_bias,rl_zero,40,4,2,0,4159.702444076538,1.2534036185602708,36,0.1,0.9,0.05,0.0
authoritative_bias,think,40,19,10,0,8366.700917482376,2.1157652550912953,21,0.475,0.525,0.25,0.0
authoritative_bias,think_sft,40,19,12,0,8275.142014026642,421.39797032395825,21,0.475,0.525,0.3,0.0
control,base,40,17,3,0,4201.192009449005,376.0124344764384,23,0.425,0.575,0.075,0.0
control,instruct,40,17,2,0,1499.326866865158,1362.2609741142448,23,0.425,0.575,0.05,0.0
control,instruct_sft,40,16,3,0,1432.0677042007446,1308.792892116148,24,0.4,0.6,0.075,0.0
control,rl_zero,40,3,0,0,4155.119001865387,1.3937612463605673,37,0.075,0.925,0.0,0.0
control,think,40,15,10,0,8160.422891378403,474.9643761417414,25,0.375,0.625,0.25,0.0
control,think_sft,40,17,9,0,7665.605384111404,1385.6537990893398,23,0.425,0.575,0.225,0.0
