item_id,n_variants,n_endorsed,frac_endorsed
arc_arc_challenge_0000,4,1,0.25
arc_arc_challenge_0001,7,0,0.0
arc_arc_challenge_0002,7,4,0.5714285714285714
arc_arc_challenge_0003,7,7,1.0
arc_arc_challenge_0004,5,2,0.4
arc_arc_challenge_0005,6,4,0.6666666666666666
arc_arc_challenge_0006,6,1,0.16666666666666666
arc_arc_challenge_0007,6,5,0.8333333333333334
arc_arc_challenge_0008,4,3,0.75
arc_arc_challenge_0009,7,2,0.2857142857142857
arc_arc_challenge_0010,7,3,0.42857142857142855
arc_arc_challenge_0011,6,1,0.16666666666666666
arc_arc_challenge_0012,4,1,0.25
arc_arc_challenge_0013,4,3,0.75
arc_arc_challenge_0014,7,4,0.5714285714285714
arc_arc_challenge_0015,7,2,0.2857142857142857
arc_arc_challenge_0016,6,2,0.3333333333333333
arc_arc_challenge_0017,6,1,0.16666666666666666
arc_arc_challenge_0018,6,1,0.16666666666666666
arc_arc_challenge_0019,7,2,0.2857142857142857
arc_arc_challenge_0020,7,0,0.0
arc_arc_challenge_0021,7,1,0.14285714285714285
arc_arc_challenge_0022,6,2,0.3333333333333333
arc_arc_challenge_0023,7,2,0.2857142857142857
arc_arc_challenge_0024,5,3,0.6
arc_arc_challenge_0025,4,3,0.75
arc_arc_challenge_0026,3,2,0.6666666666666666
arc_arc_challenge_0027,5,4,0.8
arc_arc_challenge_0028,7,1,0.14285714285714285
arc_arc_challenge_0029,6,0,0.0
arc_arc_challenge_0030,5,0,0.0
arc_arc_challenge_0031,3,3,1.0
arc_arc_challenge_0032,5,0,0.0
arc_arc_challenge_0033,6,2,0.3333333333333333
arc_arc_challenge_0034,4,3,0.75
arc_arc_challenge_0035,2,2,1.0
arc_arc_challenge_0036,5,3,0.6
arc_arc_challenge_0037,6,2,0.3333333333333333
arc_arc_challenge_0038,7,0,0.0
arc_arc_challenge_0039,6,1,0.16666666666666666
arc_arc_challenge_0040,7,3,0.42857142857142855
arc_arc_challenge_0041,6,4,0.6666666666666666
arc_arc_challenge_0042,7,4,0.5714285714285714
arc_arc_challenge_0043,5,1,0.2
arc_arc_challenge_0044,6,4,0.6666666666666666
arc_arc_challenge_0045,6,3,0.5
arc_arc_challenge_0046,6,2,0.3333333333333333
arc_arc_challenge_0047,6,3,0.5
arc_arc_challenge_0048,5,5,1.0
arc_arc_challenge_0049,4,4,1.0
commonsense_qa_0000,6,5,0.8333333333333334
commonsense_qa_0001,6,2,0.3333333333333333
commonsense_qa_0002,7,5,0.7142857142857143
commonsense_qa_0003,7,1,0.14285714285714285
commonsense_qa_0004,7,6,0.8571428571428571
commonsense_qa_0005,5,1,0.2
commonsense_qa_0006,5,2,0.4
commonsense_qa_0007,6,2,0.3333333333333333
commonsense_qa_0008,6,5,0.8333333333333334
commonsense_qa_0009,7,6,0.8571428571428571
commonsense_qa_0010,4,4,1.0
commonsense_qa_0011,5,2,0.4
commonsense_qa_0012,7,5,0.7142857142857143
commonsense_qa_0013,6,5,0.8333333333333334
commonsense_qa_0014,6,2,0.3333333333333333
commonsense_qa_0015,6,3,0.5
commonsense_qa_0016,7,3,0.42857142857142855
commonsense_qa_0017,6,4,0.6666666666666666
commonsense_qa_0018,6,5,0.8333333333333334
commonsense_qa_0019,6,5,0.8333333333333334
commonsense_qa_0020,6,3,0.5
commonsense_qa_0021,6,6,1.0
commonsense_qa_0022,6,5,0.8333333333333334
commonsense_qa_0023,6,4,0.6666666666666666
commonsense_qa_0024,5,3,0.6
commonsense_qa_0025,7,3,0.42857142857142855
commonsense_qa_0026,7,3,0.42857142857142855
commonsense_qa_0027,4,2,0.5
commonsense_qa_0028,6,4,0.6666666666666666
commonsense_qa_0029,7,6,0.8571428571428571
commonsense_qa_0030,5,3,0.6
commonsense_qa_0031,7,4,0.5714285714285714
commonsense_qa_0032,5,5,1.0
commonsense_qa_0033,7,5,0.7142857142857143
commonsense_qa_0034,7,6,0.8571428571428571
commonsense_qa_0035,5,0,0.0
commonsense_qa_0036,4,1,0.25
commonsense_qa_0037,7,5,0.7142857142857143
commonsense_qa_0038,5,0,0.0
commonsense_qa_0039,7,5,0.7142857142857143
commonsense_qa_0040,5,5,1.0
commonsense_qa_0041,6,4,0.6666666666666666
commonsense_qa_0042,5,4,0.8
commonsense_qa_0043,7,4,0.5714285714285714
commonsense_qa_0044,7,2,0.2857142857142857
commonsense_qa_0045,7,6,0.8571428571428571
commonsense_qa_0046,6,5,0.8333333333333334
commonsense_qa_0047,4,3,0.75
commonsense_qa_0048,4,1,0.25
commonsense_qa_0049,5,4,0.8
gsm8k_0000,7,1,0.14285714285714285
gsm8k_0001,6,1,0.16666666666666666
gsm8k_0002,4,2,0.5
gsm8k_0003,7,3,0.42857142857142855
gsm8k_0004,5,2,0.4
gsm8k_0005,5,0,0.0
gsm8k_0006,7,1,0.14285714285714285
gsm8k_0007,4,0,0.0
gsm8k_0008,4,1,0.25
gsm8k_0009,7,2,0.2857142857142857
gsm8k_0010,7,1,0.14285714285714285
gsm8k_0011,6,1,0.16666666666666666
gsm8k_0012,1,1,1.0
gsm8k_0013,3,0,0.0
