variant,temperature,condition_name,n_trials,n_with_judge,n_judge_label_ok,judge_presence_rate,judge_usable_rate
base,0.0,asch_history_5,400,400,390,1.0,0.975
base,0.0,asch_zhu_unbiased_da,400,400,329,1.0,0.8225
base,0.0,asch_zhu_unbiased_diverse_plain,400,400,288,1.0,0.72
base,0.0,asch_zhu_unbiased_qd,400,400,317,1.0,0.7925
base,0.0,asch_zhu_unbiased_unanimous_confident,400,400,329,1.0,0.8225
base,0.0,asch_zhu_unbiased_unanimous_neutral,400,400,330,1.0,0.825
base,0.0,asch_zhu_unbiased_unanimous_plain,400,400,341,1.0,0.8525
base,0.0,asch_zhu_unbiased_unanimous_uncertain,400,400,353,1.0,0.8825
base,0.0,authoritative_bias,400,400,373,1.0,0.9325
base,0.0,authority_zhu_unbiased_trust,400,400,377,1.0,0.9425
base,0.0,authority_zhu_unbiased_trust_da,400,400,364,1.0,0.91
base,0.0,control,400,400,343,1.0,0.8575
base,0.2,asch_history_5,400,400,385,1.0,0.9625
base,0.2,asch_zhu_unbiased_da,400,400,335,1.0,0.8375
base,0.2,asch_zhu_unbiased_diverse_plain,400,400,320,1.0,0.8
base,0.2,asch_zhu_unbiased_qd,400,400,330,1.0,0.825
base,0.2,asch_zhu_unbiased_unanimous_confident,400,400,349,1.0,0.8725
base,0.2,asch_zhu_unbiased_unanimous_neutral,400,400,348,1.0,0.87
base,0.2,asch_zhu_unbiased_unanimous_plain,400,400,360,1.0,0.9
base,0.2,asch_zhu_unbiased_unanimous_uncertain,400,400,383,1.0,0.9575
base,0.2,authoritative_bias,400,400,359,1.0,0.8975
base,0.2,authority_zhu_unbiased_trust,400,400,374,1.0,0.935
base,0.2,authority_zhu_unbiased_trust_da,400,400,355,1.0,0.8875
base,0.2,control,400,400,340,1.0,0.85
base,0.4,asch_history_5,400,400,377,1.0,0.9425
base,0.4,asch_zhu_unbiased_da,400,400,355,1.0,0.8875
base,0.4,asch_zhu_unbiased_diverse_plain,400,400,322,1.0,0.805
base,0.4,asch_zhu_unbiased_qd,400,400,339,1.0,0.8475
base,0.4,asch_zhu_unbiased_unanimous_confident,400,400,368,1.0,0.92
base,0.4,asch_zhu_unbiased_unanimous_neutral,400,400,354,1.0,0.885
base,0.4,asch_zhu_unbiased_unanimous_plain,400,400,367,1.0,0.9175
base,0.4,asch_zhu_unbiased_unanimous_uncertain,400,400,377,1.0,0.9425
base,0.4,authoritative_bias,400,400,373,1.0,0.9325
base,0.4,authority_zhu_unbiased_trust,400,400,363,1.0,0.9075
base,0.4,authority_zhu_unbiased_trust_da,400,400,351,1.0,0.8775
base,0.4,control,400,400,346,1.0,0.865
base,0.6,asch_history_5,400,400,379,1.0,0.9475
base,0.6,asch_zhu_unbiased_da,400,400,350,1.0,0.875
base,0.6,asch_zhu_unbiased_diverse_plain,400,400,330,1.0,0.825
base,0.6,asch_zhu_unbiased_qd,400,400,349,1.0,0.8725
base,0.6,asch_zhu_unbiased_unanimous_confident,400,400,361,1.0,0.9025
base,0.6,asch_zhu_unbiased_unanimous_neutral,400,400,362,1.0,0.905
base,0.6,asch_zhu_unbiased_unanimous_plain,400,400,355,1.0,0.8875
base,0.6,asch_zhu_unbiased_unanimous_uncertain,400,400,365,1.0,0.9125
base,0.6,authoritative_bias,400,400,373,1.0,0.9325
base,0.6,authority_zhu_unbiased_trust,400,400,358,1.0,0.895
base,0.6,authority_zhu_unbiased_trust_da,400,400,344,1.0,0.86
base,0.6,control,400,400,339,1.0,0.8475
base,0.8,asch_history_5,400,400,370,1.0,0.925
base,0.8,asch_zhu_unbiased_da,400,400,332,1.0,0.83
base,0.8,asch_zhu_unbiased_diverse_plain,400,400,319,1.0,0.7975
base,0.8,asch_zhu_unbiased_qd,400,400,339,1.0,0.8475
base,0.8,asch_zhu_unbiased_unanimous_confident,400,400,359,1.0,0.8975
base,0.8,asch_zhu_unbiased_unanimous_neutral,400,400,356,1.0,0.89
base,0.8,asch_zhu_unbiased_unanimous_plain,400,400,358,1.0,0.895
base,0.8,asch_zhu_unbiased_unanimous_uncertain,400,400,365,1.0,0.9125
base,0.8,authoritative_bias,400,400,357,1.0,0.8925
base,0.8,authority_zhu_unbiased_trust,400,400,351,1.0,0.8775
base,0.8,authority_zhu_unbiased_trust_da,400,400,341,1.0,0.8525
base,0.8,control,400,400,344,1.0,0.86
base,1.0,asch_history_5,400,400,362,1.0,0.905
base,1.0,asch_zhu_unbiased_da,400,400,343,1.0,0.8575
base,1.0,asch_zhu_unbiased_diverse_plain,400,400,334,1.0,0.835
base,1.0,asch_zhu_unbiased_qd,400,400,332,1.0,0.83
base,1.0,asch_zhu_unbiased_unanimous_confident,400,400,344,1.0,0.86
base,1.0,asch_zhu_unbiased_unanimous_neutral,400,400,350,1.0,0.875
base,1.0,asch_zhu_unbiased_unanimous_plain,400,400,348,1.0,0.87
base,1.0,asch_zhu_unbiased_unanimous_uncertain,400,400,351,1.0,0.8775
base,1.0,authoritative_bias,400,400,358,1.0,0.895
base,1.0,authority_zhu_unbiased_trust,400,400,362,1.0,0.905
base,1.0,authority_zhu_unbiased_trust_da,400,400,347,1.0,0.8675
base,1.0,control,400,400,328,1.0,0.82
instruct,0.0,asch_history_5,400,400,329,1.0,0.8225
instruct,0.0,asch_zhu_unbiased_da,400,400,342,1.0,0.855
instruct,0.0,asch_zhu_unbiased_diverse_plain,400,400,311,1.0,0.7775
instruct,0.0,asch_zhu_unbiased_qd,400,400,314,1.0,0.785
instruct,0.0,asch_zhu_unbiased_unanimous_confident,400,400,354,1.0,0.885
instruct,0.0,asch_zhu_unbiased_unanimous_neutral,400,400,382,1.0,0.955
instruct,0.0,asch_zhu_unbiased_unanimous_plain,400,400,344,1.0,0.86
instruct,0.0,asch_zhu_unbiased_unanimous_uncertain,400,400,357,1.0,0.8925
instruct,0.0,authoritative_bias,400,400,313,1.0,0.7825
instruct,0.0,authority_zhu_unbiased_trust,400,400,321,1.0,0.8025
instruct,0.0,authority_zhu_unbiased_trust_da,400,400,343,1.0,0.8575
instruct,0.0,control,400,400,331,1.0,0.8275
instruct,0.2,asch_history_5,400,400,334,1.0,0.835
instruct,0.2,asch_zhu_unbiased_da,400,400,340,1.0,0.85
instruct,0.2,asch_zhu_unbiased_diverse_plain,400,400,311,1.0,0.7775
instruct,0.2,asch_zhu_unbiased_qd,400,400,319,1.0,0.7975
instruct,0.2,asch_zhu_unbiased_unanimous_confident,400,400,349,1.0,0.8725
instruct,0.2,asch_zhu_unbiased_unanimous_neutral,400,400,378,1.0,0.945
instruct,0.2,asch_zhu_unbiased_unanimous_plain,400,400,342,1.0,0.855
instruct,0.2,asch_zhu_unbiased_unanimous_uncertain,400,400,366,1.0,0.915
instruct,0.2,authoritative_bias,400,400,319,1.0,0.7975
instruct,0.2,authority_zhu_unbiased_trust,400,400,338,1.0,0.845
instruct,0.2,authority_zhu_unbiased_trust_da,400,400,332,1.0,0.83
instruct,0.2,control,400,400,331,1.0,0.8275
instruct,0.4,asch_history_5,400,400,342,1.0,0.855
instruct,0.4,asch_zhu_unbiased_da,400,400,323,1.0,0.8075
instruct,0.4,asch_zhu_unbiased_diverse_plain,400,400,316,1.0,0.79
instruct,0.4,asch_zhu_unbiased_qd,400,400,311,1.0,0.7775
instruct,0.4,asch_zhu_unbiased_unanimous_confident,400,400,356,1.0,0.89
instruct,0.4,asch_zhu_unbiased_unanimous_neutral,400,400,373,1.0,0.9325
instruct,0.4,asch_zhu_unbiased_unanimous_plain,400,400,347,1.0,0.8675
instruct,0.4,asch_zhu_unbiased_unanimous_uncertain,400,400,368,1.0,0.92
instruct,0.4,authoritative_bias,400,400,306,1.0,0.765
instruct,0.4,authority_zhu_unbiased_trust,400,400,335,1.0,0.8375
instruct,0.4,authority_zhu_unbiased_trust_da,400,400,348,1.0,0.87
instruct,0.4,control,400,400,329,1.0,0.8225
instruct,0.6,asch_history_5,400,400,330,1.0,0.825
instruct,0.6,asch_zhu_unbiased_da,400,400,336,1.0,0.84
instruct,0.6,asch_zhu_unbiased_diverse_plain,400,400,334,1.0,0.835
instruct,0.6,asch_zhu_unbiased_qd,400,400,310,1.0,0.775
instruct,0.6,asch_zhu_unbiased_unanimous_confident,400,400,344,1.0,0.86
instruct,0.6,asch_zhu_unbiased_unanimous_neutral,400,400,365,1.0,0.9125
instruct,0.6,asch_zhu_unbiased_unanimous_plain,400,400,343,1.0,0.8575
instruct,0.6,asch_zhu_unbiased_unanimous_uncertain,400,400,362,1.0,0.905
instruct,0.6,authoritative_bias,400,400,310,1.0,0.775
instruct,0.6,authority_zhu_unbiased_trust,400,400,346,1.0,0.865
instruct,0.6,authority_zhu_unbiased_trust_da,400,400,337,1.0,0.8425
instruct,0.6,control,400,400,341,1.0,0.8525
instruct,0.8,asch_history_5,400,400,346,1.0,0.865
instruct,0.8,asch_zhu_unbiased_da,400,400,329,1.0,0.8225
instruct,0.8,asch_zhu_unbiased_diverse_plain,400,400,309,1.0,0.7725
instruct,0.8,asch_zhu_unbiased_qd,400,400,325,1.0,0.8125
instruct,0.8,asch_zhu_unbiased_unanimous_confident,400,400,346,1.0,0.865
instruct,0.8,asch_zhu_unbiased_unanimous_neutral,400,400,354,1.0,0.885
instruct,0.8,asch_zhu_unbiased_unanimous_plain,400,400,352,1.0,0.88
instruct,0.8,asch_zhu_unbiased_unanimous_uncertain,400,400,360,1.0,0.9
instruct,0.8,authoritative_bias,400,400,329,1.0,0.8225
instruct,0.8,authority_zhu_unbiased_trust,400,400,344,1.0,0.86
instruct,0.8,authority_zhu_unbiased_trust_da,400,400,351,1.0,0.8775
instruct,0.8,control,400,400,344,1.0,0.86
instruct,1.0,asch_history_5,400,400,349,1.0,0.8725
instruct,1.0,asch_zhu_unbiased_da,400,400,345,1.0,0.8625
instruct,1.0,asch_zhu_unbiased_diverse_plain,400,400,331,1.0,0.8275
instruct,1.0,asch_zhu_unbiased_qd,400,400,322,1.0,0.805
instruct,1.0,asch_zhu_unbiased_unanimous_confident,400,400,355,1.0,0.8875
instruct,1.0,asch_zhu_unbiased_unanimous_neutral,400,400,361,1.0,0.9025
instruct,1.0,asch_zhu_unbiased_unanimous_plain,400,400,356,1.0,0.89
instruct,1.0,asch_zhu_unbiased_unanimous_uncertain,400,400,368,1.0,0.92
instruct,1.0,authoritative_bias,400,400,326,1.0,0.815
instruct,1.0,authority_zhu_unbiased_trust,400,400,345,1.0,0.8625
instruct,1.0,authority_zhu_unbiased_trust_da,400,400,337,1.0,0.8425
instruct,1.0,control,400,400,345,1.0,0.8625
instruct_dpo,0.0,asch_history_5,400,400,332,1.0,0.83
instruct_dpo,0.0,asch_zhu_unbiased_da,400,400,332,1.0,0.83
instruct_dpo,0.0,asch_zhu_unbiased_diverse_plain,400,400,322,1.0,0.805
instruct_dpo,0.0,asch_zhu_unbiased_qd,400,400,319,1.0,0.7975
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_confident,400,400,349,1.0,0.8725
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_neutral,400,400,374,1.0,0.935
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_plain,400,400,349,1.0,0.8725
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_uncertain,400,400,361,1.0,0.9025
instruct_dpo,0.0,authoritative_bias,400,400,322,1.0,0.805
instruct_dpo,0.0,authority_zhu_unbiased_trust,400,400,346,1.0,0.865
instruct_dpo,0.0,authority_zhu_unbiased_trust_da,400,400,345,1.0,0.8625
instruct_dpo,0.0,control,400,400,341,1.0,0.8525
instruct_dpo,0.2,asch_history_5,400,400,336,1.0,0.84
instruct_dpo,0.2,asch_zhu_unbiased_da,400,400,319,1.0,0.7975
instruct_dpo,0.2,asch_zhu_unbiased_diverse_plain,400,400,324,1.0,0.81
instruct_dpo,0.2,asch_zhu_unbiased_qd,400,400,303,1.0,0.7575
instruct_dpo,0.2,asch_zhu_unbiased_unanimous_confident,400,400,348,1.0,0.87
instruct_dpo,0.2,asch_zhu_unbiased_unanimous_neutral,400,400,378,1.0,0.945
instruct_dpo,0.2,asch_zhu_unbiased_unanimous_plain,400,400,344,1.0,0.86
instruct_dpo,0.2,asch_zhu_unbiased_unanimous_uncertain,400,400,358,1.0,0.895
instruct_dpo,0.2,authoritative_bias,400,400,315,1.0,0.7875
instruct_dpo,0.2,authority_zhu_unbiased_trust,400,400,348,1.0,0.87
instruct_dpo,0.2,authority_zhu_unbiased_trust_da,400,400,347,1.0,0.8675
instruct_dpo,0.2,control,400,400,355,1.0,0.8875
instruct_dpo,0.4,asch_history_5,400,400,350,1.0,0.875
instruct_dpo,0.4,asch_zhu_unbiased_da,400,400,334,1.0,0.835
instruct_dpo,0.4,asch_zhu_unbiased_diverse_plain,400,400,311,1.0,0.7775
instruct_dpo,0.4,asch_zhu_unbiased_qd,400,400,326,1.0,0.815
instruct_dpo,0.4,asch_zhu_unbiased_unanimous_confident,400,400,338,1.0,0.845
instruct_dpo,0.4,asch_zhu_unbiased_unanimous_neutral,400,400,375,1.0,0.9375
instruct_dpo,0.4,asch_zhu_unbiased_unanimous_plain,400,400,345,1.0,0.8625
instruct_dpo,0.4,asch_zhu_unbiased_unanimous_uncertain,400,400,361,1.0,0.9025
instruct_dpo,0.4,authoritative_bias,400,400,314,1.0,0.785
instruct_dpo,0.4,authority_zhu_unbiased_trust,400,400,348,1.0,0.87
instruct_dpo,0.4,authority_zhu_unbiased_trust_da,400,400,347,1.0,0.8675
instruct_dpo,0.4,control,400,400,344,1.0,0.86
instruct_dpo,0.6,asch_history_5,400,400,343,1.0,0.8575
instruct_dpo,0.6,asch_zhu_unbiased_da,400,400,334,1.0,0.835
instruct_dpo,0.6,asch_zhu_unbiased_diverse_plain,400,400,322,1.0,0.805
instruct_dpo,0.6,asch_zhu_unbiased_qd,400,400,338,1.0,0.845
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_confident,400,400,358,1.0,0.895
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_neutral,400,400,367,1.0,0.9175
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_plain,400,400,352,1.0,0.88
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_uncertain,400,400,368,1.0,0.92
instruct_dpo,0.6,authoritative_bias,400,400,322,1.0,0.805
instruct_dpo,0.6,authority_zhu_unbiased_trust,400,400,342,1.0,0.855
instruct_dpo,0.6,authority_zhu_unbiased_trust_da,400,400,341,1.0,0.8525
instruct_dpo,0.6,control,400,400,351,1.0,0.8775
instruct_dpo,0.8,asch_history_5,400,400,349,1.0,0.8725
instruct_dpo,0.8,asch_zhu_unbiased_da,400,400,330,1.0,0.825
instruct_dpo,0.8,asch_zhu_unbiased_diverse_plain,400,400,311,1.0,0.7775
instruct_dpo,0.8,asch_zhu_unbiased_qd,400,400,322,1.0,0.805
instruct_dpo,0.8,asch_zhu_unbiased_unanimous_confident,400,400,345,1.0,0.8625
instruct_dpo,0.8,asch_zhu_unbiased_unanimous_neutral,400,400,359,1.0,0.8975
instruct_dpo,0.8,asch_zhu_unbiased_unanimous_plain,400,400,337,1.0,0.8425
instruct_dpo,0.8,asch_zhu_unbiased_unanimous_uncertain,400,400,366,1.0,0.915
instruct_dpo,0.8,authoritative_bias,400,400,328,1.0,0.82
instruct_dpo,0.8,authority_zhu_unbiased_trust,400,400,351,1.0,0.8775
instruct_dpo,0.8,authority_zhu_unbiased_trust_da,400,400,351,1.0,0.8775
instruct_dpo,0.8,control,400,400,344,1.0,0.86
instruct_dpo,1.0,asch_history_5,400,400,345,1.0,0.8625
instruct_dpo,1.0,asch_zhu_unbiased_da,400,400,336,1.0,0.84
instruct_dpo,1.0,asch_zhu_unbiased_diverse_plain,400,400,330,1.0,0.825
instruct_dpo,1.0,asch_zhu_unbiased_qd,400,400,329,1.0,0.8225
instruct_dpo,1.0,asch_zhu_unbiased_unanimous_confident,400,400,330,1.0,0.825
instruct_dpo,1.0,asch_zhu_unbiased_unanimous_neutral,400,400,358,1.0,0.895
instruct_dpo,1.0,asch_zhu_unbiased_unanimous_plain,400,400,346,1.0,0.865
instruct_dpo,1.0,asch_zhu_unbiased_unanimous_uncertain,400,400,369,1.0,0.9225
instruct_dpo,1.0,authoritative_bias,400,400,329,1.0,0.8225
instruct_dpo,1.0,authority_zhu_unbiased_trust,400,400,353,1.0,0.8825
instruct_dpo,1.0,authority_zhu_unbiased_trust_da,400,400,349,1.0,0.8725
instruct_dpo,1.0,control,400,400,348,1.0,0.87
instruct_sft,0.0,asch_history_5,400,400,377,1.0,0.9425
instruct_sft,0.0,asch_zhu_unbiased_da,400,400,350,1.0,0.875
instruct_sft,0.0,asch_zhu_unbiased_diverse_plain,400,400,327,1.0,0.8175
instruct_sft,0.0,asch_zhu_unbiased_qd,400,400,329,1.0,0.8225
instruct_sft,0.0,asch_zhu_unbiased_unanimous_confident,400,400,381,1.0,0.9525
instruct_sft,0.0,asch_zhu_unbiased_unanimous_neutral,400,400,388,1.0,0.97
instruct_sft,0.0,asch_zhu_unbiased_unanimous_plain,400,400,366,1.0,0.915
instruct_sft,0.0,asch_zhu_unbiased_unanimous_uncertain,400,400,385,1.0,0.9625
instruct_sft,0.0,authoritative_bias,400,400,350,1.0,0.875
instruct_sft,0.0,authority_zhu_unbiased_trust,400,400,356,1.0,0.89
instruct_sft,0.0,authority_zhu_unbiased_trust_da,400,400,360,1.0,0.9
instruct_sft,0.0,control,400,400,356,1.0,0.89
instruct_sft,0.2,asch_history_5,400,400,374,1.0,0.935
instruct_sft,0.2,asch_zhu_unbiased_da,400,400,349,1.0,0.8725
instruct_sft,0.2,asch_zhu_unbiased_diverse_plain,400,400,334,1.0,0.835
instruct_sft,0.2,asch_zhu_unbiased_qd,400,400,332,1.0,0.83
instruct_sft,0.2,asch_zhu_unbiased_unanimous_confident,400,400,387,1.0,0.9675
instruct_sft,0.2,asch_zhu_unbiased_unanimous_neutral,400,400,385,1.0,0.9625
instruct_sft,0.2,asch_zhu_unbiased_unanimous_plain,400,400,360,1.0,0.9
instruct_sft,0.2,asch_zhu_unbiased_unanimous_uncertain,400,400,387,1.0,0.9675
instruct_sft,0.2,authoritative_bias,400,400,351,1.0,0.8775
instruct_sft,0.2,authority_zhu_unbiased_trust,400,400,360,1.0,0.9
instruct_sft,0.2,authority_zhu_unbiased_trust_da,400,400,360,1.0,0.9
instruct_sft,0.2,control,400,400,352,1.0,0.88
instruct_sft,0.4,asch_history_5,400,400,383,1.0,0.9575
instruct_sft,0.4,asch_zhu_unbiased_da,400,400,344,1.0,0.86
instruct_sft,0.4,asch_zhu_unbiased_diverse_plain,400,400,323,1.0,0.8075
instruct_sft,0.4,asch_zhu_unbiased_qd,400,400,334,1.0,0.835
instruct_sft,0.4,asch_zhu_unbiased_unanimous_confident,400,400,385,1.0,0.9625
instruct_sft,0.4,asch_zhu_unbiased_unanimous_neutral,400,400,382,1.0,0.955
instruct_sft,0.4,asch_zhu_unbiased_unanimous_plain,400,400,347,1.0,0.8675
instruct_sft,0.4,asch_zhu_unbiased_unanimous_uncertain,400,400,386,1.0,0.965
instruct_sft,0.4,authoritative_bias,400,400,359,1.0,0.8975
instruct_sft,0.4,authority_zhu_unbiased_trust,400,400,357,1.0,0.8925
instruct_sft,0.4,authority_zhu_unbiased_trust_da,400,400,357,1.0,0.8925
instruct_sft,0.4,control,400,400,359,1.0,0.8975
instruct_sft,0.6,asch_history_5,400,400,387,1.0,0.9675
instruct_sft,0.6,asch_zhu_unbiased_da,400,400,347,1.0,0.8675
instruct_sft,0.6,asch_zhu_unbiased_diverse_plain,400,400,333,1.0,0.8325
instruct_sft,0.6,asch_zhu_unbiased_qd,400,400,328,1.0,0.82
instruct_sft,0.6,asch_zhu_unbiased_unanimous_confident,400,400,380,1.0,0.95
instruct_sft,0.6,asch_zhu_unbiased_unanimous_neutral,400,400,371,1.0,0.9275
instruct_sft,0.6,asch_zhu_unbiased_unanimous_plain,400,400,359,1.0,0.8975
instruct_sft,0.6,asch_zhu_unbiased_unanimous_uncertain,400,400,381,1.0,0.9525
instruct_sft,0.6,authoritative_bias,400,400,369,1.0,0.9225
instruct_sft,0.6,authority_zhu_unbiased_trust,400,400,363,1.0,0.9075
instruct_sft,0.6,authority_zhu_unbiased_trust_da,400,400,365,1.0,0.9125
instruct_sft,0.6,control,400,400,355,1.0,0.8875
instruct_sft,0.8,asch_history_5,400,400,383,1.0,0.9575
instruct_sft,0.8,asch_zhu_unbiased_da,400,400,349,1.0,0.8725
instruct_sft,0.8,asch_zhu_unbiased_diverse_plain,400,400,333,1.0,0.8325
instruct_sft,0.8,asch_zhu_unbiased_qd,400,400,327,1.0,0.8175
instruct_sft,0.8,asch_zhu_unbiased_unanimous_confident,400,400,380,1.0,0.95
instruct_sft,0.8,asch_zhu_unbiased_unanimous_neutral,400,400,369,1.0,0.9225
instruct_sft,0.8,asch_zhu_unbiased_unanimous_plain,400,400,369,1.0,0.9225
instruct_sft,0.8,asch_zhu_unbiased_unanimous_uncertain,400,400,368,1.0,0.92
instruct_sft,0.8,authoritative_bias,400,400,371,1.0,0.9275
instruct_sft,0.8,authority_zhu_unbiased_trust,400,400,362,1.0,0.905
instruct_sft,0.8,authority_zhu_unbiased_trust_da,400,400,369,1.0,0.9225
instruct_sft,0.8,control,400,400,346,1.0,0.865
instruct_sft,1.0,asch_history_5,400,400,384,1.0,0.96
instruct_sft,1.0,asch_zhu_unbiased_da,400,400,349,1.0,0.8725
instruct_sft,1.0,asch_zhu_unbiased_diverse_plain,400,400,346,1.0,0.865
