variant,temperature,condition_name,n_trials
base,0.0,asch_history_5,400
base,0.0,asch_zhu_unbiased_da,400
base,0.0,asch_zhu_unbiased_diverse_plain,400
base,0.0,asch_zhu_unbiased_qd,400
base,0.0,asch_zhu_unbiased_unanimous_confident,400
base,0.0,asch_zhu_unbiased_unanimous_neutral,400
base,0.0,asch_zhu_unbiased_unanimous_plain,400
base,0.0,asch_zhu_unbiased_unanimous_uncertain,400
base,0.0,authoritative_bias,400
base,0.0,authority_zhu_unbiased_trust,400
base,0.0,authority_zhu_unbiased_trust_da,400
base,0.0,control,400
base,0.2,asch_history_5,400
base,0.2,asch_zhu_unbiased_da,400
base,0.2,asch_zhu_unbiased_diverse_plain,400
base,0.2,asch_zhu_unbiased_qd,400
base,0.2,asch_zhu_unbiased_unanimous_confident,400
base,0.2,asch_zhu_unbiased_unanimous_neutral,400
base,0.2,asch_zhu_unbiased_unanimous_plain,400
base,0.2,asch_zhu_unbiased_unanimous_uncertain,400
base,0.2,authoritative_bias,400
base,0.2,authority_zhu_unbiased_trust,400
base,0.2,authority_zhu_unbiased_trust_da,400
base,0.2,control,400
base,0.4,asch_history_5,400
base,0.4,asch_zhu_unbiased_da,400
base,0.4,asch_zhu_unbiased_diverse_plain,400
base,0.4,asch_zhu_unbiased_qd,400
base,0.4,asch_zhu_unbiased_unanimous_confident,400
base,0.4,asch_zhu_unbiased_unanimous_neutral,400
base,0.4,asch_zhu_unbiased_unanimous_plain,400
base,0.4,asch_zhu_unbiased_unanimous_uncertain,400
base,0.4,authoritative_bias,400
base,0.4,authority_zhu_unbiased_trust,400
base,0.4,authority_zhu_unbiased_trust_da,400
base,0.4,control,400
base,0.6,asch_history_5,400
base,0.6,asch_zhu_unbiased_da,400
base,0.6,asch_zhu_unbiased_diverse_plain,400
base,0.6,asch_zhu_unbiased_qd,400
base,0.6,asch_zhu_unbiased_unanimous_confident,400
base,0.6,asch_zhu_unbiased_unanimous_neutral,400
base,0.6,asch_zhu_unbiased_unanimous_plain,400
base,0.6,asch_zhu_unbiased_unanimous_uncertain,400
base,0.6,authoritative_bias,400
base,0.6,authority_zhu_unbiased_trust,400
base,0.6,authority_zhu_unbiased_trust_da,400
base,0.6,control,400
base,0.8,asch_history_5,400
base,0.8,asch_zhu_unbiased_da,400
base,0.8,asch_zhu_unbiased_diverse_plain,400
base,0.8,asch_zhu_unbiased_qd,400
base,0.8,asch_zhu_unbiased_unanimous_confident,400
base,0.8,asch_zhu_unbiased_unanimous_neutral,400
base,0.8,asch_zhu_unbiased_unanimous_plain,400
base,0.8,asch_zhu_unbiased_unanimous_uncertain,400
base,0.8,authoritative_bias,400
base,0.8,authority_zhu_unbiased_trust,400
base,0.8,authority_zhu_unbiased_trust_da,400
base,0.8,control,400
base,1.0,asch_history_5,400
base,1.0,asch_zhu_unbiased_da,400
base,1.0,asch_zhu_unbiased_diverse_plain,400
base,1.0,asch_zhu_unbiased_qd,400
base,1.0,asch_zhu_unbiased_unanimous_confident,400
base,1.0,asch_zhu_unbiased_unanimous_neutral,400
base,1.0,asch_zhu_unbiased_unanimous_plain,400
base,1.0,asch_zhu_unbiased_unanimous_uncertain,400
base,1.0,authoritative_bias,400
base,1.0,authority_zhu_unbiased_trust,400
base,1.0,authority_zhu_unbiased_trust_da,400
base,1.0,control,400
instruct,0.0,asch_history_5,400
instruct,0.0,asch_zhu_unbiased_da,400
instruct,0.0,asch_zhu_unbiased_diverse_plain,400
instruct,0.0,asch_zhu_unbiased_qd,400
instruct,0.0,asch_zhu_unbiased_unanimous_confident,400
instruct,0.0,asch_zhu_unbiased_unanimous_neutral,400
instruct,0.0,asch_zhu_unbiased_unanimous_plain,400
instruct,0.0,asch_zhu_unbiased_unanimous_uncertain,400
instruct,0.0,authoritative_bias,400
instruct,0.0,authority_zhu_unbiased_trust,400
instruct,0.0,authority_zhu_unbiased_trust_da,400
instruct,0.0,control,400
instruct,0.2,asch_history_5,400
instruct,0.2,asch_zhu_unbiased_da,400
instruct,0.2,asch_zhu_unbiased_diverse_plain,400
instruct,0.2,asch_zhu_unbiased_qd,400
instruct,0.2,asch_zhu_unbiased_unanimous_confident,400
instruct,0.2,asch_zhu_unbiased_unanimous_neutral,400
instruct,0.2,asch_zhu_unbiased_unanimous_plain,400
instruct,0.2,asch_zhu_unbiased_unanimous_uncertain,400
instruct,0.2,authoritative_bias,400
instruct,0.2,authority_zhu_unbiased_trust,400
instruct,0.2,authority_zhu_unbiased_trust_da,400
instruct,0.2,control,400
instruct,0.4,asch_history_5,400
instruct,0.4,asch_zhu_unbiased_da,400
instruct,0.4,asch_zhu_unbiased_diverse_plain,400
instruct,0.4,asch_zhu_unbiased_qd,400
instruct,0.4,asch_zhu_unbiased_unanimous_confident,400
instruct,0.4,asch_zhu_unbiased_unanimous_neutral,400
instruct,0.4,asch_zhu_unbiased_unanimous_plain,400
instruct,0.4,asch_zhu_unbiased_unanimous_uncertain,400
instruct,0.4,authoritative_bias,400
instruct,0.4,authority_zhu_unbiased_trust,400
instruct,0.4,authority_zhu_unbiased_trust_da,400
instruct,0.4,control,400
instruct,0.6,asch_history_5,400
instruct,0.6,asch_zhu_unbiased_da,400
instruct,0.6,asch_zhu_unbiased_diverse_plain,400
instruct,0.6,asch_zhu_unbiased_qd,400
instruct,0.6,asch_zhu_unbiased_unanimous_confident,400
instruct,0.6,asch_zhu_unbiased_unanimous_neutral,400
instruct,0.6,asch_zhu_unbiased_unanimous_plain,400
instruct,0.6,asch_zhu_unbiased_unanimous_uncertain,400
instruct,0.6,authoritative_bias,400
instruct,0.6,authority_zhu_unbiased_trust,400
instruct,0.6,authority_zhu_unbiased_trust_da,400
instruct,0.6,control,400
instruct,0.8,asch_history_5,400
instruct,0.8,asch_zhu_unbiased_da,400
instruct,0.8,asch_zhu_unbiased_diverse_plain,400
instruct,0.8,asch_zhu_unbiased_qd,400
instruct,0.8,asch_zhu_unbiased_unanimous_confident,400
instruct,0.8,asch_zhu_unbiased_unanimous_neutral,400
instruct,0.8,asch_zhu_unbiased_unanimous_plain,400
instruct,0.8,asch_zhu_unbiased_unanimous_uncertain,400
instruct,0.8,authoritative_bias,400
instruct,0.8,authority_zhu_unbiased_trust,400
instruct,0.8,authority_zhu_unbiased_trust_da,400
instruct,0.8,control,400
instruct,1.0,asch_history_5,400
instruct,1.0,asch_zhu_unbiased_da,400
instruct,1.0,asch_zhu_unbiased_diverse_plain,400
instruct,1.0,asch_zhu_unbiased_qd,400
instruct,1.0,asch_zhu_unbiased_unanimous_confident,400
instruct,1.0,asch_zhu_unbiased_unanimous_neutral,400
instruct,1.0,asch_zhu_unbiased_unanimous_plain,400
instruct,1.0,asch_zhu_unbiased_unanimous_uncertain,400
instruct,1.0,authoritative_bias,400
instruct,1.0,authority_zhu_unbiased_trust,400
instruct,1.0,authority_zhu_unbiased_trust_da,400
instruct,1.0,control,400
instruct_dpo,0.0,asch_history_5,400
instruct_dpo,0.0,asch_zhu_unbiased_da,400
instruct_dpo,0.0,asch_zhu_unbiased_diverse_plain,400
instruct_dpo,0.0,asch_zhu_unbiased_qd,400
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_confident,400
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_neutral,400
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_plain,400
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_uncertain,400
instruct_dpo,0.0,authoritative_bias,400
instruct_dpo,0.0,authority_zhu_unbiased_trust,400
instruct_dpo,0.0,authority_zhu_unbiased_trust_da,400
instruct_dpo,0.0,control,400
instruct_dpo,0.2,asch_history_5,400
instruct_dpo,0.2,asch_zhu_unbiased_da,400
instruct_dpo,0.2,asch_zhu_unbiased_diverse_plain,400
instruct_dpo,0.2,asch_zhu_unbiased_qd,400
instruct_dpo,0.2,asch_zhu_unbiased_unanimous_confident,400
instruct_dpo,0.2,asch_zhu_unbiased_unanimous_neutral,400
instruct_dpo,0.2,asch_zhu_unbiased_unanimous_plain,400
instruct_dpo,0.2,asch_zhu_unbiased_unanimous_uncertain,400
instruct_dpo,0.2,authoritative_bias,400
instruct_dpo,0.2,authority_zhu_unbiased_trust,400
instruct_dpo,0.2,authority_zhu_unbiased_trust_da,400
instruct_dpo,0.2,control,400
instruct_dpo,0.4,asch_history_5,400
instruct_dpo,0.4,asch_zhu_unbiased_da,400
instruct_dpo,0.4,asch_zhu_unbiased_diverse_plain,400
instruct_dpo,0.4,asch_zhu_unbiased_qd,400
instruct_dpo,0.4,asch_zhu_unbiased_unanimous_confident,400
instruct_dpo,0.4,asch_zhu_unbiased_unanimous_neutral,400
instruct_dpo,0.4,asch_zhu_unbiased_unanimous_plain,400
instruct_dpo,0.4,asch_zhu_unbiased_unanimous_uncertain,400
instruct_dpo,0.4,authoritative_bias,400
instruct_dpo,0.4,authority_zhu_unbiased_trust,400
instruct_dpo,0.4,authority_zhu_unbiased_trust_da,400
instruct_dpo,0.4,control,400
instruct_dpo,0.6,asch_history_5,400
instruct_dpo,0.6,asch_zhu_unbiased_da,400
instruct_dpo,0.6,asch_zhu_unbiased_diverse_plain,400
instruct_dpo,0.6,asch_zhu_unbiased_qd,400
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_confident,400
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_neutral,400
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_plain,400
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_uncertain,400
instruct_dpo,0.6,authoritative_bias,400
instruct_dpo,0.6,authority_zhu_unbiased_trust,400
instruct_dpo,0.6,authority_zhu_unbiased_trust_da,400
instruct_dpo,0.6,control,400
instruct_dpo,0.8,asch_history_5,400
instruct_dpo,0.8,asch_zhu_unbiased_da,400
instruct_dpo,0.8,asch_zhu_unbiased_diverse_plain,400
instruct_dpo,0.8,asch_zhu_unbiased_qd,400
instruct_dpo,0.8,asch_zhu_unbiased_unanimous_confident,400
instruct_dpo,0.8,asch_zhu_unbiased_unanimous_neutral,400
instruct_dpo,0.8,asch_zhu_unbiased_unanimous_plain,400
instruct_dpo,0.8,asch_zhu_unbiased_unanimous_uncertain,400
instruct_dpo,0.8,authoritative_bias,400
instruct_dpo,0.8,authority_zhu_unbiased_trust,400
instruct_dpo,0.8,authority_zhu_unbiased_trust_da,400
instruct_dpo,0.8,control,400
instruct_dpo,1.0,asch_history_5,400
instruct_dpo,1.0,asch_zhu_unbiased_da,400
instruct_dpo,1.0,asch_zhu_unbiased_diverse_plain,400
instruct_dpo,1.0,asch_zhu_unbiased_qd,400
instruct_dpo,1.0,asch_zhu_unbiased_unanimous_confident,400
instruct_dpo,1.0,asch_zhu_unbiased_unanimous_neutral,400
instruct_dpo,1.0,asch_zhu_unbiased_unanimous_plain,400
instruct_dpo,1.0,asch_zhu_unbiased_unanimous_uncertain,400
instruct_dpo,1.0,authoritative_bias,400
instruct_dpo,1.0,authority_zhu_unbiased_trust,400
instruct_dpo,1.0,authority_zhu_unbiased_trust_da,400
instruct_dpo,1.0,control,400
instruct_sft,0.0,asch_history_5,400
instruct_sft,0.0,asch_zhu_unbiased_da,400
instruct_sft,0.0,asch_zhu_unbiased_diverse_plain,400
instruct_sft,0.0,asch_zhu_unbiased_qd,400
instruct_sft,0.0,asch_zhu_unbiased_unanimous_confident,400
instruct_sft,0.0,asch_zhu_unbiased_unanimous_neutral,400
instruct_sft,0.0,asch_zhu_unbiased_unanimous_plain,400
instruct_sft,0.0,asch_zhu_unbiased_unanimous_uncertain,400
instruct_sft,0.0,authoritative_bias,400
instruct_sft,0.0,authority_zhu_unbiased_trust,400
instruct_sft,0.0,authority_zhu_unbiased_trust_da,400
instruct_sft,0.0,control,400
instruct_sft,0.2,asch_history_5,400
instruct_sft,0.2,asch_zhu_unbiased_da,400
instruct_sft,0.2,asch_zhu_unbiased_diverse_plain,400
instruct_sft,0.2,asch_zhu_unbiased_qd,400
instruct_sft,0.2,asch_zhu_unbiased_unanimous_confident,400
instruct_sft,0.2,asch_zhu_unbiased_unanimous_neutral,400
instruct_sft,0.2,asch_zhu_unbiased_unanimous_plain,400
instruct_sft,0.2,asch_zhu_unbiased_unanimous_uncertain,400
instruct_sft,0.2,authoritative_bias,400
instruct_sft,0.2,authority_zhu_unbiased_trust,400
instruct_sft,0.2,authority_zhu_unbiased_trust_da,400
instruct_sft,0.2,control,400
instruct_sft,0.4,asch_history_5,400
instruct_sft,0.4,asch_zhu_unbiased_da,400
instruct_sft,0.4,asch_zhu_unbiased_diverse_plain,400
instruct_sft,0.4,asch_zhu_unbiased_qd,400
instruct_sft,0.4,asch_zhu_unbiased_unanimous_confident,400
instruct_sft,0.4,asch_zhu_unbiased_unanimous_neutral,400
instruct_sft,0.4,asch_zhu_unbiased_unanimous_plain,400
instruct_sft,0.4,asch_zhu_unbiased_unanimous_uncertain,400
instruct_sft,0.4,authoritative_bias,400
instruct_sft,0.4,authority_zhu_unbiased_trust,400
instruct_sft,0.4,authority_zhu_unbiased_trust_da,400
instruct_sft,0.4,control,400
instruct_sft,0.6,asch_history_5,400
instruct_sft,0.6,asch_zhu_unbiased_da,400
instruct_sft,0.6,asch_zhu_unbiased_diverse_plain,400
instruct_sft,0.6,asch_zhu_unbiased_qd,400
instruct_sft,0.6,asch_zhu_unbiased_unanimous_confident,400
instruct_sft,0.6,asch_zhu_unbiased_unanimous_neutral,400
instruct_sft,0.6,asch_zhu_unbiased_unanimous_plain,400
instruct_sft,0.6,asch_zhu_unbiased_unanimous_uncertain,400
instruct_sft,0.6,authoritative_bias,400
instruct_sft,0.6,authority_zhu_unbiased_trust,400
instruct_sft,0.6,authority_zhu_unbiased_trust_da,400
instruct_sft,0.6,control,400
instruct_sft,0.8,asch_history_5,400
instruct_sft,0.8,asch_zhu_unbiased_da,400
instruct_sft,0.8,asch_zhu_unbiased_diverse_plain,400
instruct_sft,0.8,asch_zhu_unbiased_qd,400
instruct_sft,0.8,asch_zhu_unbiased_unanimous_confident,400
instruct_sft,0.8,asch_zhu_unbiased_unanimous_neutral,400
instruct_sft,0.8,asch_zhu_unbiased_unanimous_plain,400
instruct_sft,0.8,asch_zhu_unbiased_unanimous_uncertain,400
instruct_sft,0.8,authoritative_bias,400
instruct_sft,0.8,authority_zhu_unbiased_trust,400
instruct_sft,0.8,authority_zhu_unbiased_trust_da,400
instruct_sft,0.8,control,400
instruct_sft,1.0,asch_history_5,400
instruct_sft,1.0,asch_zhu_unbiased_da,400
instruct_sft,1.0,asch_zhu_unbiased_diverse_plain,400
instruct_sft,1.0,asch_zhu_unbiased_qd,400
instruct_sft,1.0,asch_zhu_unbiased_unanimous_confident,400
instruct_sft,1.0,asch_zhu_unbiased_unanimous_neutral,400
instruct_sft,1.0,asch_zhu_unbiased_unanimous_plain,400
instruct_sft,1.0,asch_zhu_unbiased_unanimous_uncertain,400
instruct_sft,1.0,authoritative_bias,400
instruct_sft,1.0,authority_zhu_unbiased_trust,400
instruct_sft,1.0,authority_zhu_unbiased_trust_da,400
instruct_sft,1.0,control,400
think,0.0,asch_zhu_unbiased_unanimous_confident,400
think,0.0,authoritative_bias,400
think,0.0,authority_zhu_unbiased_trust,400
think,0.0,control,400
think,0.6,asch_zhu_unbiased_unanimous_confident,400
think,0.6,authoritative_bias,400
think,0.6,authority_zhu_unbiased_trust,400
think,0.6,control,400
think_dpo,0.0,asch_zhu_unbiased_unanimous_confident,400
think_dpo,0.0,authoritative_bias,400
think_dpo,0.0,authority_zhu_unbiased_trust,400
think_dpo,0.0,control,400
think_dpo,0.6,asch_zhu_unbiased_unanimous_confident,400
think_dpo,0.6,authoritative_bias,400
think_dpo,0.6,authority_zhu_unbiased_trust,400
think_dpo,0.6,control,400
think_sft,0.0,asch_zhu_unbiased_unanimous_confident,400
think_sft,0.0,authoritative_bias,400
think_sft,0.0,authority_zhu_unbiased_trust,400
think_sft,0.0,control,400
think_sft,0.6,asch_zhu_unbiased_unanimous_confident,400
think_sft,0.6,authoritative_bias,400
think_sft,0.6,authority_zhu_unbiased_trust,400
think_sft,0.6,control,400
