variant,condition_name,pattern_reps,n_wrong_endorsed,n_denominator,ber
base,control,0,21.0,400.0,0.0525
base,asch_zhu_unbiased_diverse_plain,1,91.0,400.0,0.2275
base,asch_zhu_unbiased_qd,1,144.0,400.0,0.36
base,authoritative_bias,1,206.0,400.0,0.515
base,authority_zhu_unbiased_trust,1,160.0,400.0,0.4
base,authority_zhu_unbiased_trust_da,1,173.0,400.0,0.4325
base,asch_zhu_unbiased_da,4,203.0,400.0,0.5075
base,asch_history_5,5,233.0,400.0,0.5825
base,asch_zhu_unbiased_unanimous_confident,5,183.0,400.0,0.4575
base,asch_zhu_unbiased_unanimous_neutral,5,215.0,400.0,0.5375
base,asch_zhu_unbiased_unanimous_plain,5,244.0,400.0,0.61
base,asch_zhu_unbiased_unanimous_uncertain,5,249.0,400.0,0.6225
instruct_sft,control,0,24.0,400.0,0.06
instruct_sft,asch_zhu_unbiased_diverse_plain,1,70.0,400.0,0.175
instruct_sft,asch_zhu_unbiased_qd,1,123.0,400.0,0.3075
instruct_sft,authoritative_bias,1,173.0,400.0,0.4325
instruct_sft,authority_zhu_unbiased_trust,1,151.0,400.0,0.3775
instruct_sft,authority_zhu_unbiased_trust_da,1,173.0,400.0,0.4325
instruct_sft,asch_zhu_unbiased_da,4,161.0,400.0,0.4025
instruct_sft,asch_history_5,5,243.0,400.0,0.6075
instruct_sft,asch_zhu_unbiased_unanimous_confident,5,295.0,400.0,0.7375
instruct_sft,asch_zhu_unbiased_unanimous_neutral,5,301.0,400.0,0.7525
instruct_sft,asch_zhu_unbiased_unanimous_plain,5,205.0,400.0,0.5125
instruct_sft,asch_zhu_unbiased_unanimous_uncertain,5,252.0,400.0,0.63
instruct_dpo,control,0,26.0,400.0,0.065
instruct_dpo,asch_zhu_unbiased_diverse_plain,1,49.0,400.0,0.1225
instruct_dpo,asch_zhu_unbiased_qd,1,49.0,400.0,0.1225
instruct_dpo,authoritative_bias,1,129.0,400.0,0.3225
instruct_dpo,authority_zhu_unbiased_trust,1,120.0,400.0,0.3
instruct_dpo,authority_zhu_unbiased_trust_da,1,123.0,400.0,0.3075
instruct_dpo,asch_zhu_unbiased_da,4,67.0,400.0,0.1675
instruct_dpo,asch_history_5,5,74.0,400.0,0.185
instruct_dpo,asch_zhu_unbiased_unanimous_confident,5,156.0,400.0,0.39
instruct_dpo,asch_zhu_unbiased_unanimous_neutral,5,177.0,400.0,0.4425
instruct_dpo,asch_zhu_unbiased_unanimous_plain,5,70.0,400.0,0.175
instruct_dpo,asch_zhu_unbiased_unanimous_uncertain,5,106.0,400.0,0.265
instruct,control,0,28.0,400.0,0.07
instruct,asch_zhu_unbiased_diverse_plain,1,46.0,400.0,0.115
instruct,asch_zhu_unbiased_qd,1,58.0,400.0,0.145
instruct,authoritative_bias,1,127.0,400.0,0.3175
instruct,authority_zhu_unbiased_trust,1,106.0,400.0,0.265
instruct,authority_zhu_unbiased_trust_da,1,125.0,400.0,0.3125
instruct,asch_zhu_unbiased_da,4,87.0,400.0,0.2175
instruct,asch_history_5,5,82.0,400.0,0.205
instruct,asch_zhu_unbiased_unanimous_confident,5,203.0,400.0,0.5075
instruct,asch_zhu_unbiased_unanimous_neutral,5,198.0,400.0,0.495
instruct,asch_zhu_unbiased_unanimous_plain,5,94.0,400.0,0.235
instruct,asch_zhu_unbiased_unanimous_uncertain,5,135.0,400.0,0.3375
think_sft,control,0,34.0,400.0,0.085
think_sft,authoritative_bias,1,106.0,400.0,0.265
think_sft,authority_zhu_unbiased_trust,1,148.0,400.0,0.37
think_sft,asch_zhu_unbiased_unanimous_confident,5,129.0,400.0,0.3225
think_dpo,control,0,32.0,400.0,0.08
think_dpo,authoritative_bias,1,111.0,400.0,0.2775
think_dpo,authority_zhu_unbiased_trust,1,110.0,400.0,0.275
think_dpo,asch_zhu_unbiased_unanimous_confident,5,114.0,400.0,0.285
think,control,0,24.0,400.0,0.06
think,authoritative_bias,1,84.0,400.0,0.21
think,authority_zhu_unbiased_trust,1,106.0,400.0,0.265
think,asch_zhu_unbiased_unanimous_confident,5,117.0,400.0,0.2925
