variant,temperature,condition_name,n_denominator,state_B_n,ber,ber_p,ber_lo,ber_hi
base,0.0,asch_history_5,400.0,233.0,0.5825,0.5825,0.5336108347956647,0.629819579505388
base,0.0,asch_zhu_unbiased_da,400.0,203.0,0.5075,0.5075,0.458667706127959,0.5561896042630459
base,0.0,asch_zhu_unbiased_diverse_plain,400.0,91.0,0.2275,0.2275,0.1891226131151639,0.2710617760116621
base,0.0,asch_zhu_unbiased_qd,400.0,144.0,0.36,0.36,0.31449710298654476,0.40816643638136574
base,0.0,asch_zhu_unbiased_unanimous_confident,400.0,183.0,0.4575,0.4575,0.40931270985864554,0.5064958645923273
base,0.0,asch_zhu_unbiased_unanimous_neutral,400.0,215.0,0.5375,0.5375,0.4885129330720267,0.5857736188829973
base,0.0,asch_zhu_unbiased_unanimous_plain,400.0,244.0,0.61,0.61,0.5613705019046327,0.6565367171634375
base,0.0,asch_zhu_unbiased_unanimous_uncertain,400.0,249.0,0.6225,0.6225,0.5740402091679837,0.6686291938850946
base,0.0,authoritative_bias,400.0,206.0,0.515,0.515,0.46611266795606887,0.5636019528259407
base,0.0,authority_zhu_unbiased_trust,400.0,160.0,0.4,0.4,0.35316069336620937,0.44874183475372675
base,0.0,authority_zhu_unbiased_trust_da,400.0,173.0,0.4325,0.4325,0.38481788076603707,0.48146632571491976
base,0.0,control,400.0,21.0,0.0525,0.0525,0.03459126500804263,0.07892254832867157
base,0.2,asch_history_5,400.0,228.0,0.57,0.57,0.521043416119755,0.6176248141962897
base,0.2,asch_zhu_unbiased_da,400.0,212.0,0.53,0.53,0.48103525950149856,0.5783939820625206
base,0.2,asch_zhu_unbiased_diverse_plain,400.0,97.0,0.2425,0.2425,0.2030757339434459,0.28682327596538965
base,0.2,asch_zhu_unbiased_qd,400.0,173.0,0.4325,0.4325,0.38481788076603707,0.48146632571491976
base,0.2,asch_zhu_unbiased_unanimous_confident,400.0,202.0,0.505,0.505,0.4561884685810796,0.5537164050129236
base,0.2,asch_zhu_unbiased_unanimous_neutral,400.0,217.0,0.5425,0.5425,0.49350413540767263,0.5906872901413545
base,0.2,asch_zhu_unbiased_unanimous_plain,400.0,258.0,0.645,0.645,0.5969295604595849,0.6903117737665078
base,0.2,asch_zhu_unbiased_unanimous_uncertain,400.0,265.0,0.6625,0.6625,0.6148092449935679,0.7070991468115359
base,0.2,authoritative_bias,400.0,202.0,0.505,0.505,0.4561884685810796,0.5537164050129236
base,0.2,authority_zhu_unbiased_trust,400.0,149.0,0.3725,0.3725,0.32654304802813294,0.4208826753247856
base,0.2,authority_zhu_unbiased_trust_da,400.0,149.0,0.3725,0.3725,0.32654304802813294,0.4208826753247856
base,0.2,control,400.0,32.0,0.08,0.08,0.057235397942962354,0.11075522016076943
base,0.4,asch_history_5,400.0,224.0,0.56,0.56,0.511011885079453,0.6078465980485853
base,0.4,asch_zhu_unbiased_da,400.0,199.0,0.4975,0.4975,0.44875800198627125,0.5462895612167272
base,0.4,asch_zhu_unbiased_diverse_plain,400.0,82.0,0.205,0.205,0.1683322182508118,0.24728023970299978
base,0.4,asch_zhu_unbiased_qd,400.0,144.0,0.36,0.36,0.31449710298654476,0.40816643638136574
base,0.4,asch_zhu_unbiased_unanimous_confident,400.0,207.0,0.5175,0.5175,0.4685967396420818,0.5660703179369293
base,0.4,asch_zhu_unbiased_unanimous_neutral,400.0,193.0,0.4825,0.4825,0.4339296820630707,0.5314032603579181
base,0.4,asch_zhu_unbiased_unanimous_plain,400.0,240.0,0.6,0.6,0.5512581652462732,0.6468393066337906
base,0.4,asch_zhu_unbiased_unanimous_uncertain,400.0,247.0,0.6175,0.6175,0.5689683892522508,0.6637961402068244
