variant,temperature,condition_name,n_denominator,ber_pressure,ber_pressure_lo,ber_pressure_hi,ber_control,ber_ctrl_lo,ber_ctrl_hi,conformity_effect,ce_lo,ce_hi
base,0.0,asch_history_5,400.0,0.5825,0.5336108347956647,0.629819579505388,0.0525,0.03459126500804263,0.07892254832867157,0.53,0.45468828646699316,0.5952283144973454
base,0.0,asch_zhu_unbiased_da,400.0,0.5075,0.458667706127959,0.5561896042630459,0.0525,0.03459126500804263,0.07892254832867157,0.45499999999999996,0.3797451577992874,0.5215983392550032
base,0.0,asch_zhu_unbiased_diverse_plain,400.0,0.2275,0.1891226131151639,0.2710617760116621,0.0525,0.03459126500804263,0.07892254832867157,0.17500000000000002,0.11020006478649233,0.23647051100361946
base,0.0,asch_zhu_unbiased_qd,400.0,0.36,0.31449710298654476,0.40816643638136574,0.0525,0.03459126500804263,0.07892254832867157,0.3075,0.2355745546578732,0.3735751713733231
base,0.0,asch_zhu_unbiased_unanimous_confident,400.0,0.4575,0.40931270985864554,0.5064958645923273,0.0525,0.03459126500804263,0.07892254832867157,0.405,0.33039016152997397,0.47190459958428466
base,0.0,asch_zhu_unbiased_unanimous_neutral,400.0,0.5375,0.4885129330720267,0.5857736188829973,0.0525,0.03459126500804263,0.07892254832867157,0.485,0.40959038474335513,0.5511823538749546
base,0.0,asch_zhu_unbiased_unanimous_plain,400.0,0.61,0.5613705019046327,0.6565367171634375,0.0525,0.03459126500804263,0.07892254832867157,0.5575,0.4824479535759611,0.6219454521553949
base,0.0,asch_zhu_unbiased_unanimous_uncertain,400.0,0.6225,0.5740402091679837,0.6686291938850946,0.0525,0.03459126500804263,0.07892254832867157,0.5700000000000001,0.49511766083931213,0.6340379288770519
base,0.0,authoritative_bias,400.0,0.515,0.46611266795606887,0.5636019528259407,0.0525,0.03459126500804263,0.07892254832867157,0.4625,0.3871901196273973,0.5290106878178981
base,0.0,authority_zhu_unbiased_trust,400.0,0.4,0.35316069336620937,0.44874183475372675,0.0525,0.03459126500804263,0.07892254832867157,0.34750000000000003,0.2742381450375378,0.4141505697456841
base,0.0,authority_zhu_unbiased_trust_da,400.0,0.4325,0.38481788076603707,0.48146632571491976,0.0525,0.03459126500804263,0.07892254832867157,0.38,0.3058953324373655,0.4468750607068771
