variant,temperature,condition_name,n_denominator,n_correct,correct_rate_p,correct_rate_lo,correct_rate_hi
base,0.0,asch_history_5,400.0,77.0,0.1925,0.15686042573701753,0.2339898482317861
base,0.0,asch_zhu_unbiased_da,400.0,19.0,0.0475,0.030616832107668652,0.07299210763504237
base,0.0,asch_zhu_unbiased_diverse_plain,400.0,42.0,0.105,0.07862330722943671,0.138891678844311
base,0.0,asch_zhu_unbiased_qd,400.0,51.0,0.1275,0.09832071558850791,0.16376620165825423
base,0.0,asch_zhu_unbiased_unanimous_confident,400.0,17.0,0.0425,0.02670146955162519,0.06700259659708263
base,0.0,asch_zhu_unbiased_unanimous_neutral,400.0,18.0,0.045,0.028651223384090457,0.07000527956161895
base,0.0,asch_zhu_unbiased_unanimous_plain,400.0,27.0,0.0675,0.046801154899328234,0.09642727921939556
base,0.0,asch_zhu_unbiased_unanimous_uncertain,400.0,12.0,0.03,0.017242849034032177,0.05169903312966765
base,0.0,authoritative_bias,400.0,76.0,0.19,0.15457325560638852,0.23132458156541352
base,0.0,authority_zhu_unbiased_trust,400.0,84.0,0.21,0.17293709734247628,0.2525802342053385
base,0.0,authority_zhu_unbiased_trust_da,400.0,58.0,0.145,0.1138699785258184,0.18288399629995486
base,0.0,control,400.0,99.0,0.2475,0.2077422550606482,0.2920616284421905
base,0.2,asch_history_5,400.0,78.0,0.195,0.15915003771249597,0.23665267305330928
base,0.2,asch_zhu_unbiased_da,400.0,28.0,0.07,0.048871304519740505,0.0993095663959849
base,0.2,asch_zhu_unbiased_diverse_plain,400.0,48.0,0.12,0.09171493428788872,0.1555146725678686
base,0.2,asch_zhu_unbiased_qd,400.0,56.0,0.14,0.10940912065943276,0.17743998057233734
base,0.2,asch_zhu_unbiased_unanimous_confident,400.0,24.0,0.06,0.0406476805246611,0.0877234432030579
base,0.2,asch_zhu_unbiased_unanimous_neutral,400.0,32.0,0.08,0.057235397942962354,0.11075522016076943
base,0.2,asch_zhu_unbiased_unanimous_plain,400.0,31.0,0.0775,0.05513258958646752,0.10790559172026265
base,0.2,asch_zhu_unbiased_unanimous_uncertain,400.0,14.0,0.035,0.0209610999014911,0.05788565585621193
base,0.2,authoritative_bias,400.0,79.0,0.1975,0.16144205642368673,0.2393130911391201
base,0.2,authority_zhu_unbiased_trust,400.0,89.0,0.2225,0.18448762755400633,0.2657918879788165
base,0.2,authority_zhu_unbiased_trust_da,400.0,68.0,0.17,0.13636842234813634,0.20990992044765294
base,0.2,control,400.0,121.0,0.3025,0.25953861492842695,0.34921887810844693
base,0.4,asch_history_5,400.0,76.0,0.19,0.15457325560638852,0.23132458156541352
base,0.4,asch_zhu_unbiased_da,400.0,33.0,0.0825,0.059345516507342,0.11359753839339136
base,0.4,asch_zhu_unbiased_diverse_plain,400.0,46.0,0.115,0.08733247792422089,0.14999225533753324
base,0.4,asch_zhu_unbiased_qd,400.0,63.0,0.1575,0.1250805930171134,0.19643556579366786
base,0.4,asch_zhu_unbiased_unanimous_confident,400.0,31.0,0.0775,0.05513258958646752,0.10790559172026265
base,0.4,asch_zhu_unbiased_unanimous_neutral,400.0,48.0,0.12,0.09171493428788872,0.1555146725678686
base,0.4,asch_zhu_unbiased_unanimous_plain,400.0,45.0,0.1125,0.0851480200886654,0.14722427637608715
base,0.4,asch_zhu_unbiased_unanimous_uncertain,400.0,24.0,0.06,0.0406476805246611,0.0877234432030579
base,0.4,authoritative_bias,400.0,82.0,0.205,0.1683322182508118,0.24728023970299978
base,0.4,authority_zhu_unbiased_trust,400.0,88.0,0.22,0.18217324955825856,0.26315382917756264
base,0.4,authority_zhu_unbiased_trust_da,400.0,82.0,0.205,0.1683322182508118,0.24728023970299978
base,0.4,control,400.0,107.0,0.2675,0.22648167576028763,0.31294170211856387
base,0.6,asch_history_5,400.0,75.0,0.1875,0.15228856358904605,0.2286568367857544
base,0.6,asch_zhu_unbiased_da,400.0,54.0,0.135,0.10496250056538574,0.17198172707238119
base,0.6,asch_zhu_unbiased_diverse_plain,400.0,46.0,0.115,0.08733247792422089,0.14999225533753324
base,0.6,asch_zhu_unbiased_qd,400.0,75.0,0.1875,0.15228856358904605,0.2286568367857544
base,0.6,asch_zhu_unbiased_unanimous_confident,400.0,44.0,0.11,0.08296824650193971,0.14445161316581123
base,0.6,asch_zhu_unbiased_unanimous_neutral,400.0,47.0,0.1175,0.08952149033047882,0.1527556797282769
base,0.6,asch_zhu_unbiased_unanimous_plain,400.0,52.0,0.13,0.10053077315766948,0.16650858088609424
base,0.6,asch_zhu_unbiased_unanimous_uncertain,400.0,36.0,0.09,0.065716912967122,0.12208345232461616
base,0.6,authoritative_bias,400.0,63.0,0.1575,0.1250805930171134,0.19643556579366786
base,0.6,authority_zhu_unbiased_trust,400.0,80.0,0.2,0.16373644787133712,0.24197113648847135
base,0.6,authority_zhu_unbiased_trust_da,400.0,74.0,0.185,0.15000638716506282,0.225986576412736
base,0.6,control,400.0,95.0,0.2375,0.19841684319432581,0.2815772931205065
base,0.8,asch_history_5,400.0,78.0,0.195,0.15915003771249597,0.23665267305330928
base,0.8,asch_zhu_unbiased_da,400.0,45.0,0.1125,0.0851480200886654,0.14722427637608715
base,0.8,asch_zhu_unbiased_diverse_plain,400.0,57.0,0.1425,0.11163780858819913,0.18016372944057255
base,0.8,asch_zhu_unbiased_qd,400.0,64.0,0.16,0.12733221459300603,0.19913638101477682
base,0.8,asch_zhu_unbiased_unanimous_confident,400.0,46.0,0.115,0.08733247792422089,0.14999225533753324
base,0.8,asch_zhu_unbiased_unanimous_neutral,400.0,47.0,0.1175,0.08952149033047882,0.1527556797282769
base,0.8,asch_zhu_unbiased_unanimous_plain,400.0,51.0,0.1275,0.09832071558850791,0.16376620165825423
base,0.8,asch_zhu_unbiased_unanimous_uncertain,400.0,38.0,0.095,0.0699962171700798,0.12770902171566156
base,0.8,authoritative_bias,400.0,73.0,0.1825,0.14772676508161553,0.2233137616991817
base,0.8,authority_zhu_unbiased_trust,400.0,71.0,0.1775,0.14317534561717957,0.21796030756961446
base,0.8,authority_zhu_unbiased_trust_da,400.0,63.0,0.1575,0.1250805930171134,0.19643556579366786
base,0.8,control,400.0,107.0,0.2675,0.22648167576028763,0.31294170211856387
base,1.0,asch_history_5,400.0,73.0,0.1825,0.14772676508161553,0.2233137616991817
base,1.0,asch_zhu_unbiased_da,400.0,46.0,0.115,0.08733247792422089,0.14999225533753324
base,1.0,asch_zhu_unbiased_diverse_plain,400.0,59.0,0.1475,0.1161055571050416,0.18560085451773328
base,1.0,asch_zhu_unbiased_qd,400.0,62.0,0.155,0.12283205544731421,0.19373166656646548
base,1.0,asch_zhu_unbiased_unanimous_confident,400.0,53.0,0.1325,0.10274473201637832,0.16924705882438698
base,1.0,asch_zhu_unbiased_unanimous_neutral,400.0,39.0,0.0975,0.07214471685094813,0.1305129588317948
base,1.0,asch_zhu_unbiased_unanimous_plain,400.0,50.0,0.125,0.09611465529837437,0.16101982515138613
base,1.0,asch_zhu_unbiased_unanimous_uncertain,400.0,46.0,0.115,0.08733247792422089,0.14999225533753324
base,1.0,authoritative_bias,400.0,74.0,0.185,0.15000638716506282,0.225986576412736
base,1.0,authority_zhu_unbiased_trust,400.0,68.0,0.17,0.13636842234813634,0.20990992044765294
base,1.0,authority_zhu_unbiased_trust_da,400.0,66.0,0.165,0.13184448183586026,0.2045289873659258
base,1.0,control,400.0,107.0,0.2675,0.22648167576028763,0.31294170211856387
instruct,0.0,asch_history_5,400.0,101.0,0.2525,0.21241625232287653,0.2972925047739654
instruct,0.0,asch_zhu_unbiased_da,400.0,80.0,0.2,0.16373644787133712,0.24197113648847135
instruct,0.0,asch_zhu_unbiased_diverse_plain,400.0,66.0,0.165,0.13184448183586026,0.2045289873659258
instruct,0.0,asch_zhu_unbiased_qd,400.0,74.0,0.185,0.15000638716506282,0.225986576412736
instruct,0.0,asch_zhu_unbiased_unanimous_confident,400.0,45.0,0.1125,0.0851480200886654,0.14722427637608715
instruct,0.0,asch_zhu_unbiased_unanimous_neutral,400.0,77.0,0.1925,0.15686042573701753,0.2339898482317861
instruct,0.0,asch_zhu_unbiased_unanimous_plain,400.0,79.0,0.1975,0.16144205642368673,0.2393130911391201
instruct,0.0,asch_zhu_unbiased_unanimous_uncertain,400.0,98.0,0.245,0.20540805053884156,0.28944339616699555
instruct,0.0,authoritative_bias,400.0,85.0,0.2125,0.17524287819884765,0.2552268901459687
instruct,0.0,authority_zhu_unbiased_trust,400.0,105.0,0.2625,0.2217860978907582,0.30773240639409016
instruct,0.0,authority_zhu_unbiased_trust_da,400.0,98.0,0.245,0.20540805053884156,0.28944339616699555
instruct,0.0,control,400.0,128.0,0.32,0.2761833561331949,0.3672411944826901
instruct,0.2,asch_history_5,400.0,108.0,0.27,0.22883207265888467,0.3155437420169685
instruct,0.2,asch_zhu_unbiased_da,400.0,66.0,0.165,0.13184448183586026,0.2045289873659258
instruct,0.2,asch_zhu_unbiased_diverse_plain,400.0,62.0,0.155,0.12283205544731421,0.19373166656646548
instruct,0.2,asch_zhu_unbiased_qd,400.0,60.0,0.15,0.11834447398799032,0.18831437443178617
instruct,0.2,asch_zhu_unbiased_unanimous_confident,400.0,43.0,0.1075,0.08079329401678037,0.14167412885396896
instruct,0.2,asch_zhu_unbiased_unanimous_neutral,400.0,72.0,0.18,0.1454497374118191,0.22063835257197656
instruct,0.2,asch_zhu_unbiased_unanimous_plain,400.0,74.0,0.185,0.15000638716506282,0.225986576412736
instruct,0.2,asch_zhu_unbiased_unanimous_uncertain,400.0,98.0,0.245,0.20540805053884156,0.28944339616699555
instruct,0.2,authoritative_bias,400.0,95.0,0.2375,0.19841684319432581,0.2815772931205065
instruct,0.2,authority_zhu_unbiased_trust,400.0,112.0,0.28,0.23825069981202085,0.32593486205183864
instruct,0.2,authority_zhu_unbiased_trust_da,400.0,91.0,0.2275,0.1891226131151639,0.2710617760116621
instruct,0.2,control,400.0,130.0,0.325,0.28095249494205327,0.372376929267835
instruct,0.4,asch_history_5,400.0,110.0,0.275,0.2335380071267212,0.32074268114313514
instruct,0.4,asch_zhu_unbiased_da,400.0,61.0,0.1525,0.12058666169525958,0.19102462352151847
instruct,0.4,asch_zhu_unbiased_diverse_plain,400.0,61.0,0.1525,0.12058666169525958,0.19102462352151847
instruct,0.4,asch_zhu_unbiased_qd,400.0,58.0,0.145,0.1138699785258184,0.18288399629995486
instruct,0.4,asch_zhu_unbiased_unanimous_confident,400.0,46.0,0.115,0.08733247792422089,0.14999225533753324
instruct,0.4,asch_zhu_unbiased_unanimous_neutral,400.0,71.0,0.1775,0.14317534561717957,0.21796030756961446
instruct,0.4,asch_zhu_unbiased_unanimous_plain,400.0,65.0,0.1625,0.1295868626510332,0.2018341697537513
instruct,0.4,asch_zhu_unbiased_unanimous_uncertain,400.0,92.0,0.23,0.1914431725936634,0.2736936533301642
instruct,0.4,authoritative_bias,400.0,78.0,0.195,0.15915003771249597,0.23665267305330928
instruct,0.4,authority_zhu_unbiased_trust,400.0,109.0,0.2725,0.23118418800549204,0.3181440634673627
instruct,0.4,authority_zhu_unbiased_trust_da,400.0,94.0,0.235,0.1960903097272598,0.278951389790571
instruct,0.4,control,400.0,124.0,0.31,0.26666296102378073,0.35695184240409794
instruct,0.6,asch_history_5,400.0,109.0,0.2725,0.23118418800549204,0.3181440634673627
instruct,0.6,asch_zhu_unbiased_da,400.0,60.0,0.15,0.11834447398799032,0.18831437443178617
instruct,0.6,asch_zhu_unbiased_diverse_plain,400.0,59.0,0.1475,0.1161055571050416,0.18560085451773328
instruct,0.6,asch_zhu_unbiased_qd,400.0,47.0,0.1175,0.08952149033047882,0.1527556797282769
instruct,0.6,asch_zhu_unbiased_unanimous_confident,400.0,44.0,0.11,0.08296824650193971,0.14445161316581123
instruct,0.6,asch_zhu_unbiased_unanimous_neutral,400.0,65.0,0.1625,0.1295868626510332,0.2018341697537513
instruct,0.6,asch_zhu_unbiased_unanimous_plain,400.0,66.0,0.165,0.13184448183586026,0.2045289873659258
instruct,0.6,asch_zhu_unbiased_unanimous_uncertain,400.0,97.0,0.2425,0.2030757339434459,0.28682327596538965
instruct,0.6,authoritative_bias,400.0,87.0,0.2175,0.17986098131336697,0.2605136606254526
instruct,0.6,authority_zhu_unbiased_trust,400.0,102.0,0.255,0.21475600851610616,0.2999051853777373
instruct,0.6,authority_zhu_unbiased_trust_da,400.0,96.0,0.24,0.20074532480639665,0.28420124830543736
instruct,0.6,control,400.0,141.0,0.3525,0.3072858484474132,0.4005203805294925
instruct,0.8,asch_history_5,400.0,114.0,0.285,0.24297004043196901,0.33112039502589363
instruct,0.8,asch_zhu_unbiased_da,400.0,60.0,0.15,0.11834447398799032,0.18831437443178617
instruct,0.8,asch_zhu_unbiased_diverse_plain,400.0,58.0,0.145,0.1138699785258184,0.18288399629995486
instruct,0.8,asch_zhu_unbiased_qd,400.0,56.0,0.14,0.10940912065943276,0.17743998057233734
instruct,0.8,asch_zhu_unbiased_unanimous_confident,400.0,38.0,0.095,0.0699962171700798,0.12770902171566156
instruct,0.8,asch_zhu_unbiased_unanimous_neutral,400.0,68.0,0.17,0.13636842234813634,0.20990992044765294
instruct,0.8,asch_zhu_unbiased_unanimous_plain,400.0,65.0,0.1625,0.1295868626510332,0.2018341697537513
instruct,0.8,asch_zhu_unbiased_unanimous_uncertain,400.0,84.0,0.21,0.17293709734247628,0.2525802342053385
instruct,0.8,authoritative_bias,400.0,83.0,0.2075,0.17063353432585826,0.24993136042495495
instruct,0.8,authority_zhu_unbiased_trust,400.0,105.0,0.2625,0.2217860978907582,0.30773240639409016
instruct,0.8,authority_zhu_unbiased_trust_da,400.0,100.0,0.25,0.21007832849376823,0.29467799180607207
instruct,0.8,control,400.0,138.0,0.345,0.30008703653936986,0.39286188204653105
instruct,1.0,asch_history_5,400.0,120.0,0.3,0.2571669255289339,0.34663813071093835
instruct,1.0,asch_zhu_unbiased_da,400.0,61.0,0.1525,0.12058666169525958,0.19102462352151847
