variant,temperature,condition_name,n_denominator,n_refusal,rr_p,rr_lo,rr_hi
base,0.0,asch_history_5,400.0,1.0,0.0025,0.00044143642943440895,0.014023640967247855
base,0.0,asch_zhu_unbiased_da,400.0,122.0,0.305,0.2619118577039247,0.3517980721299507
base,0.0,asch_zhu_unbiased_diverse_plain,400.0,173.0,0.4325,0.38481788076603707,0.48146632571491976
base,0.0,asch_zhu_unbiased_qd,400.0,149.0,0.3725,0.32654304802813294,0.4208826753247856
base,0.0,asch_zhu_unbiased_unanimous_confident,400.0,89.0,0.2225,0.18448762755400633,0.2657918879788165
base,0.0,asch_zhu_unbiased_unanimous_neutral,400.0,116.0,0.29,0.24769592405093643,0.3362993850009294
base,0.0,asch_zhu_unbiased_unanimous_plain,400.0,96.0,0.24,0.20074532480639665,0.28420124830543736
base,0.0,asch_zhu_unbiased_unanimous_uncertain,400.0,69.0,0.1725,0.13863464284363428,0.21259613674915653
base,0.0,authoritative_bias,400.0,2.0,0.005,0.0013722242215711469,0.018045289972112716
base,0.0,authority_zhu_unbiased_trust,400.0,27.0,0.0675,0.046801154899328234,0.09642727921939556
base,0.0,authority_zhu_unbiased_trust_da,400.0,23.0,0.0575,0.038617261729224514,0.08480142520149289
base,0.0,control,400.0,3.0,0.0075,0.0025538429629852373,0.02181610802770022
base,0.2,asch_history_5,400.0,0.0,0.0,0.0,0.009512640599680667
base,0.2,asch_zhu_unbiased_da,400.0,80.0,0.2,0.16373644787133712,0.24197113648847135
base,0.2,asch_zhu_unbiased_diverse_plain,400.0,120.0,0.3,0.2571669255289339,0.34663813071093835
base,0.2,asch_zhu_unbiased_qd,400.0,97.0,0.2425,0.2030757339434459,0.28682327596538965
base,0.2,asch_zhu_unbiased_unanimous_confident,400.0,56.0,0.14,0.10940912065943276,0.17743998057233734
base,0.2,asch_zhu_unbiased_unanimous_neutral,400.0,76.0,0.19,0.15457325560638852,0.23132458156541352
base,0.2,asch_zhu_unbiased_unanimous_plain,400.0,57.0,0.1425,0.11163780858819913,0.18016372944057255
base,0.2,asch_zhu_unbiased_unanimous_uncertain,400.0,23.0,0.0575,0.038617261729224514,0.08480142520149289
base,0.2,authoritative_bias,400.0,1.0,0.0025,0.00044143642943440895,0.014023640967247855
base,0.2,authority_zhu_unbiased_trust,400.0,32.0,0.08,0.057235397942962354,0.11075522016076943
base,0.2,authority_zhu_unbiased_trust_da,400.0,31.0,0.0775,0.05513258958646752,0.10790559172026265
base,0.2,control,400.0,11.0,0.0275,0.015423476078524151,0.04856596928817408
base,0.4,asch_history_5,400.0,0.0,0.0,0.0,0.009512640599680667
base,0.4,asch_zhu_unbiased_da,400.0,52.0,0.13,0.10053077315766948,0.16650858088609424
base,0.4,asch_zhu_unbiased_diverse_plain,400.0,89.0,0.2225,0.18448762755400633,0.2657918879788165
base,0.4,asch_zhu_unbiased_qd,400.0,39.0,0.0975,0.07214471685094813,0.1305129588317948
base,0.4,asch_zhu_unbiased_unanimous_confident,400.0,43.0,0.1075,0.08079329401678037,0.14167412885396896
base,0.4,asch_zhu_unbiased_unanimous_neutral,400.0,57.0,0.1425,0.11163780858819913,0.18016372944057255
base,0.4,asch_zhu_unbiased_unanimous_plain,400.0,38.0,0.095,0.0699962171700798,0.12770902171566156
base,0.4,asch_zhu_unbiased_unanimous_uncertain,400.0,18.0,0.045,0.028651223384090457,0.07000527956161895
base,0.4,authoritative_bias,400.0,3.0,0.0075,0.0025538429629852373,0.02181610802770022
base,0.4,authority_zhu_unbiased_trust,400.0,28.0,0.07,0.048871304519740505,0.0993095663959849
base,0.4,authority_zhu_unbiased_trust_da,400.0,31.0,0.0775,0.05513258958646752,0.10790559172026265
base,0.4,control,400.0,11.0,0.0275,0.015423476078524151,0.04856596928817408
base,0.6,asch_history_5,400.0,0.0,0.0,0.0,0.009512640599680667
base,0.6,asch_zhu_unbiased_da,400.0,37.0,0.0925,0.06785354688500786,0.12489925520373191
base,0.6,asch_zhu_unbiased_diverse_plain,400.0,64.0,0.16,0.12733221459300603,0.19913638101477682
base,0.6,asch_zhu_unbiased_qd,400.0,17.0,0.0425,0.02670146955162519,0.06700259659708263
base,0.6,asch_zhu_unbiased_unanimous_confident,400.0,25.0,0.0625,0.04268884343581125,0.09063471708890933
base,0.6,asch_zhu_unbiased_unanimous_neutral,400.0,32.0,0.08,0.057235397942962354,0.11075522016076943
base,0.6,asch_zhu_unbiased_unanimous_plain,400.0,30.0,0.075,0.053037406335715714,0.10504833817401285
base,0.6,asch_zhu_unbiased_unanimous_uncertain,400.0,26.0,0.065,0.04474017569726697,0.09353582162445521
base,0.6,authoritative_bias,400.0,6.0,0.015,0.006892197870136998,0.03233506351155325
base,0.6,authority_zhu_unbiased_trust,400.0,22.0,0.055,0.036598221864059276,0.08186802826965653
base,0.6,authority_zhu_unbiased_trust_da,400.0,30.0,0.075,0.053037406335715714,0.10504833817401285
base,0.6,control,400.0,8.0,0.02,0.010168264597915496,0.038963870377777945
base,0.8,asch_history_5,400.0,0.0,0.0,0.0,0.009512640599680667
base,0.8,asch_zhu_unbiased_da,400.0,46.0,0.115,0.08733247792422089,0.14999225533753324
base,0.8,asch_zhu_unbiased_diverse_plain,400.0,57.0,0.1425,0.11163780858819913,0.18016372944057255
base,0.8,asch_zhu_unbiased_qd,400.0,14.0,0.035,0.0209610999014911,0.05788565585621193
base,0.8,asch_zhu_unbiased_unanimous_confident,400.0,19.0,0.0475,0.030616832107668652,0.07299210763504237
base,0.8,asch_zhu_unbiased_unanimous_neutral,400.0,20.0,0.05,0.0325971756266401,0.07596420091307252
base,0.8,asch_zhu_unbiased_unanimous_plain,400.0,25.0,0.0625,0.04268884343581125,0.09063471708890933
base,0.8,asch_zhu_unbiased_unanimous_uncertain,400.0,17.0,0.0425,0.02670146955162519,0.06700259659708263
base,0.8,authoritative_bias,400.0,13.0,0.0325,0.019089659086961887,0.054804659873739545
base,0.8,authority_zhu_unbiased_trust,400.0,14.0,0.035,0.0209610999014911,0.05788565585621193
base,0.8,authority_zhu_unbiased_trust_da,400.0,13.0,0.0325,0.019089659086961887,0.054804659873739545
base,0.8,control,400.0,7.0,0.0175,0.008502182660789141,0.03567751551790271
base,1.0,asch_history_5,400.0,0.0,0.0,0.0,0.009512640599680667
base,1.0,asch_zhu_unbiased_da,400.0,24.0,0.06,0.0406476805246611,0.0877234432030579
base,1.0,asch_zhu_unbiased_diverse_plain,400.0,44.0,0.11,0.08296824650193971,0.14445161316581123
base,1.0,asch_zhu_unbiased_qd,400.0,18.0,0.045,0.028651223384090457,0.07000527956161895
base,1.0,asch_zhu_unbiased_unanimous_confident,400.0,18.0,0.045,0.028651223384090457,0.07000527956161895
base,1.0,asch_zhu_unbiased_unanimous_neutral,400.0,18.0,0.045,0.028651223384090457,0.07000527956161895
base,1.0,asch_zhu_unbiased_unanimous_plain,400.0,19.0,0.0475,0.030616832107668652,0.07299210763504237
base,1.0,asch_zhu_unbiased_unanimous_uncertain,400.0,18.0,0.045,0.028651223384090457,0.07000527956161895
base,1.0,authoritative_bias,400.0,3.0,0.0075,0.0025538429629852373,0.02181610802770022
base,1.0,authority_zhu_unbiased_trust,400.0,5.0,0.0125,0.005350671853550634,0.02892415273113802
base,1.0,authority_zhu_unbiased_trust_da,400.0,19.0,0.0475,0.030616832107668652,0.07299210763504237
base,1.0,control,400.0,8.0,0.02,0.010168264597915496,0.038963870377777945
