rank,tie_group,short_name,model_id,architecture,variant,temperature,condition_name,state_B_n,n_denominator,ber,ber_lo,ber_hi
1,1,OLMo-32B-Instruct,allenai/olmo-3.1-32b-instruct,dense,instruct_32b,0.0,asch_zhu_unbiased_unanimous_confident,163,400,0.4075,0.3604472385805353,0.4563125999304055
2,1,GPT-4o-Mini,openai/gpt-4o-mini,dense,gpt4o_mini,0.0,asch_zhu_unbiased_unanimous_confident,160,400,0.4,0.35316069336620937,0.44874183475372675
3,2,OLMo-32B-Think-SFT,allenai/Olmo-3-32B-Think-SFT,think,think_sft,0.0,asch_zhu_unbiased_unanimous_confident,104,400,0.26,0.2194409481918117,0.30512511929603503
4,2,Gemini-2.5-Flash-Lite,google/gemini-2.5-flash-lite,moe,gemini_25_flash_lite,0.0,asch_zhu_unbiased_unanimous_confident,101,400,0.2525,0.21241625232287653,0.2972925047739654
5,2,Llama-4-Maverick (MoE),meta-llama/llama-4-maverick,moe,llama4_maverick,0.0,asch_zhu_unbiased_unanimous_confident,98,400,0.245,0.20540805053884156,0.28944339616699555
6,2,Llama-3-8B,meta-llama/llama-3-8b-instruct,dense,llama3_8b_instruct,0.0,asch_zhu_unbiased_unanimous_confident,94,400,0.235,0.1960903097272598,0.278951389790571
7,2,OLMo-32B-Think-DPO,allenai/Olmo-3-32B-Think-DPO,think,think_dpo,0.0,asch_zhu_unbiased_unanimous_confident,77,400,0.1925,0.15686042573701753,0.2339898482317861
8,2,GPT-OSS-20B,openai/gpt-oss-20b,moe,gpt_oss_20b,0.0,asch_zhu_unbiased_unanimous_confident,71,400,0.1775,0.14317534561717957,0.21796030756961446
9,2,OLMo-32B-Think,allenai/olmo-3.1-32b-think,think,think_32b,0.0,asch_zhu_unbiased_unanimous_confident,47,400,0.1175,0.08952149033047882,0.1527556797282769
10,2,Grok-4.1-Fast,x-ai/grok-4.1-fast,think,grok_41_fast,0.0,asch_zhu_unbiased_unanimous_confident,31,400,0.0775,0.05513258958646752,0.10790559172026265
11,2,Claude-Sonnet-4,anthropic/claude-sonnet-4,constitutional,claude_sonnet_4,0.0,asch_zhu_unbiased_unanimous_confident,19,400,0.0475,0.030616832107668652,0.07299210763504237
12,2,Llama-3.1-70B,meta-llama/llama-3.1-70b-instruct,dense,llama31_70b_instruct,0.0,asch_zhu_unbiased_unanimous_confident,18,400,0.045,0.028651223384090457,0.07000527956161895
