model_id,short_name,architecture,temperature,ber_control,ber_peer,ber_authority,peer_ber_delta,authority_ber_delta,delta_peer_minus_auth
allenai/Olmo-3-32B-Think-DPO,OLMo-32B-Think-DPO,think,0.0,0.0575,0.1925,0.21553884711779447,0.135,0.15803884711779448,-0.02303884711779447
allenai/Olmo-3-32B-Think-SFT,OLMo-32B-Think-SFT,think,0.0,0.0675,0.26,0.2425,0.1925,0.175,0.017500000000000016
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,dense,0.0,0.0425,0.4075,0.1225,0.365,0.07999999999999999,0.28500000000000003
allenai/olmo-3.1-32b-think,OLMo-32B-Think,think,0.0,0.055,0.1175,0.115,0.06249999999999999,0.060000000000000005,0.0024999999999999883
anthropic/claude-sonnet-4,Claude-Sonnet-4,constitutional,0.0,0.025,0.0475,0.0525,0.0225,0.027499999999999997,-0.0049999999999999975
google/gemini-2.5-flash-lite,Gemini-2.5-Flash-Lite,moe,0.0,0.0525,0.2525,0.1625,0.2,0.11000000000000001,0.09
meta-llama/llama-3-8b-instruct,Llama-3-8B,dense,0.0,0.0575,0.235,0.135,0.1775,0.07750000000000001,0.09999999999999998
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,dense,0.0,0.05,0.045,0.1575,-0.0050000000000000044,0.1075,-0.1125
meta-llama/llama-4-maverick,Llama-4-Maverick (MoE),moe,0.0,0.04,0.245,0.1225,0.205,0.08249999999999999,0.1225
openai/gpt-4o-mini,GPT-4o-Mini,dense,0.0,0.055,0.4,0.185,0.34500000000000003,0.13,0.21500000000000002
openai/gpt-oss-20b,GPT-OSS-20B,moe,0.0,0.0525,0.1775,0.1525,0.125,0.1,0.024999999999999994
x-ai/grok-4.1-fast,Grok-4.1-Fast,think,0.0,0.0375,0.0775,0.1325,0.04,0.095,-0.055
