model_id,short_name,architecture,temperature,ber_control,ber_peer,ber_authority,refusal_control,refusal_peer,refusal_authority,peer_ber_delta,authority_ber_delta,peer_refusal_delta,authority_refusal_delta
allenai/Olmo-3-32B-Think-DPO,OLMo-32B-Think-DPO,think,0.0,0.0575,0.1925,0.21553884711779447,0.02,0.0,0.002506265664160401,0.135,0.15803884711779448,-0.02,-0.0174937343358396
allenai/Olmo-3-32B-Think-SFT,OLMo-32B-Think-SFT,think,0.0,0.0675,0.26,0.2425,0.0125,0.0,0.0025,0.1925,0.175,-0.0125,-0.01
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,dense,0.0,0.0425,0.4075,0.1225,0.1275,0.3075,0.25,0.365,0.07999999999999999,0.18,0.1225
allenai/olmo-3.1-32b-think,OLMo-32B-Think,think,0.0,0.055,0.1175,0.115,0.095,0.15,0.0875,0.06249999999999999,0.060000000000000005,0.05499999999999999,-0.007500000000000007
anthropic/claude-sonnet-4,Claude-Sonnet-4,constitutional,0.0,0.025,0.0475,0.0525,0.095,0.0225,0.05,0.0225,0.027499999999999997,-0.07250000000000001,-0.045
google/gemini-2.5-flash-lite,Gemini-2.5-Flash-Lite,moe,0.0,0.0525,0.2525,0.1625,0.075,0.04,0.0325,0.2,0.11000000000000001,-0.034999999999999996,-0.042499999999999996
meta-llama/llama-3-8b-instruct,Llama-3-8B,dense,0.0,0.0575,0.235,0.135,0.2525,0.7075,0.2725,0.1775,0.07750000000000001,0.455,0.020000000000000018
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,dense,0.0,0.05,0.045,0.1575,0.06,0.85,0.0125,-0.0050000000000000044,0.1075,0.79,-0.0475
meta-llama/llama-4-maverick,Llama-4-Maverick (MoE),moe,0.0,0.04,0.245,0.1225,0.025,0.1025,0.0425,0.205,0.08249999999999999,0.07749999999999999,0.0175
openai/gpt-4o-mini,GPT-4o-Mini,dense,0.0,0.055,0.4,0.185,0.0475,0.0375,0.015,0.34500000000000003,0.13,-0.010000000000000002,-0.0325
openai/gpt-oss-20b,GPT-OSS-20B,moe,0.0,0.0525,0.1775,0.1525,0.01,0.005,0.0,0.125,0.1,-0.005,-0.01
x-ai/grok-4.1-fast,Grok-4.1-Fast,think,0.0,0.0375,0.0775,0.1325,0.135,0.055,0.0775,0.04,0.095,-0.08000000000000002,-0.05750000000000001
