scale,path,recipe,temperature,condition_name,state_B_n,n_denominator,ber,ber_lo,ber_hi
7B,base,base,0.0,asch_zhu_unbiased_unanimous_confident,183.0,400.0,0.4575,0.4093127098586455,0.5064958645923273
7B,base,base,0.0,authoritative_bias,206.0,400.0,0.515,0.4661126679560688,0.5636019528259407
7B,base,base,0.0,authority_zhu_unbiased_trust,160.0,400.0,0.4,0.3531606933662093,0.4487418347537267
7B,base,base,0.0,control,21.0,400.0,0.0525,0.0345912650080426,0.0789225483286715
32B,instruct,OLMo-32B-Instruct,0.0,asch_zhu_unbiased_unanimous_confident,163.0,400.0,0.4075,0.3604472385805353,0.4563125999304055
32B,instruct,OLMo-32B-Instruct,0.0,authoritative_bias,55.0,400.0,0.1375,0.1071839913205175,0.17471267311425104
32B,instruct,OLMo-32B-Instruct,0.0,authority_zhu_unbiased_trust,49.0,400.0,0.1225,0.09391269296642377,0.15826935068633516
32B,instruct,OLMo-32B-Instruct,0.0,control,17.0,400.0,0.0425,0.02670146955162519,0.06700259659708263
7B,instruct,instruct,0.0,asch_zhu_unbiased_unanimous_confident,203.0,400.0,0.5075,0.458667706127959,0.5561896042630459
7B,instruct,instruct,0.0,authoritative_bias,127.0,400.0,0.3175,0.2738010081305543,0.3646711056883291
7B,instruct,instruct,0.0,authority_zhu_unbiased_trust,106.0,400.0,0.265,0.2241330123587963,0.3103379287230535
7B,instruct,instruct,0.0,control,28.0,400.0,0.07,0.0488713045197405,0.0993095663959849
7B,instruct,instruct_dpo,0.0,asch_zhu_unbiased_unanimous_confident,156.0,400.0,0.39,0.3434632828365625,0.4386294980953673
7B,instruct,instruct_dpo,0.0,authoritative_bias,129.0,400.0,0.3225,0.2785671880694585,0.369809799343428
7B,instruct,instruct_dpo,0.0,authority_zhu_unbiased_trust,120.0,400.0,0.3,0.2571669255289339,0.3466381307109383
7B,instruct,instruct_dpo,0.0,control,26.0,400.0,0.065,0.0447401756972669,0.0935358216244552
7B,instruct,instruct_sft,0.0,asch_zhu_unbiased_unanimous_confident,295.0,400.0,0.7375,0.69226759360591,0.7782139021092418
7B,instruct,instruct_sft,0.0,authoritative_bias,173.0,400.0,0.4325,0.384817880766037,0.4814663257149197
7B,instruct,instruct_sft,0.0,authority_zhu_unbiased_trust,151.0,400.0,0.3775,0.3313708061149054,0.4259597908320163
7B,instruct,instruct_sft,0.0,control,24.0,400.0,0.06,0.0406476805246611,0.0877234432030579
32B,think,OLMo-32B-Think,0.0,asch_zhu_unbiased_unanimous_confident,47.0,400.0,0.1175,0.08952149033047882,0.1527556797282769
32B,think,OLMo-32B-Think,0.0,authoritative_bias,39.0,400.0,0.0975,0.07214471685094813,0.1305129588317948
32B,think,OLMo-32B-Think,0.0,authority_zhu_unbiased_trust,46.0,400.0,0.115,0.08733247792422089,0.14999225533753324
32B,think,OLMo-32B-Think,0.0,control,22.0,400.0,0.055,0.036598221864059276,0.08186802826965653
32B,think,OLMo-32B-Think-DPO,0.0,asch_zhu_unbiased_unanimous_confident,77.0,400.0,0.1925,0.15686042573701753,0.2339898482317861
32B,think,OLMo-32B-Think-DPO,0.0,authoritative_bias,81.0,400.0,0.2025,0.16603317911938578,0.24462684203742427
32B,think,OLMo-32B-Think-DPO,0.0,authority_zhu_unbiased_trust,86.0,399.0,0.21553884711779447,0.1780052210163895,0.2584978610883385
32B,think,OLMo-32B-Think-DPO,0.0,control,23.0,400.0,0.0575,0.038617261729224514,0.08480142520149289
32B,think,OLMo-32B-Think-SFT,0.0,asch_zhu_unbiased_unanimous_confident,104.0,400.0,0.26,0.2194409481918117,0.30512511929603503
32B,think,OLMo-32B-Think-SFT,0.0,authoritative_bias,78.0,400.0,0.195,0.15915003771249597,0.23665267305330928
32B,think,OLMo-32B-Think-SFT,0.0,authority_zhu_unbiased_trust,97.0,400.0,0.2425,0.2030757339434459,0.28682327596538965
32B,think,OLMo-32B-Think-SFT,0.0,control,27.0,400.0,0.0675,0.046801154899328234,0.09642727921939556
7B,think,think,0.0,asch_zhu_unbiased_unanimous_confident,117.0,400.0,0.2925,0.2500612880815991,0.3388864577672683
7B,think,think,0.0,authoritative_bias,84.0,400.0,0.21,0.1729370973424762,0.2525802342053385
7B,think,think,0.0,authority_zhu_unbiased_trust,106.0,400.0,0.265,0.2241330123587963,0.3103379287230535
7B,think,think,0.0,control,24.0,400.0,0.06,0.0406476805246611,0.0877234432030579
7B,think,think_dpo,0.0,asch_zhu_unbiased_unanimous_confident,114.0,400.0,0.285,0.242970040431969,0.3311203950258936
7B,think,think_dpo,0.0,authoritative_bias,111.0,400.0,0.2775,0.2358935157138151,0.3233396093530428
7B,think,think_dpo,0.0,authority_zhu_unbiased_trust,110.0,400.0,0.275,0.2335380071267212,0.3207426811431351
7B,think,think_dpo,0.0,control,32.0,400.0,0.08,0.0572353979429623,0.1107552201607694
7B,think,think_sft,0.0,asch_zhu_unbiased_unanimous_confident,129.0,400.0,0.3225,0.2785671880694585,0.369809799343428
7B,think,think_sft,0.0,authoritative_bias,106.0,400.0,0.265,0.2241330123587963,0.3103379287230535
7B,think,think_sft,0.0,authority_zhu_unbiased_trust,148.0,400.0,0.37,0.3241311679021331,0.4183421186537838
7B,think,think_sft,0.0,control,34.0,400.0,0.085,0.061462653163424,0.1164328385343108
