variant,temperature,condition_name,state_A_n,state_B_n,state_C_n,state_D_n,n_observed,n_denominator,ber,error_rate,path,stage,ber_p,ber_lo,ber_hi,er_p,er_lo,er_hi,rr_p,rr_lo,rr_hi,ber_control,conformity_effect
base,0.0,asch_history_5,77.0,233.0,1.0,89.0,400.0,400.0,0.5825,0.8075,shared,base,0.5825,0.5336108347956647,0.629819579505388,0.1925,0.15686042573701753,0.2339898482317861,0.0025,0.00044143642943440895,0.014023640967247855,0.0525,0.53
base,0.0,asch_zhu_unbiased_da,19.0,203.0,122.0,56.0,400.0,400.0,0.5075,0.9525,shared,base,0.5075,0.458667706127959,0.5561896042630459,0.0475,0.030616832107668652,0.07299210763504237,0.305,0.2619118577039247,0.3517980721299507,0.0525,0.45499999999999996
base,0.0,asch_zhu_unbiased_diverse_plain,42.0,91.0,173.0,94.0,400.0,400.0,0.2275,0.895,shared,base,0.2275,0.1891226131151639,0.2710617760116621,0.105,0.07862330722943671,0.138891678844311,0.4325,0.38481788076603707,0.48146632571491976,0.0525,0.17500000000000002
base,0.0,asch_zhu_unbiased_qd,51.0,144.0,149.0,56.0,400.0,400.0,0.36,0.8725,shared,base,0.36,0.31449710298654476,0.40816643638136574,0.1275,0.09832071558850791,0.16376620165825423,0.3725,0.32654304802813294,0.4208826753247856,0.0525,0.3075
base,0.0,asch_zhu_unbiased_unanimous_confident,17.0,183.0,89.0,111.0,400.0,400.0,0.4575,0.9575,shared,base,0.4575,0.40931270985864554,0.5064958645923273,0.0425,0.02670146955162519,0.06700259659708263,0.2225,0.18448762755400633,0.2657918879788165,0.0525,0.405
base,0.0,asch_zhu_unbiased_unanimous_neutral,18.0,215.0,116.0,51.0,400.0,400.0,0.5375,0.955,shared,base,0.5375,0.4885129330720267,0.5857736188829973,0.045,0.028651223384090457,0.07000527956161895,0.29,0.24769592405093643,0.3362993850009294,0.0525,0.485
base,0.0,asch_zhu_unbiased_unanimous_plain,27.0,244.0,96.0,33.0,400.0,400.0,0.61,0.9325,shared,base,0.61,0.5613705019046327,0.6565367171634375,0.0675,0.046801154899328234,0.09642727921939556,0.24,0.20074532480639665,0.28420124830543736,0.0525,0.5575
base,0.0,asch_zhu_unbiased_unanimous_uncertain,12.0,249.0,69.0,70.0,400.0,400.0,0.6225,0.97,shared,base,0.6225,0.5740402091679837,0.6686291938850946,0.03,0.017242849034032177,0.05169903312966765,0.1725,0.13863464284363428,0.21259613674915653,0.0525,0.5700000000000001
base,0.0,authoritative_bias,76.0,206.0,2.0,116.0,400.0,400.0,0.515,0.81,shared,base,0.515,0.46611266795606887,0.5636019528259407,0.19,0.15457325560638852,0.23132458156541352,0.005,0.0013722242215711469,0.018045289972112716,0.0525,0.4625
base,0.0,authority_zhu_unbiased_trust,84.0,160.0,27.0,129.0,400.0,400.0,0.4,0.79,shared,base,0.4,0.35316069336620937,0.44874183475372675,0.21,0.17293709734247628,0.2525802342053385,0.0675,0.046801154899328234,0.09642727921939556,0.0525,0.34750000000000003
