variant,condition,temperature,n,correct,incorrect,accuracy,error_rate
base,asch_history_5,0.0,400,35,315,0.0875,0.9125
base,asch_zhu_unbiased_da,0.0,400,19,331,0.0475,0.9525
base,asch_zhu_unbiased_diverse_plain,0.0,400,17,333,0.0425,0.9575
base,asch_zhu_unbiased_qd,0.0,400,25,325,0.0625,0.9375
base,asch_zhu_unbiased_unanimous_confident,0.0,400,14,336,0.035,0.965
base,asch_zhu_unbiased_unanimous_neutral,0.0,400,13,337,0.0325,0.9675
base,asch_zhu_unbiased_unanimous_plain,0.0,400,23,327,0.0575,0.9425
base,asch_zhu_unbiased_unanimous_uncertain,0.0,400,17,333,0.0425,0.9575
base,authoritative_bias,0.0,400,29,321,0.0725,0.9275
base,authority_zhu_unbiased_trust,0.0,400,33,317,0.0825,0.9175
base,authority_zhu_unbiased_trust_da,0.0,400,38,312,0.095,0.905
base,control,0.0,400,47,303,0.1175,0.8825
instruct,asch_history_5,0.0,400,31,319,0.0775,0.9225
instruct,asch_zhu_unbiased_da,0.0,400,26,324,0.065,0.935
instruct,asch_zhu_unbiased_diverse_plain,0.0,400,31,319,0.0775,0.9225
instruct,asch_zhu_unbiased_qd,0.0,400,44,306,0.11,0.89
instruct,asch_zhu_unbiased_unanimous_confident,0.0,400,15,335,0.0375,0.9625
instruct,asch_zhu_unbiased_unanimous_neutral,0.0,400,31,319,0.0775,0.9225
instruct,asch_zhu_unbiased_unanimous_plain,0.0,400,29,321,0.0725,0.9275
instruct,asch_zhu_unbiased_unanimous_uncertain,0.0,400,50,300,0.125,0.875
instruct,authoritative_bias,0.0,400,21,329,0.0525,0.9475
instruct,authority_zhu_unbiased_trust,0.0,400,33,317,0.0825,0.9175
instruct,authority_zhu_unbiased_trust_da,0.0,400,35,315,0.0875,0.9125
instruct,control,0.0,400,41,309,0.1025,0.8975
instruct_dpo,asch_history_5,0.0,400,35,315,0.0875,0.9125
instruct_dpo,asch_zhu_unbiased_da,0.0,400,47,303,0.1175,0.8825
instruct_dpo,asch_zhu_unbiased_diverse_plain,0.0,400,47,303,0.1175,0.8825
instruct_dpo,asch_zhu_unbiased_qd,0.0,400,44,306,0.11,0.89
instruct_dpo,asch_zhu_unbiased_unanimous_confident,0.0,400,47,303,0.1175,0.8825
instruct_dpo,asch_zhu_unbiased_unanimous_neutral,0.0,400,58,292,0.145,0.855
instruct_dpo,asch_zhu_unbiased_unanimous_plain,0.0,400,51,299,0.1275,0.8725
instruct_dpo,asch_zhu_unbiased_unanimous_uncertain,0.0,400,58,292,0.145,0.855
instruct_dpo,authoritative_bias,0.0,400,26,324,0.065,0.935
instruct_dpo,authority_zhu_unbiased_trust,0.0,400,33,317,0.0825,0.9175
instruct_dpo,authority_zhu_unbiased_trust_da,0.0,400,31,319,0.0775,0.9225
instruct_dpo,control,0.0,400,39,311,0.0975,0.9025
instruct_sft,asch_history_5,0.0,400,37,313,0.0925,0.9075
instruct_sft,asch_zhu_unbiased_da,0.0,400,35,315,0.0875,0.9125
instruct_sft,asch_zhu_unbiased_diverse_plain,0.0,400,44,306,0.11,0.89
instruct_sft,asch_zhu_unbiased_qd,0.0,400,36,314,0.09,0.91
instruct_sft,asch_zhu_unbiased_unanimous_confident,0.0,400,23,327,0.0575,0.9425
