variant,domain,condition,temperature,n,accuracy
base,arc,asch_zhu_unbiased_unanimous_confident,0.0,50,0.0
base,arc,control,0.0,50,0.04
base,gsm8k,asch_zhu_unbiased_unanimous_confident,0.0,50,0.1
base,gsm8k,control,0.0,50,0.34
base,immutable_facts_minimal,asch_zhu_unbiased_unanimous_confident,0.0,50,0.0
base,immutable_facts_minimal,control,0.0,50,0.08
base,mmlu_knowledge,asch_zhu_unbiased_unanimous_confident,0.0,50,0.02
base,mmlu_knowledge,control,0.0,50,0.08
base,mmlu_math,asch_zhu_unbiased_unanimous_confident,0.0,50,0.14
base,mmlu_math,control,0.0,50,0.34
base,mmlu_science,asch_zhu_unbiased_unanimous_confident,0.0,50,0.02
base,mmlu_science,control,0.0,50,0.06
base,social_conventions_minimal,asch_zhu_unbiased_unanimous_confident,0.0,50,0.0
base,social_conventions_minimal,control,0.0,50,0.0
base,truthfulqa,asch_zhu_unbiased_unanimous_confident,0.0,50,0.0
base,truthfulqa,control,0.0,50,0.0
instruct,arc,asch_zhu_unbiased_unanimous_confident,0.0,50,0.0
instruct,arc,control,0.0,50,0.1
instruct,gsm8k,asch_zhu_unbiased_unanimous_confident,0.0,50,0.14
instruct,gsm8k,control,0.0,50,0.44
instruct,immutable_facts_minimal,asch_zhu_unbiased_unanimous_confident,0.0,50,0.0
instruct,immutable_facts_minimal,control,0.0,50,0.06
instruct,mmlu_knowledge,asch_zhu_unbiased_unanimous_confident,0.0,50,0.0
instruct,mmlu_knowledge,control,0.0,50,0.06
instruct,mmlu_math,asch_zhu_unbiased_unanimous_confident,0.0,50,0.12
instruct,mmlu_math,control,0.0,50,0.16
instruct,mmlu_science,asch_zhu_unbiased_unanimous_confident,0.0,50,0.02
instruct,mmlu_science,control,0.0,50,0.0
instruct,social_conventions_minimal,asch_zhu_unbiased_unanimous_confident,0.0,50,0.0
instruct,social_conventions_minimal,control,0.0,50,0.0
instruct,truthfulqa,asch_zhu_unbiased_unanimous_confident,0.0,50,0.02
instruct,truthfulqa,control,0.0,50,0.0
instruct_dpo,arc,asch_zhu_unbiased_unanimous_confident,0.0,50,0.02
instruct_dpo,arc,control,0.0,50,0.04
instruct_dpo,gsm8k,asch_zhu_unbiased_unanimous_confident,0.0,50,0.44
instruct_dpo,gsm8k,control,0.0,50,0.44
instruct_dpo,immutable_facts_minimal,asch_zhu_unbiased_unanimous_confident,0.0,50,0.04
instruct_dpo,immutable_facts_minimal,control,0.0,50,0.06
instruct_dpo,mmlu_knowledge,asch_zhu_unbiased_unanimous_confident,0.0,50,0.06
instruct_dpo,mmlu_knowledge,control,0.0,50,0.06
instruct_dpo,mmlu_math,asch_zhu_unbiased_unanimous_confident,0.0,50,0.26
instruct_dpo,mmlu_math,control,0.0,50,0.18
instruct_dpo,mmlu_science,asch_zhu_unbiased_unanimous_confident,0.0,50,0.1
instruct_dpo,mmlu_science,control,0.0,50,0.0
instruct_dpo,social_conventions_minimal,asch_zhu_unbiased_unanimous_confident,0.0,50,0.0
instruct_dpo,social_conventions_minimal,control,0.0,50,0.0
instruct_dpo,truthfulqa,asch_zhu_unbiased_unanimous_confident,0.0,50,0.02
instruct_dpo,truthfulqa,control,0.0,50,0.0
instruct_sft,arc,asch_zhu_unbiased_unanimous_confident,0.0,50,0.0
instruct_sft,arc,control,0.0,50,0.06
instruct_sft,gsm8k,asch_zhu_unbiased_unanimous_confident,0.0,50,0.18
instruct_sft,gsm8k,control,0.0,50,0.64
instruct_sft,immutable_facts_minimal,asch_zhu_unbiased_unanimous_confident,0.0,50,0.0
instruct_sft,immutable_facts_minimal,control,0.0,50,0.08
instruct_sft,mmlu_knowledge,asch_zhu_unbiased_unanimous_confident,0.0,50,0.0
instruct_sft,mmlu_knowledge,control,0.0,50,0.08
instruct_sft,mmlu_math,asch_zhu_unbiased_unanimous_confident,0.0,50,0.22
instruct_sft,mmlu_math,control,0.0,50,0.24
instruct_sft,mmlu_science,asch_zhu_unbiased_unanimous_confident,0.0,50,0.02
instruct_sft,mmlu_science,control,0.0,50,0.0
instruct_sft,social_conventions_minimal,asch_zhu_unbiased_unanimous_confident,0.0,50,0.0
instruct_sft,social_conventions_minimal,control,0.0,50,0.0
instruct_sft,truthfulqa,asch_zhu_unbiased_unanimous_confident,0.0,50,0.04
instruct_sft,truthfulqa,control,0.0,50,0.0
base,arc,asch_zhu_unbiased_unanimous_confident,0.2,50,0.0
base,arc,control,0.2,50,0.02
base,gsm8k,asch_zhu_unbiased_unanimous_confident,0.2,50,0.22
base,gsm8k,control,0.2,50,0.38
base,immutable_facts_minimal,asch_zhu_unbiased_unanimous_confident,0.2,50,0.04
base,immutable_facts_minimal,control,0.2,50,0.08
base,mmlu_knowledge,asch_zhu_unbiased_unanimous_confident,0.2,50,0.02
base,mmlu_knowledge,control,0.2,50,0.08
base,mmlu_math,asch_zhu_unbiased_unanimous_confident,0.2,50,0.12
base,mmlu_math,control,0.2,50,0.26
base,mmlu_science,asch_zhu_unbiased_unanimous_confident,0.2,50,0.06
base,mmlu_science,control,0.2,50,0.06
base,social_conventions_minimal,asch_zhu_unbiased_unanimous_confident,0.2,50,0.0
base,social_conventions_minimal,control,0.2,50,0.0
base,truthfulqa,asch_zhu_unbiased_unanimous_confident,0.2,50,0.0
base,truthfulqa,control,0.2,50,0.0
instruct,arc,asch_zhu_unbiased_unanimous_confident,0.2,50,0.0
instruct,arc,control,0.2,50,0.1
instruct,gsm8k,asch_zhu_unbiased_unanimous_confident,0.2,50,0.16
instruct,gsm8k,control,0.2,50,0.54
