variant,conformity_profile,count,profile_label
base,000000,1815,never_conforms
base,111111,264,always_conforms
base,000001,153,first_at_T=1.0
base,000010,138,first_at_T=0.8
base,111110,130,first_at_T=0.0
base,111100,116,first_at_T=0.0
base,100000,110,first_at_T=0.0
base,000100,102,first_at_T=0.6
base,111101,94,first_at_T=0.0
base,001000,92,first_at_T=0.4
base,010000,84,first_at_T=0.2
base,110000,74,first_at_T=0.0
base,111000,71,first_at_T=0.0
base,000011,62,first_at_T=0.8
base,111010,51,first_at_T=0.0
base,000110,50,first_at_T=0.6
base,111011,48,first_at_T=0.0
base,001100,47,first_at_T=0.4
base,000111,39,first_at_T=0.6
base,000101,34,first_at_T=0.6
base,001111,34,first_at_T=0.4
base,111001,34,first_at_T=0.0
base,011111,33,first_at_T=0.2
base,001110,31,first_at_T=0.4
base,011000,30,first_at_T=0.2
base,011100,30,first_at_T=0.2
base,110100,29,first_at_T=0.0
base,110111,27,first_at_T=0.0
base,101000,25,first_at_T=0.0
base,110011,24,first_at_T=0.0
base,110001,24,first_at_T=0.0
base,100001,24,first_at_T=0.0
base,010100,22,first_at_T=0.2
base,110010,21,first_at_T=0.0
base,001001,21,first_at_T=0.4
base,010001,21,first_at_T=0.2
base,001101,20,first_at_T=0.4
base,100100,20,first_at_T=0.0
base,001010,20,first_at_T=0.4
base,011110,19,first_at_T=0.2
base,100110,19,first_at_T=0.0
base,011101,19,first_at_T=0.2
base,101100,19,first_at_T=0.0
base,100010,19,first_at_T=0.0
base,110110,18,first_at_T=0.0
base,101111,17,first_at_T=0.0
base,101110,17,first_at_T=0.0
base,101001,16,first_at_T=0.0
base,110101,16,first_at_T=0.0
base,010010,16,first_at_T=0.2
base,011010,15,first_at_T=0.2
base,011001,13,first_at_T=0.2
base,010111,13,first_at_T=0.2
base,100011,13,first_at_T=0.0
base,001011,12,first_at_T=0.4
base,010011,11,first_at_T=0.2
base,100101,10,first_at_T=0.0
base,100111,9,first_at_T=0.0
base,101011,9,first_at_T=0.0
base,010101,9,first_at_T=0.2
base,010110,9,first_at_T=0.2
base,011011,8,first_at_T=0.2
base,101101,5,first_at_T=0.0
base,101010,5,first_at_T=0.0
instruct,000000,2682,never_conforms
instruct,111111,378,always_conforms
instruct,000001,144,first_at_T=1.0
instruct,000010,101,first_at_T=0.8
instruct,000011,92,first_at_T=0.8
instruct,100000,79,first_at_T=0.0
instruct,111110,66,first_at_T=0.0
instruct,000100,59,first_at_T=0.6
instruct,111100,53,first_at_T=0.0
instruct,110000,43,first_at_T=0.0
instruct,111000,42,first_at_T=0.0
instruct,000111,39,first_at_T=0.6
instruct,010000,39,first_at_T=0.2
instruct,111101,39,first_at_T=0.0
instruct,001111,35,first_at_T=0.4
instruct,001000,33,first_at_T=0.4
instruct,011111,31,first_at_T=0.2
instruct,100001,23,first_at_T=0.0
instruct,001100,19,first_at_T=0.4
instruct,001110,19,first_at_T=0.4
instruct,111011,18,first_at_T=0.0
instruct,000110,16,first_at_T=0.6
instruct,101110,16,first_at_T=0.0
instruct,110111,16,first_at_T=0.0
instruct,011000,15,first_at_T=0.2
instruct,011110,15,first_at_T=0.2
instruct,011100,14,first_at_T=0.2
instruct,001001,13,first_at_T=0.4
instruct,000101,13,first_at_T=0.6
instruct,101111,13,first_at_T=0.0
instruct,110001,12,first_at_T=0.0
instruct,001101,12,first_at_T=0.4
instruct,100010,11,first_at_T=0.0
instruct,101000,11,first_at_T=0.0
instruct,110100,11,first_at_T=0.0
instruct,011101,11,first_at_T=0.2
instruct,011001,11,first_at_T=0.2
instruct,110010,11,first_at_T=0.0
instruct,100011,10,first_at_T=0.0
instruct,111010,10,first_at_T=0.0
instruct,010001,9,first_at_T=0.2
instruct,101100,9,first_at_T=0.0
instruct,100100,9,first_at_T=0.0
instruct,001011,8,first_at_T=0.4
instruct,110011,8,first_at_T=0.0
instruct,111001,8,first_at_T=0.0
instruct,011010,7,first_at_T=0.2
instruct,101010,6,first_at_T=0.0
instruct,110110,6,first_at_T=0.0
instruct,010100,6,first_at_T=0.2
instruct,101011,6,first_at_T=0.0
instruct,001010,6,first_at_T=0.4
instruct,101101,5,first_at_T=0.0
instruct,010110,5,first_at_T=0.2
instruct,010111,5,first_at_T=0.2
instruct,010011,4,first_at_T=0.2
instruct,100111,3,first_at_T=0.0
instruct,100101,3,first_at_T=0.0
instruct,010010,3,first_at_T=0.2
instruct,011011,2,first_at_T=0.2
instruct,010101,2,first_at_T=0.2
instruct,110101,2,first_at_T=0.0
instruct,101001,2,first_at_T=0.0
instruct,100110,1,first_at_T=0.0
instruct_sft,000000,2491,never_conforms
instruct_sft,111111,559,always_conforms
instruct_sft,000001,140,first_at_T=1.0
instruct_sft,111110,114,first_at_T=0.0
instruct_sft,111100,108,first_at_T=0.0
instruct_sft,000011,75,first_at_T=0.8
instruct_sft,000010,73,first_at_T=0.8
instruct_sft,100000,60,first_at_T=0.0
instruct_sft,110000,56,first_at_T=0.0
instruct_sft,111101,51,first_at_T=0.0
instruct_sft,001111,51,first_at_T=0.4
instruct_sft,011111,49,first_at_T=0.2
instruct_sft,000111,44,first_at_T=0.6
instruct_sft,111000,44,first_at_T=0.0
instruct_sft,000100,34,first_at_T=0.6
instruct_sft,010000,29,first_at_T=0.2
instruct_sft,001100,24,first_at_T=0.4
instruct_sft,001000,23,first_at_T=0.4
instruct_sft,000110,23,first_at_T=0.6
instruct_sft,111011,21,first_at_T=0.0
instruct_sft,001110,20,first_at_T=0.4
instruct_sft,011000,16,first_at_T=0.2
instruct_sft,011110,16,first_at_T=0.2
instruct_sft,111001,15,first_at_T=0.0
instruct_sft,100010,14,first_at_T=0.0
instruct_sft,011100,13,first_at_T=0.2
instruct_sft,101111,13,first_at_T=0.0
instruct_sft,100001,13,first_at_T=0.0
