variant,condition,n_conforming,n_never_conform,total,tc_mean,tc_median
base,asch_history_5,283,117,400,0.1724,0.0
base,asch_zhu_unbiased_da,219,181,400,0.2977,0.2
base,asch_zhu_unbiased_diverse_plain,189,211,400,0.309,0.2
base,asch_zhu_unbiased_qd,224,176,400,0.2429,0.2
base,asch_zhu_unbiased_unanimous_confident,225,175,400,0.2311,0.0
base,asch_zhu_unbiased_unanimous_neutral,230,170,400,0.2122,0.0
base,asch_zhu_unbiased_unanimous_plain,222,178,400,0.2622,0.0
base,asch_zhu_unbiased_unanimous_uncertain,195,205,400,0.3067,0.2
base,authoritative_bias,299,101,400,0.2254,0.0
base,authority_zhu_unbiased_trust,252,148,400,0.25,0.2
base,authority_zhu_unbiased_trust_da,247,153,400,0.2154,0.0
instruct,asch_history_5,204,196,400,0.4196,0.2
instruct,asch_zhu_unbiased_da,117,283,400,0.1846,0.0
instruct,asch_zhu_unbiased_diverse_plain,118,282,400,0.2169,0.0
instruct,asch_zhu_unbiased_qd,143,257,400,0.1874,0.0
instruct,asch_zhu_unbiased_unanimous_confident,150,250,400,0.2093,0.0
instruct,asch_zhu_unbiased_unanimous_neutral,168,232,400,0.1548,0.0
instruct,asch_zhu_unbiased_unanimous_plain,130,270,400,0.2215,0.0
instruct,asch_zhu_unbiased_unanimous_uncertain,151,249,400,0.2225,0.0
instruct,authoritative_bias,264,136,400,0.4205,0.4
instruct,authority_zhu_unbiased_trust,134,266,400,0.3045,0.2
instruct,authority_zhu_unbiased_trust_da,139,261,400,0.2676,0.2
instruct_dpo,asch_history_5,204,196,400,0.4333,0.4
instruct_dpo,asch_zhu_unbiased_da,135,265,400,0.3007,0.2
instruct_dpo,asch_zhu_unbiased_diverse_plain,123,277,400,0.2683,0.0
instruct_dpo,asch_zhu_unbiased_qd,148,252,400,0.2635,0.0
instruct_dpo,asch_zhu_unbiased_unanimous_confident,181,219,400,0.2895,0.2
instruct_dpo,asch_zhu_unbiased_unanimous_neutral,189,211,400,0.2328,0.0
instruct_dpo,asch_zhu_unbiased_unanimous_plain,138,262,400,0.2565,0.0
instruct_dpo,asch_zhu_unbiased_unanimous_uncertain,157,243,400,0.2713,0.0
instruct_dpo,authoritative_bias,253,147,400,0.3945,0.2
instruct_dpo,authority_zhu_unbiased_trust,135,265,400,0.3333,0.2
instruct_dpo,authority_zhu_unbiased_trust_da,148,252,400,0.3216,0.2
instruct_sft,asch_history_5,287,113,400,0.1714,0.0
instruct_sft,asch_zhu_unbiased_da,132,268,400,0.2273,0.0
instruct_sft,asch_zhu_unbiased_diverse_plain,118,282,400,0.2576,0.0
instruct_sft,asch_zhu_unbiased_qd,140,260,400,0.2357,0.0
instruct_sft,asch_zhu_unbiased_unanimous_confident,194,206,400,0.1598,0.0
instruct_sft,asch_zhu_unbiased_unanimous_neutral,187,213,400,0.1551,0.0
instruct_sft,asch_zhu_unbiased_unanimous_plain,133,267,400,0.203,0.0
instruct_sft,asch_zhu_unbiased_unanimous_uncertain,161,239,400,0.1801,0.0
instruct_sft,authoritative_bias,282,118,400,0.2624,0.0
instruct_sft,authority_zhu_unbiased_trust,130,270,400,0.3385,0.2
instruct_sft,authority_zhu_unbiased_trust_da,145,255,400,0.3062,0.2
think,asch_history_5,237,163,400,0.497,0.6
think,asch_zhu_unbiased_da,175,225,400,0.2354,0.0
think,asch_zhu_unbiased_diverse_plain,197,203,400,0.1848,0.0
think,asch_zhu_unbiased_qd,191,209,400,0.1665,0.0
think,asch_zhu_unbiased_unanimous_confident,210,190,400,0.2457,0.2
think,asch_zhu_unbiased_unanimous_neutral,218,182,400,0.1954,0.0
think,asch_zhu_unbiased_unanimous_plain,207,193,400,0.2193,0.0
think,asch_zhu_unbiased_unanimous_uncertain,200,200,400,0.26,0.1
think,authoritative_bias,240,160,400,0.5858,0.8
think,authority_zhu_unbiased_trust,228,172,400,0.1737,0.0
think,authority_zhu_unbiased_trust_da,202,198,400,0.2317,0.0
think_dpo,asch_history_5,230,170,400,0.5104,0.7
think_dpo,asch_zhu_unbiased_da,229,171,400,0.3528,0.2
think_dpo,asch_zhu_unbiased_diverse_plain,237,163,400,0.2776,0.0
think_dpo,asch_zhu_unbiased_qd,232,168,400,0.2888,0.2
think_dpo,asch_zhu_unbiased_unanimous_confident,264,136,400,0.3356,0.2
think_dpo,asch_zhu_unbiased_unanimous_neutral,262,138,400,0.3282,0.2
think_dpo,asch_zhu_unbiased_unanimous_plain,255,145,400,0.3082,0.2
think_dpo,asch_zhu_unbiased_unanimous_uncertain,263,137,400,0.3399,0.2
think_dpo,authoritative_bias,235,165,400,0.606,0.8
think_dpo,authority_zhu_unbiased_trust,247,153,400,0.247,0.0
think_dpo,authority_zhu_unbiased_trust_da,210,190,400,0.2371,0.0
think_sft,asch_history_5,243,157,400,0.4329,0.4
think_sft,asch_zhu_unbiased_da,184,216,400,0.2217,0.2
think_sft,asch_zhu_unbiased_diverse_plain,206,194,400,0.2728,0.2
think_sft,asch_zhu_unbiased_qd,197,203,400,0.2437,0.0
think_sft,asch_zhu_unbiased_unanimous_confident,210,190,400,0.2371,0.2
think_sft,asch_zhu_unbiased_unanimous_neutral,206,194,400,0.2223,0.0
think_sft,asch_zhu_unbiased_unanimous_plain,198,202,400,0.2152,0.0
think_sft,asch_zhu_unbiased_unanimous_uncertain,200,200,400,0.221,0.2
think_sft,authoritative_bias,243,157,400,0.5169,0.6
think_sft,authority_zhu_unbiased_trust,212,188,400,0.2113,0.0
think_sft,authority_zhu_unbiased_trust_da,190,210,400,0.2495,0.1
