variant,temperature,total_trials,conforming_trials,ursp_trials,ursp_given_conforming
base,0.0,4400,1378,375,0.2721
base,0.2,4400,1393,361,0.2592
base,0.4,4400,1365,364,0.2667
base,0.6,4400,1321,344,0.2604
base,0.8,4400,1201,295,0.2456
base,1.0,4400,1136,282,0.2482
instruct,0.0,4400,930,178,0.1914
instruct,0.2,4400,902,160,0.1774
instruct,0.4,4400,933,150,0.1608
instruct,0.6,4400,931,168,0.1805
instruct,0.8,4400,967,155,0.1603
instruct,1.0,4400,977,200,0.2047
instruct_dpo,0.0,4400,835,216,0.2587
instruct_dpo,0.2,4400,845,199,0.2355
instruct_dpo,0.4,4400,879,210,0.2389
instruct_dpo,0.6,4400,860,198,0.2302
instruct_dpo,0.8,4400,950,226,0.2379
instruct_dpo,1.0,4400,935,212,0.2267
instruct_sft,0.0,4400,1179,220,0.1866
instruct_sft,0.2,4400,1208,222,0.1838
instruct_sft,0.4,4400,1227,229,0.1866
instruct_sft,0.6,4400,1219,235,0.1928
instruct_sft,0.8,4400,1176,229,0.1947
instruct_sft,1.0,4400,1158,230,0.1986
think,0.0,4400,1112,451,0.4056
think,0.2,4400,1110,466,0.4198
think,0.4,4400,1086,458,0.4217
think,0.6,4400,1100,471,0.4282
think,0.8,4400,1308,547,0.4182
think,1.0,4400,1280,505,0.3945
think_dpo,0.0,4394,1156,486,0.4204
think_dpo,0.2,4346,1080,468,0.4333
think_dpo,0.4,4400,1104,462,0.4185
think_dpo,0.6,4400,1106,448,0.4051
think_dpo,0.8,4400,1109,381,0.3436
think_dpo,1.0,4400,1106,360,0.3255
think_sft,0.0,4400,1040,461,0.4433
think_sft,0.2,4400,1046,442,0.4226
think_sft,0.4,4400,1036,425,0.4102
think_sft,0.6,4400,1036,443,0.4276
think_sft,0.8,4400,1209,475,0.3929
think_sft,1.0,4400,1225,506,0.4131
