model_id,short_name,variant,delta_mean,ctrl_error,peer_error,endorsed,refusal
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,llama31_70b_instruct,0.4566125733862831,0.3524060119860929,0.8090185853723759,0.06059261731995713,0.84375
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.446628946433466,0.35650775768638415,0.8031367041198502,0.44670357689225615,0.31375
allenai/Olmo-3-7B-Instruct,Olmo-3-7B-Instruct,instruct,0.42996640049258955,0.4983669328407438,0.9283333333333333,0.2280064745196324,0.3775
allenai/Olmo-3-7B-Instruct-SFT,Olmo-3-7B-Instruct-SFT,instruct_sft,0.41608212717799103,0.5197512061553423,0.9358333333333334,0.3928391959798995,0.19333333333333333
allenai/Olmo-3-7B-Instruct-DPO,Olmo-3-7B-Instruct-DPO,instruct_dpo,0.3988741955005461,0.4944591378327872,0.8933333333333334,0.20675960735171262,0.4283333333333333
meta-llama/llama-3-8b-instruct,Llama-3-8B,llama3_8b_instruct,0.37371958065288685,0.5899298446344695,0.9636494252873564,0.2895051368121249,0.69875
allenai/Olmo-3-1025-7B,OLMo-7B,base,0.34089826138380735,0.5774350719495259,0.9183333333333333,0.2689672096908939,0.46375000000000005
openai/gpt-4o-mini,GPT-4o-Mini,gpt4o_mini,0.2403610645847329,0.3684683462751348,0.6088294108598677,0.4174140650840903,0.04
google/gemini-2.5-flash-lite,Gemini-2.5-Flash-Lite,gemini_25_flash_lite,0.13502090748611284,0.3342049496707788,0.46922585715689163,0.2784428840029162,0.03125
meta-llama/llama-4-maverick,Llama-4-Maverick,llama4_maverick,0.12568349452589478,0.33120444955887995,0.45688794408477473,0.25412014885699097,0.18375
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.09152542372881356,0.4,0.4915254237288136,0.3188010899182561,0.1745635910224439
allenai/olmo-3.1-32b-think,OLMo-32B-Think,think_32b,0.03174287592941305,0.3590623592081202,0.39080523513753324,0.1369486072305478,0.14500000000000002
x-ai/grok-4.1-fast,Grok-4.1-Fast,grok_41_fast,0.018572814551099326,0.31691489361702124,0.33548770816812057,0.0782974095313427,0.05375
openai/gpt-oss-20b,GPT-OSS-20B,gpt_oss_20b,-0.0007338782924614096,0.3413333333333334,0.34059945504087197,0.19414893617021275,0.03
