model_short,variant,condition,n_total,n_correct,n_incorrect,n_refusal,n_endorsed,n_unknown,fixed_N,correct_rate,correct_ci_lo,correct_ci_hi,error_rate,error_ci_lo,error_ci_hi,refusal_rate,refusal_ci_lo,refusal_ci_hi,endorsement_rate,endorsement_ci_lo,endorsement_ci_hi
OLMo-7B,base,asch_zhu_unbiased_unanimous_confident,400,15,277,91,183,17,400,0.0375,0.0229,0.0609,0.6925,0.6456,0.7357,0.2275,0.1891,0.2711,0.4575,0.4093,0.5065
OLMo-7B,base,authoritative_bias,399,76,297,1,207,25,400,0.19,0.1546,0.2313,0.7425,0.6975,0.7829,0.0025,0.0004,0.014,0.5175,0.4686,0.5661
OLMo-7B,base,authority_zhu_unbiased_trust,400,84,275,27,160,14,400,0.21,0.1729,0.2526,0.6875,0.6405,0.731,0.0675,0.0468,0.0964,0.4,0.3532,0.4487
OLMo-7B,base,control,400,99,255,3,21,43,400,0.2475,0.2077,0.2921,0.6375,0.5893,0.6831,0.0075,0.0026,0.0218,0.0525,0.0346,0.0789
Olmo-3-7B-Instruct,instruct,asch_zhu_unbiased_unanimous_confident,400,45,302,27,203,26,400,0.1125,0.0851,0.1472,0.755,0.7106,0.7946,0.0675,0.0468,0.0964,0.5075,0.4587,0.5562
Olmo-3-7B-Instruct,instruct,authoritative_bias,400,85,235,2,130,78,400,0.2125,0.1752,0.2552,0.5875,0.5386,0.6347,0.005,0.0014,0.018,0.325,0.281,0.3724
Olmo-3-7B-Instruct,instruct,authority_zhu_unbiased_trust,400,105,218,11,106,66,400,0.2625,0.2218,0.3077,0.545,0.496,0.5931,0.0275,0.0154,0.0486,0.265,0.2241,0.3103
Olmo-3-7B-Instruct,instruct,control,400,128,201,22,28,49,400,0.32,0.2762,0.3672,0.5025,0.4537,0.5512,0.055,0.0366,0.0819,0.07,0.0489,0.0993
Olmo-3-7B-Instruct-DPO,instruct_dpo,asch_zhu_unbiased_unanimous_confident,400,80,265,23,156,32,400,0.2,0.1637,0.242,0.6625,0.6148,0.7071,0.0575,0.0386,0.0848,0.39,0.3435,0.4386
Olmo-3-7B-Instruct-DPO,instruct_dpo,authoritative_bias,400,84,240,1,130,75,400,0.21,0.1729,0.2526,0.6,0.5513,0.6468,0.0025,0.0004,0.014,0.325,0.281,0.3724
Olmo-3-7B-Instruct-DPO,instruct_dpo,authority_zhu_unbiased_trust,400,116,229,4,123,51,400,0.29,0.2477,0.3363,0.5725,0.5236,0.6201,0.01,0.0039,0.0254,0.3075,0.2643,0.3544
Olmo-3-7B-Instruct-DPO,instruct_dpo,control,400,142,198,19,27,41,400,0.355,0.3097,0.4031,0.495,0.4463,0.5438,0.0475,0.0306,0.073,0.0675,0.0468,0.0964
Olmo-3-7B-Instruct-SFT,instruct_sft,asch_zhu_unbiased_unanimous_confident,400,31,344,15,295,10,400,0.0775,0.0551,0.1079,0.86,0.8226,0.8906,0.0375,0.0229,0.0609,0.7375,0.6923,0.7782
Olmo-3-7B-Instruct-SFT,instruct_sft,authoritative_bias,400,85,265,6,176,44,400,0.2125,0.1752,0.2552,0.6625,0.6148,0.7071,0.015,0.0069,0.0323,0.44,0.3922,0.489
Olmo-3-7B-Instruct-SFT,instruct_sft,authority_zhu_unbiased_trust,400,93,260,6,151,41,400,0.2325,0.1938,0.2763,0.65,0.602,0.6951,0.015,0.0069,0.0323,0.3775,0.3314,0.426
Olmo-3-7B-Instruct-SFT,instruct_sft,control,400,146,208,13,24,33,400,0.365,0.3193,0.4133,0.52,0.4711,0.5685,0.0325,0.0191,0.0548,0.06,0.0406,0.0877
