variant,temperature,delta,endorsed,refusal
base,0.0,0.36674698795180716,0.2425,0.5725
base,0.2,0.3592523364485981,0.2775,0.49
base,0.4,0.3587195121951219,0.2656641604010025,0.4675
base,0.6,0.3556707317073171,0.305,0.4025
base,0.8,0.33000000000000007,0.2675,0.43
base,1.0,0.2749999999999999,0.2556390977443609,0.42
instruct,0.0,0.48188596491228064,0.2175,0.3775
instruct,0.2,0.4726374570446735,0.2275,0.375
instruct,0.4,0.47184210526315795,0.2325,0.3775
instruct,0.6,0.478274647887324,0.21553884711779447,0.4
instruct,0.8,0.34756329113924045,0.23,0.38
instruct,1.0,0.32759493670886075,0.245,0.355
instruct_dpo,0.0,0.4074337748344371,0.205,0.4275
instruct_dpo,0.2,0.40486842105263154,0.1725,0.455
instruct_dpo,0.4,0.436822033898305,0.2025,0.435
instruct_dpo,0.6,0.44139175257731955,0.2025,0.45
instruct_dpo,0.8,0.3657594936708861,0.22305764411027568,0.4175
instruct_dpo,1.0,0.33696969696969703,0.235,0.385
instruct_sft,0.0,0.44121118012422367,0.3725,0.2225
instruct_sft,0.2,0.45979299363057324,0.3925,0.205
instruct_sft,0.4,0.44519230769230766,0.4,0.1925
instruct_sft,0.6,0.4158044164037854,0.39,0.175
instruct_sft,0.8,0.39542620865139944,0.40703517587939697,0.1725
instruct_sft,1.0,0.33906565656565657,0.395,0.1925
