model_id,short_name,variant,n_temps,ctrl_error_mean,peer_error_mean,delta_mean,delta_T0,endorsed_mean,refusal_mean,delta_auth_mean
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,llama31_70b_instruct,2,0.3524060119860929,0.8090185853723759,0.4566125733862831,0.532704767430616,0.06059261731995713,0.84375,0.09906972110976614
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,2,0.35650775768638415,0.8031367041198502,0.446628946433466,0.4270554066130473,0.44670357689225615,0.31375,0.02867930751473774
meta-llama/llama-3-8b-instruct,Llama-3-8B,llama3_8b_instruct,2,0.5899298446344695,0.9636494252873564,0.37371958065288685,0.38744377811094455,0.2895051368121249,0.69875,-0.07785296900797556
openai/gpt-4o-mini,GPT-4o-Mini,gpt4o_mini,2,0.3684683462751348,0.6088294108598677,0.2403610645847329,0.21982332388423753,0.4174140650840903,0.04,0.01996758337310639
google/gemini-2.5-flash-lite,Gemini-2.5-Flash-Lite,gemini_25_flash_lite,2,0.3342049496707788,0.46922585715689163,0.13502090748611284,0.14231282148980762,0.2784428840029162,0.03125,0.035531500597237864
meta-llama/llama-4-maverick,Llama-4-Maverick,llama4_maverick,2,0.33120444955887995,0.45688794408477473,0.12568349452589478,0.12911392405063293,0.25412014885699097,0.18375,0.04491766201291586
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,1,0.4,0.4915254237288136,0.09152542372881356,0.09152542372881356,0.3188010899182561,0.1745635910224439,0.03943661971830981
allenai/olmo-3.1-32b-think,OLMo-32B-Think,think_32b,2,0.3590623592081202,0.39080523513753324,0.03174287592941305,0.04078888390856117,0.1369486072305478,0.14500000000000002,-0.03160643981265421
x-ai/grok-4.1-fast,Grok-4.1-Fast,grok_41_fast,2,0.31691489361702124,0.33548770816812057,0.018572814551099326,0.02020618556701037,0.0782974095313427,0.05375,-0.017048066171549137
openai/gpt-oss-20b,GPT-OSS-20B,gpt_oss_20b,1,0.3413333333333334,0.34059945504087197,-0.0007338782924614096,-0.0007338782924614096,0.19414893617021275,0.03,0.07401058201058197
