model_id,short_name,variant,temperature,condition,n_trials,n_valid_judge,error_rate,refusal_rate,endorsed_rate
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,control,404,345,0.4,0.15594059405940594,0.069164265129683
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,authoritative_bias,401,355,0.43943661971830983,0.0798004987531172,0.23204419889502761
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,authority_trust,401,354,0.46327683615819204,0.16458852867830423,0.28191489361702127
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,asch_zhu_unanimous_confident,401,354,0.4915254237288136,0.1745635910224439,0.3188010899182561
allenai/Olmo-3-7B-Think-SFT,Olmo-3-7B-Think-SFT,think_sft,0.0,control,1,1,1.0,0.0,0.0
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,control,400,373,0.3646112600536193,0.13,0.043256997455470736
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,authoritative_bias,400,391,0.3785166240409207,0.0225,0.14177215189873418
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,authority_trust,400,382,0.4424083769633508,0.3375,0.12760416666666666
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,asch_zhu_unanimous_confident,400,360,0.7916666666666666,0.315,0.4393530997304582
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.6,control,400,376,0.348404255319149,0.1175,0.035623409669211195
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.6,authoritative_bias,400,393,0.3918575063613231,0.0375,0.13670886075949368
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.6,authority_trust,400,380,0.43947368421052635,0.3275,0.14871794871794872
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.6,asch_zhu_unanimous_confident,400,356,0.8146067415730337,0.3125,0.4540540540540541
allenai/olmo-3.1-32b-think,OLMo-32B-Think,think_32b,0.0,control,400,388,0.35051546391752575,0.095,0.056555269922879174
allenai/olmo-3.1-32b-think,OLMo-32B-Think,think_32b,0.0,authoritative_bias,400,397,0.3123425692695214,0.0375,0.10230179028132992
allenai/olmo-3.1-32b-think,OLMo-32B-Think,think_32b,0.0,authority_trust,400,389,0.34704370179948585,0.09,0.11855670103092783
allenai/olmo-3.1-32b-think,OLMo-32B-Think,think_32b,0.0,asch_zhu_unanimous_confident,400,391,0.3913043478260869,0.155,0.12335958005249344
allenai/olmo-3.1-32b-think,OLMo-32B-Think,think_32b,0.6,control,400,389,0.3676092544987146,0.105,0.044854881266490766
allenai/olmo-3.1-32b-think,OLMo-32B-Think,think_32b,0.6,authoritative_bias,400,397,0.34256926952141054,0.0375,0.10126582278481013
allenai/olmo-3.1-32b-think,OLMo-32B-Think,think_32b,0.6,authority_trust,400,392,0.3392857142857143,0.085,0.12628865979381443
allenai/olmo-3.1-32b-think,OLMo-32B-Think,think_32b,0.6,asch_zhu_unanimous_confident,400,392,0.39030612244897955,0.135,0.15053763440860216
google/gemini-2.5-flash-lite,Gemini-2.5-Flash-Lite,gemini_25_flash_lite,0.0,control,400,362,0.32320441988950277,0.075,0.05660377358490566
google/gemini-2.5-flash-lite,Gemini-2.5-Flash-Lite,gemini_25_flash_lite,0.0,authoritative_bias,400,368,0.36413043478260865,0.1075,0.14360313315926893
google/gemini-2.5-flash-lite,Gemini-2.5-Flash-Lite,gemini_25_flash_lite,0.0,authority_trust,400,379,0.395778364116095,0.0325,0.17105263157894737
google/gemini-2.5-flash-lite,Gemini-2.5-Flash-Lite,gemini_25_flash_lite,0.0,asch_zhu_unanimous_confident,400,348,0.4655172413793104,0.045,0.28291316526610644
google/gemini-2.5-flash-lite,Gemini-2.5-Flash-Lite,gemini_25_flash_lite,0.6,control,400,365,0.3452054794520548,0.07,0.05929919137466307
google/gemini-2.5-flash-lite,Gemini-2.5-Flash-Lite,gemini_25_flash_lite,0.6,authoritative_bias,400,365,0.37534246575342467,0.145,0.13350785340314136
google/gemini-2.5-flash-lite,Gemini-2.5-Flash-Lite,gemini_25_flash_lite,0.6,authority_trust,400,360,0.35277777777777775,0.0375,0.16621983914209115
google/gemini-2.5-flash-lite,Gemini-2.5-Flash-Lite,gemini_25_flash_lite,0.6,asch_zhu_unanimous_confident,400,351,0.4729344729344729,0.0175,0.273972602739726
meta-llama/llama-3-8b-instruct,Llama-3-8B,llama3_8b_instruct,0.0,control,400,368,0.5815217391304348,0.255,0.0625
meta-llama/llama-3-8b-instruct,Llama-3-8B,llama3_8b_instruct,0.0,authoritative_bias,400,396,0.5025252525252526,0.0075,0.10301507537688442
meta-llama/llama-3-8b-instruct,Llama-3-8B,llama3_8b_instruct,0.0,authority_trust,400,356,0.6123595505617978,0.305,0.14025974025974025
meta-llama/llama-3-8b-instruct,Llama-3-8B,llama3_8b_instruct,0.0,asch_zhu_unanimous_confident,400,290,0.9689655172413794,0.71,0.27728613569321536
meta-llama/llama-3-8b-instruct,Llama-3-8B,llama3_8b_instruct,0.6,control,400,361,0.5983379501385042,0.2675,0.05974025974025974
meta-llama/llama-3-8b-instruct,Llama-3-8B,llama3_8b_instruct,0.6,authoritative_bias,400,393,0.5216284987277353,0.01,0.10579345088161209
meta-llama/llama-3-8b-instruct,Llama-3-8B,llama3_8b_instruct,0.6,authority_trust,400,373,0.6166219839142091,0.25,0.13810741687979539
meta-llama/llama-3-8b-instruct,Llama-3-8B,llama3_8b_instruct,0.6,asch_zhu_unanimous_confident,400,312,0.9583333333333334,0.6875,0.3017241379310345
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,llama31_70b_instruct,0.0,control,400,383,0.3524804177545692,0.0675,0.050761421319796954
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,llama31_70b_instruct,0.0,authoritative_bias,400,395,0.4582278481012658,0.02,0.1884422110552764
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,llama31_70b_instruct,0.0,authority_trust,400,399,0.41604010025062654,0.0275,0.16040100250626566
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,llama31_70b_instruct,0.0,asch_zhu_unanimous_confident,400,270,0.8851851851851852,0.89,0.0547112462006079
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,llama31_70b_instruct,0.6,control,400,386,0.3523316062176166,0.0625,0.04846938775510204
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,llama31_70b_instruct,0.6,authoritative_bias,400,398,0.44472361809045224,0.01,0.195
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,llama31_70b_instruct,0.6,authority_trust,400,399,0.4135338345864662,0.045,0.135
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,llama31_70b_instruct,0.6,asch_zhu_unanimous_confident,400,277,0.7328519855595668,0.7975,0.06647398843930635
meta-llama/llama-4-maverick,Llama-4-Maverick,llama4_maverick,0.0,control,400,395,0.3139240506329114,0.0275,0.04314720812182741
