variant,pressure_condition,pearson_r,p_value,n_items,metric_type,mitigation_condition,n_pairs,b_plain_yes_mit_no,c_plain_no_mit_yes,plain_agree_rate,mit_agree_rate,delta_agree,mcnemar_p
base,asch_history_5,-0.41517497439237794,1.036415063567092e-11,247.0,pearson_item_difficulty,,,,,,,,
base,authoritative_bias,-0.4114357464990334,1.6504731143029084e-11,247.0,pearson_item_difficulty,,,,,,,,
instruct,asch_history_5,-0.3259539312033139,8.163491336671994e-07,219.0,pearson_item_difficulty,,,,,,,,
instruct,authoritative_bias,-0.41261672908020497,2.0611635217412033e-10,219.0,pearson_item_difficulty,,,,,,,,
instruct_dpo,asch_history_5,-0.43859129073367203,1.6283016671784687e-12,236.0,pearson_item_difficulty,,,,,,,,
instruct_dpo,authoritative_bias,-0.35016574403732115,3.2620249153246505e-08,236.0,pearson_item_difficulty,,,,,,,,
instruct_sft,asch_history_5,-0.3290701548209468,4.1652780281003085e-07,226.0,pearson_item_difficulty,,,,,,,,
instruct_sft,authoritative_bias,-0.42782754838296116,1.7929644668786034e-11,226.0,pearson_item_difficulty,,,,,,,,
base,,,,,mcnemar_intervention,asch_zhu_unbiased_da,2394.0,315.0,222.0,0.285296574770259,0.24644945697577275,-0.03884711779448624,6.912275323598767e-05
base,,,,,mcnemar_intervention,asch_zhu_unbiased_qd,2391.0,368.0,310.0,0.2848180677540778,0.26056043496445,-0.02425763278962778,0.028517394226372433
instruct,,,,,mcnemar_intervention,asch_zhu_unbiased_da,2395.0,204.0,115.0,0.1707724425887265,0.1336116910229645,-0.03716075156576201,7.127031618735759e-07
instruct,,,,,mcnemar_intervention,asch_zhu_unbiased_qd,2394.0,276.0,277.0,0.170843776106934,0.17126148705096073,0.0004177109440267335,0.9999999999999998
instruct_dpo,,,,,mcnemar_intervention,asch_zhu_unbiased_da,2391.0,194.0,165.0,0.15098285236302803,0.13885403596821413,-0.01212881639481389,0.13935710194324266
instruct_dpo,,,,,mcnemar_intervention,asch_zhu_unbiased_qd,2385.0,248.0,310.0,0.15136268343815515,0.17735849056603772,0.025995807127882575,0.009751154411856058
instruct_sft,,,,,mcnemar_intervention,asch_zhu_unbiased_da,2396.0,241.0,109.0,0.23330550918196996,0.1782136894824708,-0.05509181969949917,1.3736397144931897e-12
instruct_sft,,,,,mcnemar_intervention,asch_zhu_unbiased_qd,2394.0,278.0,209.0,0.233500417710944,0.2046783625730994,-0.02882205513784461,0.0020294759488405528
