temperature,variant,dataset_category,asch_history_5,asch_zhu_unbiased_da,asch_zhu_unbiased_diverse_plain,asch_zhu_unbiased_qd,asch_zhu_unbiased_unanimous_confident,asch_zhu_unbiased_unanimous_neutral,asch_zhu_unbiased_unanimous_plain,asch_zhu_unbiased_unanimous_uncertain,authoritative_bias,authority_zhu_unbiased_trust,authority_zhu_unbiased_trust_da,control,delta_asch,delta_authority
0.0,base,general,0.9,0.88,1.0,0.92,0.94,0.96,0.96,1.0,0.92,0.9,0.98,0.9259259259259259,-0.025925925925925908,-0.00592592592592589
0.0,base,knowledge,0.84,0.9,0.98,0.94,0.88,0.94,0.9,0.92,0.84,0.88,0.9,0.962962962962963,-0.12296296296296305,-0.12296296296296305
0.0,base,math,0.7916666666666666,0.9797979797979798,0.9595959595959596,0.9299999999999999,1.0,1.0,0.94,0.99,0.6705882352941177,0.95,0.96,0.7936507936507937,-0.001984126984127088,-0.12306255835667601
0.0,base,opinion,0.9183673469387755,0.9,0.88,0.9,0.98,0.9,0.92,0.98,0.9,0.88,0.96,0.9473684210526316,-0.029001074113856107,-0.047368421052631615
0.0,base,reasoning,0.76,0.8,0.86,0.84,0.9,0.88,0.84,0.92,0.8,0.8,0.78,0.6818181818181819,0.07818181818181813,0.11818181818181817
0.0,base,science,0.8163265306122449,0.84,0.8200000000000001,0.86,0.9,0.86,0.8571428571428572,0.86,0.7959183673469388,0.8,0.9166666666666666,0.78125,0.035076530612244916,0.014668367346938771
0.0,base,truthfulness,0.6799999999999999,0.88,0.98,0.9,0.84,0.88,0.86,0.92,0.78,0.92,0.92,0.65625,0.023749999999999938,0.12375000000000003
0.0,instruct,general,0.74,0.86,0.92,0.98,0.9,0.86,0.9,0.8200000000000001,0.7872340425531915,0.76,0.94,0.8695652173913043,-0.12956521739130433,-0.08233117483811281
0.0,instruct,knowledge,0.6799999999999999,0.88,0.88,0.96,0.94,0.9,0.9,0.92,0.7959183673469388,0.8200000000000001,0.88,0.9090909090909091,-0.22909090909090912,-0.11317254174397029
0.0,instruct,math,0.7435897435897436,0.8787878787878788,0.8888888888888888,0.7676767676767677,0.9299999999999999,0.8775510204081632,0.8367346938775511,0.8163265306122449,0.7532467532467533,0.9393939393939394,0.91,0.7037037037037037,0.03988603988603989,0.049543049543049555
0.0,instruct,opinion,0.64,0.96,0.94,0.94,0.92,0.9,0.92,0.88,0.76,0.6799999999999999,0.84,0.6818181818181819,-0.041818181818181865,0.07818181818181813
0.0,instruct,reasoning,0.52,0.9,0.84,0.94,0.92,0.94,0.96,0.88,0.6595744680851063,0.8200000000000001,0.76,0.8666666666666667,-0.3466666666666667,-0.20709219858156036
0.0,instruct,science,0.6956521739130435,0.88,0.92,0.88,0.92,0.84,0.88,0.72,0.7619047619047619,0.6799999999999999,0.72,0.782608695652174,-0.08695652173913049,-0.020703933747412084
0.0,instruct,truthfulness,0.38,0.92,0.94,0.92,0.96,0.92,0.94,0.9,0.36,0.8200000000000001,0.86,0.625,-0.245,-0.265
0.0,instruct_sft,general,0.88,0.86,0.94,0.92,0.98,0.92,0.88,0.96,0.9148936170212766,0.78,0.8200000000000001,0.96,-0.07999999999999996,-0.04510638297872338
0.0,instruct_sft,knowledge,0.84,0.86,0.84,0.98,0.98,0.9,0.92,0.88,0.8571428571428572,0.76,0.76,1.0,-0.16000000000000003,-0.1428571428571428
0.0,instruct_sft,math,0.7325581395348837,0.81,0.84,0.8080808080808081,0.87,0.9393939393939394,0.86,0.9,0.6103896103896104,0.8762886597938144,0.8484848484848485,0.5952380952380952,0.13732004429678846,0.015151515151515138
0.0,instruct_sft,opinion,0.98,0.92,0.88,0.92,0.96,0.92,0.94,0.94,0.9375,0.78,0.74,0.8333333333333334,0.1466666666666666,0.10416666666666663
0.0,instruct_sft,reasoning,0.88,0.92,0.94,0.94,0.96,0.98,0.92,0.94,0.62,0.76,0.7,0.8461538461538461,0.03384615384615386,-0.22615384615384615
0.0,instruct_sft,science,0.8478260869565217,0.84,0.86,0.88,0.94,0.9,0.84,0.84,0.7333333333333334,0.72,0.6599999999999999,0.8181818181818181,0.029644268774703608,-0.08484848484848473
0.0,instruct_sft,truthfulness,0.9,0.94,0.96,0.9,0.92,0.94,0.92,0.88,0.62,0.74,0.86,0.5333333333333333,0.3666666666666667,0.08666666666666667
0.0,instruct_dpo,general,0.7,0.8,0.94,0.96,0.92,0.9,0.8200000000000001,0.84,0.8085106382978724,0.74,0.88,0.92,-0.22000000000000008,-0.11148936170212764
0.0,instruct_dpo,knowledge,0.6599999999999999,0.86,0.8200000000000001,0.94,0.92,0.9,0.9,0.86,0.8163265306122449,0.74,0.8,0.9583333333333334,-0.29833333333333345,-0.14200680272108845
0.0,instruct_dpo,math,0.7407407407407407,0.79,0.8200000000000001,0.846938775510204,0.87,0.8229166666666666,0.7777777777777778,0.81,0.7534246575342466,0.9387755102040817,0.9299999999999999,0.6923076923076923,0.04843304843304841,0.0611169652265543
0.0,instruct_dpo,opinion,0.6,0.88,0.96,0.88,0.94,0.9,0.88,0.9,0.76,0.74,0.76,0.8260869565217391,-0.22608695652173916,-0.06608695652173913
0.0,instruct_dpo,reasoning,0.56,0.8200000000000001,0.8200000000000001,0.86,0.86,0.78,0.92,0.9,0.7,0.78,0.72,0.8181818181818181,-0.25818181818181807,-0.11818181818181817
0.0,instruct_dpo,science,0.75,0.84,0.9,0.9,0.86,0.7,0.86,0.72,0.6444444444444444,0.6599999999999999,0.72,0.7916666666666666,-0.04166666666666663,-0.14722222222222225
0.0,instruct_dpo,truthfulness,0.38,0.9,0.92,0.92,0.94,0.9,0.94,0.9,0.28,0.8200000000000001,0.88,0.6071428571428572,-0.2271428571428572,-0.3271428571428572
0.2,base,general,0.92,0.86,0.96,0.94,0.9,0.98,0.92,0.98,0.84,0.92,0.94,0.9166666666666666,0.0033333333333334103,-0.07666666666666666
0.2,base,knowledge,0.9,0.84,0.92,0.94,0.96,0.98,0.94,1.0,0.86,0.94,0.94,0.9130434782608696,-0.013043478260869601,-0.053043478260869636
0.2,base,math,0.7634408602150538,0.97,0.97,0.9797979797979798,0.99,0.99,0.97,0.99,0.6835443037974683,0.9797979797979798,0.9797979797979798,0.819672131147541,-0.056231270932487254,-0.13612782735007267
0.2,base,opinion,0.88,0.88,0.84,0.94,0.88,0.9,0.94,1.0,0.9183673469387755,0.88,0.96,0.9411764705882353,-0.06117647058823528,-0.02280912364945975
0.2,base,reasoning,0.7,0.84,0.84,0.92,0.9,0.92,0.86,0.92,0.72,0.8200000000000001,0.92,0.7222222222222222,-0.022222222222222254,-0.0022222222222222365
0.2,base,science,0.7959183673469388,0.84,0.88,0.92,0.86,0.8200000000000001,0.84,0.8200000000000001,0.7959183673469388,0.8200000000000001,0.88,0.8275862068965517,-0.03166783954961294,-0.03166783954961294
0.2,base,truthfulness,0.6599999999999999,0.84,0.92,0.92,0.88,0.8200000000000001,0.8200000000000001,0.88,0.7,0.84,0.9,0.6111111111111112,0.04888888888888876,0.0888888888888888
0.2,instruct,general,0.72,0.86,0.96,0.96,0.9,0.88,0.86,0.8200000000000001,0.7777777777777778,0.78,0.84,0.8,-0.08000000000000007,-0.022222222222222254
0.2,instruct,knowledge,0.6599999999999999,0.9,0.9,0.96,0.9,0.88,0.88,0.94,0.7291666666666667,0.84,0.84,0.8,-0.14000000000000012,-0.0708333333333333
0.2,instruct,math,0.7027027027027026,0.89,0.92,0.8080808080808081,0.9299999999999999,0.898989898989899,0.8686868686868687,0.8144329896907216,0.6710526315789473,0.9183673469387755,0.9191919191919192,0.6451612903225806,0.057541412380122,0.025891341256366718
0.2,instruct,opinion,0.7,0.92,0.9,0.94,0.94,0.9,0.94,0.88,0.7346938775510203,0.78,0.84,0.7142857142857143,-0.014285714285714346,0.020408163265306034
0.2,instruct,reasoning,0.62,0.9,0.8200000000000001,0.94,0.9,0.96,0.98,0.8200000000000001,0.653061224489796,0.8,0.8,0.8947368421052632,-0.27473684210526317,-0.2416756176154672
0.2,instruct,science,0.7272727272727273,0.8979591836734694,0.96,0.88,0.86,0.88,0.88,0.78,0.7073170731707317,0.6799999999999999,0.8,0.8571428571428572,-0.1298701298701299,-0.14982578397212554
0.2,instruct,truthfulness,0.42000000000000004,0.94,0.96,0.94,0.94,0.92,0.92,0.94,0.26530612244897955,0.8200000000000001,0.86,0.5384615384615384,-0.1184615384615384,-0.2731554160125589
0.2,instruct_sft,general,0.9,0.86,0.96,0.94,0.98,0.92,0.9,0.98,0.8541666666666666,0.72,0.72,0.88,0.020000000000000018,-0.025833333333333375
0.2,instruct_sft,knowledge,0.8200000000000001,0.88,0.92,0.96,0.96,0.92,0.88,0.94,0.875,0.78,0.74,0.92,-0.09999999999999998,-0.04500000000000004
0.2,instruct_sft,math,0.7222222222222222,0.8383838383838383,0.84,0.7878787878787878,0.89,0.9292929292929293,0.8383838383838383,0.91,0.631578947368421,0.898989898989899,0.8556701030927836,0.5,0.2222222222222222,0.13157894736842102
0.2,instruct_sft,opinion,0.98,0.94,0.92,0.92,0.98,0.94,0.94,0.94,0.9387755102040817,0.6799999999999999,0.7,0.84,0.14,0.0987755102040817
0.2,instruct_sft,reasoning,0.84,0.88,0.9,0.96,0.96,0.94,0.96,0.96,0.6799999999999999,0.76,0.72,0.88,-0.040000000000000036,-0.20000000000000007
0.2,instruct_sft,science,0.8571428571428572,0.92,0.88,0.8200000000000001,0.92,0.92,0.9,0.84,0.8260869565217391,0.7,0.7142857142857143,0.8,0.05714285714285716,0.02608695652173909
0.2,instruct_sft,truthfulness,0.9,0.9,0.96,0.88,0.92,0.94,0.92,0.9,0.6599999999999999,0.76,0.86,0.5,0.4,0.15999999999999992
0.2,instruct_dpo,general,0.6122448979591837,0.84,0.9,0.94,0.9,0.96,0.88,0.84,0.7608695652173914,0.74,0.86,0.8846153846153846,-0.2723704866562009,-0.12374581939799323
0.2,instruct_dpo,knowledge,0.62,0.86,0.84,0.88,0.92,0.92,0.9,0.9,0.7872340425531915,0.7,0.76,0.9166666666666666,-0.29666666666666663,-0.12943262411347511
0.2,instruct_dpo,math,0.7534246575342466,0.8080808080808081,0.81,0.846938775510204,0.87,0.8105263157894737,0.8367346938775511,0.7653061224489796,0.72,0.9494949494949495,0.9393939393939394,0.6799999999999999,0.07342465753424665,0.040000000000000036
0.2,instruct_dpo,opinion,0.6,0.86,0.94,0.9,0.92,0.84,0.86,0.86,0.8,0.6799999999999999,0.7755102040816326,0.8095238095238095,-0.20952380952380956,-0.00952380952380949
0.2,instruct_dpo,reasoning,0.56,0.8200000000000001,0.8,0.88,0.9,0.8200000000000001,0.9,0.86,0.7291666666666667,0.8,0.7,0.8636363636363636,-0.3036363636363636,-0.1344696969696969
0.2,instruct_dpo,science,0.7391304347826086,0.92,0.88,0.88,0.86,0.86,0.88,0.7,0.7111111111111111,0.7,0.7,0.8461538461538461,-0.1070234113712375,-0.135042735042735
0.2,instruct_dpo,truthfulness,0.36,0.94,0.96,0.92,0.92,0.92,0.88,0.9,0.2857142857142857,0.74,0.84,0.6153846153846154,-0.25538461538461543,-0.3296703296703297
0.4,base,general,0.9,0.9,0.92,0.92,0.92,0.96,0.94,0.98,0.86,0.88,0.94,0.9333333333333333,-0.033333333333333326,-0.07333333333333336
0.4,base,knowledge,0.88,0.88,0.88,0.96,0.98,0.94,0.94,1.0,0.8333333333333334,0.88,0.94,0.9032258064516129,-0.023225806451612874,-0.06989247311827951
0.4,base,math,0.6774193548387097,1.0,0.98,0.9795918367346939,0.98,0.96,0.97,1.0,0.7659574468085106,0.9795918367346939,0.9795918367346939,0.7924528301886793,-0.11503347534996955,-0.026495383380168658
0.4,base,opinion,0.9183673469387755,0.84,0.84,0.92,0.9,0.96,0.92,1.0,0.9183673469387755,0.88,0.92,0.9375,-0.01913265306122447,-0.01913265306122447
0.4,base,reasoning,0.74,0.9,0.88,0.86,0.9,0.84,0.88,0.94,0.72,0.8775510204081632,0.88,0.7391304347826086,0.0008695652173913437,-0.019130434782608674
0.4,base,science,0.7959183673469388,0.84,0.86,0.94,0.8,0.9,0.8200000000000001,0.84,0.8,0.8200000000000001,0.9,0.875,-0.07908163265306123,-0.07499999999999996
0.4,base,truthfulness,0.74,0.86,0.9,0.92,0.8163265306122449,0.84,0.84,0.84,0.6799999999999999,0.86,0.9,0.6551724137931034,0.08482758620689657,0.024827586206896513
0.4,instruct,general,0.6799999999999999,0.86,0.96,0.98,0.92,0.88,0.86,0.86,0.7872340425531915,0.8,0.8200000000000001,0.9090909090909091,-0.22909090909090912,-0.12185686653771755
0.4,instruct,knowledge,0.7,0.92,0.88,0.96,0.94,0.88,0.9,0.94,0.8297872340425532,0.76,0.86,0.7894736842105263,-0.08947368421052637,0.04031354983202684
0.4,instruct,math,0.7012987012987013,0.88,0.8888888888888888,0.88,0.92,0.8888888888888888,0.89,0.8080808080808081,0.6883116883116883,0.9489795918367347,0.8979591836734694,0.6666666666666667,0.03463203463203457,0.021645021645021578
0.4,instruct,opinion,0.64,0.88,0.94,0.96,0.94,0.92,0.94,0.9,0.8,0.86,0.76,0.736842105263158,-0.09684210526315795,0.06315789473684208
