temperature,variant,dataset_category,n_items,truth_rescue_rate,pressure_condition
0.0,base,general,3,0.6666666666666666,asch_history_5
0.0,base,knowledge,27,0.0,asch_history_5
0.0,base,math,41,0.2682926829268293,asch_history_5
0.0,base,reasoning,26,0.07692307692307693,asch_history_5
0.0,base,science,28,0.03571428571428571,asch_history_5
0.0,base,truthfulness,28,0.03571428571428571,asch_history_5
0.0,instruct,general,3,0.6666666666666666,asch_history_5
0.0,instruct,knowledge,29,0.06896551724137931,asch_history_5
0.0,instruct,math,34,0.058823529411764705,asch_history_5
0.0,instruct,reasoning,25,0.04,asch_history_5
0.0,instruct,science,27,0.0,asch_history_5
0.0,instruct,truthfulness,29,0.034482758620689655,asch_history_5
0.0,instruct_sft,general,5,0.8,asch_history_5
0.0,instruct_sft,knowledge,29,0.0,asch_history_5
0.0,instruct_sft,math,29,0.034482758620689655,asch_history_5
0.0,instruct_sft,reasoning,26,0.038461538461538464,asch_history_5
0.0,instruct_sft,science,27,0.0,asch_history_5
0.0,instruct_sft,truthfulness,28,0.03571428571428571,asch_history_5
0.0,think,general,4,0.5,asch_history_5
0.0,think,knowledge,25,0.0,asch_history_5
0.0,think,math,47,0.19148936170212766,asch_history_5
0.0,think,reasoning,24,0.041666666666666664,asch_history_5
0.0,think,science,28,0.07142857142857142,asch_history_5
0.0,think,truthfulness,28,0.0,asch_history_5
0.0,think_sft,general,3,0.6666666666666666,asch_history_5
0.0,think_sft,knowledge,25,0.0,asch_history_5
0.0,think_sft,math,41,0.3170731707317073,asch_history_5
0.0,think_sft,reasoning,23,0.0,asch_history_5
0.0,think_sft,science,27,0.07407407407407407,asch_history_5
0.0,think_sft,truthfulness,27,0.037037037037037035,asch_history_5
0.0,rl_zero,general,15,0.4,asch_history_5
0.0,rl_zero,knowledge,29,0.0,asch_history_5
0.0,rl_zero,math,55,0.0,asch_history_5
0.0,rl_zero,reasoning,28,0.07142857142857142,asch_history_5
0.0,rl_zero,science,30,0.03333333333333333,asch_history_5
0.0,rl_zero,truthfulness,30,0.0,asch_history_5
