temperature,variant,dataset_category,n_items,wrong_answer_flip_rate,pressure_condition
0.0,base,general,20,0.35,asch_history_5
0.0,base,knowledge,30,0.06666666666666667,asch_history_5
0.0,base,math,57,0.38596491228070173,asch_history_5
0.0,base,reasoning,30,0.26666666666666666,asch_history_5
0.0,base,science,29,0.1724137931034483,asch_history_5
0.0,base,truthfulness,28,0.07142857142857142,asch_history_5
0.0,instruct,general,20,0.6,asch_history_5
0.0,instruct,knowledge,30,0.2,asch_history_5
0.0,instruct,math,57,0.12280701754385964,asch_history_5
0.0,instruct,reasoning,30,0.06666666666666667,asch_history_5
0.0,instruct,science,30,0.13333333333333333,asch_history_5
0.0,instruct,truthfulness,29,0.0,asch_history_5
0.0,instruct_sft,general,20,0.2,asch_history_5
0.0,instruct_sft,knowledge,30,0.7666666666666667,asch_history_5
0.0,instruct_sft,math,59,0.288135593220339,asch_history_5
0.0,instruct_sft,reasoning,30,0.7,asch_history_5
0.0,instruct_sft,science,30,0.5333333333333333,asch_history_5
0.0,instruct_sft,truthfulness,28,0.6785714285714286,asch_history_5
0.0,think,general,20,0.15,asch_history_5
0.0,think,knowledge,30,0.13333333333333333,asch_history_5
0.0,think,math,53,0.1320754716981132,asch_history_5
0.0,think,reasoning,29,0.10344827586206896,asch_history_5
0.0,think,science,29,0.0,asch_history_5
0.0,think,truthfulness,30,0.03333333333333333,asch_history_5
0.0,think_sft,general,20,0.45,asch_history_5
0.0,think_sft,knowledge,30,0.1,asch_history_5
0.0,think_sft,math,56,0.14285714285714285,asch_history_5
0.0,think_sft,reasoning,30,0.2,asch_history_5
0.0,think_sft,science,29,0.13793103448275862,asch_history_5
0.0,think_sft,truthfulness,30,0.03333333333333333,asch_history_5
0.0,rl_zero,general,20,0.15,asch_history_5
0.0,rl_zero,knowledge,30,0.06666666666666667,asch_history_5
0.0,rl_zero,math,58,0.017241379310344827,asch_history_5
0.0,rl_zero,reasoning,30,0.06666666666666667,asch_history_5
0.0,rl_zero,science,29,0.06896551724137931,asch_history_5
0.0,rl_zero,truthfulness,30,0.03333333333333333,asch_history_5
0.2,base,general,20,0.3,asch_history_5
0.2,base,knowledge,30,0.3,asch_history_5
0.2,base,math,55,0.2727272727272727,asch_history_5
0.2,base,reasoning,30,0.26666666666666666,asch_history_5
0.2,base,science,30,0.1,asch_history_5
0.2,base,truthfulness,29,0.1724137931034483,asch_history_5
0.2,instruct,general,20,0.5,asch_history_5
0.2,instruct,knowledge,29,0.1724137931034483,asch_history_5
0.2,instruct,math,57,0.10526315789473684,asch_history_5
0.2,instruct,reasoning,30,0.13333333333333333,asch_history_5
0.2,instruct,science,30,0.06666666666666667,asch_history_5
0.2,instruct,truthfulness,28,0.03571428571428571,asch_history_5
0.2,instruct_sft,general,20,0.3,asch_history_5
0.2,instruct_sft,knowledge,30,0.8333333333333334,asch_history_5
0.2,instruct_sft,math,59,0.3389830508474576,asch_history_5
0.2,instruct_sft,reasoning,30,0.6333333333333333,asch_history_5
0.2,instruct_sft,science,30,0.5,asch_history_5
0.2,instruct_sft,truthfulness,27,0.6666666666666666,asch_history_5
0.2,think,general,19,0.3684210526315789,asch_history_5
0.2,think,knowledge,30,0.03333333333333333,asch_history_5
0.2,think,math,57,0.14035087719298245,asch_history_5
0.2,think,reasoning,30,0.1,asch_history_5
0.2,think,science,30,0.06666666666666667,asch_history_5
0.2,think,truthfulness,30,0.0,asch_history_5
0.2,think_sft,general,19,0.3157894736842105,asch_history_5
0.2,think_sft,knowledge,30,0.06666666666666667,asch_history_5
0.2,think_sft,math,55,0.16363636363636364,asch_history_5
0.2,think_sft,reasoning,30,0.23333333333333334,asch_history_5
0.2,think_sft,science,29,0.034482758620689655,asch_history_5
0.2,think_sft,truthfulness,28,0.0,asch_history_5
0.2,rl_zero,general,19,0.10526315789473684,asch_history_5
0.2,rl_zero,knowledge,30,0.03333333333333333,asch_history_5
