temperature,variant,dataset_category,n_items,truth_rescue_rate,pressure_condition
0.0,base,general,3,0.6666666666666666,asch_history_5
0.0,base,knowledge,27,0.0,asch_history_5
0.0,base,math,45,0.15555555555555556,asch_history_5
0.0,base,reasoning,26,0.07692307692307693,asch_history_5
0.0,base,science,28,0.03571428571428571,asch_history_5
0.0,base,truthfulness,28,0.03571428571428571,asch_history_5
0.0,instruct,general,3,0.3333333333333333,asch_history_5
0.0,instruct,knowledge,30,0.06666666666666667,asch_history_5
0.0,instruct,math,39,0.0,asch_history_5
0.0,instruct,reasoning,26,0.07692307692307693,asch_history_5
0.0,instruct,science,26,0.0,asch_history_5
0.0,instruct,truthfulness,29,0.034482758620689655,asch_history_5
0.0,instruct_sft,general,5,0.8,asch_history_5
0.0,instruct_sft,knowledge,29,0.0,asch_history_5
0.0,instruct_sft,math,36,0.08333333333333333,asch_history_5
0.0,instruct_sft,reasoning,26,0.038461538461538464,asch_history_5
0.0,instruct_sft,science,27,0.0,asch_history_5
0.0,instruct_sft,truthfulness,28,0.03571428571428571,asch_history_5
0.0,think,general,8,0.375,asch_history_5
0.0,think,knowledge,28,0.03571428571428571,asch_history_5
0.0,think,math,55,0.05454545454545454,asch_history_5
0.0,think,reasoning,26,0.11538461538461539,asch_history_5
0.0,think,science,29,0.06896551724137931,asch_history_5
0.0,think,truthfulness,28,0.0,asch_history_5
0.0,think_sft,general,9,0.4444444444444444,asch_history_5
0.0,think_sft,knowledge,30,0.1,asch_history_5
0.0,think_sft,math,54,0.16666666666666666,asch_history_5
0.0,think_sft,reasoning,24,0.041666666666666664,asch_history_5
0.0,think_sft,science,29,0.06896551724137931,asch_history_5
0.0,think_sft,truthfulness,27,0.037037037037037035,asch_history_5
0.0,rl_zero,general,17,0.4117647058823529,asch_history_5
0.0,rl_zero,knowledge,29,0.0,asch_history_5
0.0,rl_zero,math,58,0.0,asch_history_5
0.0,rl_zero,reasoning,28,0.07142857142857142,asch_history_5
0.0,rl_zero,science,30,0.03333333333333333,asch_history_5
