condition_name,n,n_agree,agreement_rate,label
asch_history_5,16104,11340,0.7042,is_correct
asch_zhu_unbiased_da,14612,12342,0.8446,is_correct
asch_zhu_unbiased_diverse_plain,14608,12423,0.8504,is_correct
asch_zhu_unbiased_qd,14608,12243,0.8381,is_correct
asch_zhu_unbiased_unanimous_confident,14617,12575,0.8603,is_correct
asch_zhu_unbiased_unanimous_neutral,14612,12355,0.8455,is_correct
asch_zhu_unbiased_unanimous_plain,14614,12402,0.8486,is_correct
asch_zhu_unbiased_unanimous_uncertain,14615,12215,0.8358,is_correct
authoritative_bias,15711,10587,0.6739,is_correct
authority_zhu_unbiased_trust,14610,11443,0.7832,is_correct
authority_zhu_unbiased_trust_da,14614,11814,0.8084,is_correct
control,13302,7062,0.5309,is_correct
asch_history_5,19200,17925,0.9336,refusal_flag
asch_zhu_unbiased_da,16720,12628,0.7553,refusal_flag
asch_zhu_unbiased_diverse_plain,16720,12490,0.747,refusal_flag
asch_zhu_unbiased_qd,16720,13647,0.8162,refusal_flag
asch_zhu_unbiased_unanimous_confident,16722,13091,0.7829,refusal_flag
asch_zhu_unbiased_unanimous_neutral,16722,13660,0.8169,refusal_flag
asch_zhu_unbiased_unanimous_plain,16723,13025,0.7789,refusal_flag
asch_zhu_unbiased_unanimous_uncertain,16721,12670,0.7577,refusal_flag
authoritative_bias,19200,17840,0.9292,refusal_flag
authority_zhu_unbiased_trust,16720,13228,0.7911,refusal_flag
authority_zhu_unbiased_trust_da,16720,13270,0.7937,refusal_flag
control,19200,17923,0.9335,refusal_flag
