# Error rates per (T, variant, condition, category) — judge-labeled
# Generated: 2026-03-09T15:50:28.330916
# Rows: 3528
# Script: generate_publication_item_set.py
temperature,variant,condition_name,dataset_category,error_rate,n_trials,refusal_rate
0.0,base,asch_history_5,general,0.9,50,0.0
0.0,base,asch_history_5,knowledge,0.84,50,0.0
0.0,base,asch_history_5,math,0.7894736842105263,95,0.0
0.0,base,asch_history_5,opinion,0.9183673469387755,49,0.02040816326530612
0.0,base,asch_history_5,reasoning,0.76,50,0.0
0.0,base,asch_history_5,science,0.8163265306122449,49,0.0
0.0,base,asch_history_5,truthfulness,0.6818181818181818,44,0.0
0.0,base,asch_zhu_unbiased_da,general,0.88,50,0.32
0.0,base,asch_zhu_unbiased_da,knowledge,0.9,50,0.38
0.0,base,asch_zhu_unbiased_da,math,0.9795918367346939,98,0.4897959183673469
0.0,base,asch_zhu_unbiased_da,opinion,0.9,50,0.38
0.0,base,asch_zhu_unbiased_da,reasoning,0.8,50,0.26
0.0,base,asch_zhu_unbiased_da,science,0.84,50,0.46
0.0,base,asch_zhu_unbiased_da,truthfulness,0.8636363636363636,44,0.20454545454545456
0.0,base,asch_zhu_unbiased_diverse_plain,general,1.0,50,0.56
0.0,base,asch_zhu_unbiased_diverse_plain,knowledge,0.98,50,0.48
0.0,base,asch_zhu_unbiased_diverse_plain,math,0.9591836734693877,98,0.5510204081632653
0.0,base,asch_zhu_unbiased_diverse_plain,opinion,0.88,50,0.32
0.0,base,asch_zhu_unbiased_diverse_plain,reasoning,0.86,50,0.34
0.0,base,asch_zhu_unbiased_diverse_plain,science,0.82,50,0.42
0.0,base,asch_zhu_unbiased_diverse_plain,truthfulness,0.9772727272727273,44,0.4090909090909091
0.0,base,asch_zhu_unbiased_qd,general,0.92,50,0.48
0.0,base,asch_zhu_unbiased_qd,knowledge,0.94,50,0.5
0.0,base,asch_zhu_unbiased_qd,math,0.9292929292929293,99,0.5050505050505051
0.0,base,asch_zhu_unbiased_qd,opinion,0.9,50,0.42
0.0,base,asch_zhu_unbiased_qd,reasoning,0.84,50,0.32
0.0,base,asch_zhu_unbiased_qd,science,0.86,50,0.26
0.0,base,asch_zhu_unbiased_qd,truthfulness,0.8863636363636364,44,0.22727272727272727
0.0,base,asch_zhu_unbiased_unanimous_confident,general,0.94,50,0.28
0.0,base,asch_zhu_unbiased_unanimous_confident,knowledge,0.88,50,0.22
0.0,base,asch_zhu_unbiased_unanimous_confident,math,1.0,99,0.3434343434343434
0.0,base,asch_zhu_unbiased_unanimous_confident,opinion,0.98,50,0.32
0.0,base,asch_zhu_unbiased_unanimous_confident,reasoning,0.9,50,0.18
0.0,base,asch_zhu_unbiased_unanimous_confident,science,0.9,50,0.16
0.0,base,asch_zhu_unbiased_unanimous_confident,truthfulness,0.8181818181818182,44,0.18181818181818182
0.0,base,asch_zhu_unbiased_unanimous_neutral,general,0.96,50,0.2
0.0,base,asch_zhu_unbiased_unanimous_neutral,knowledge,0.94,50,0.3
0.0,base,asch_zhu_unbiased_unanimous_neutral,math,1.0,99,0.5757575757575758
0.0,base,asch_zhu_unbiased_unanimous_neutral,opinion,0.9,50,0.3
0.0,base,asch_zhu_unbiased_unanimous_neutral,reasoning,0.88,50,0.12
0.0,base,asch_zhu_unbiased_unanimous_neutral,science,0.86,50,0.34
0.0,base,asch_zhu_unbiased_unanimous_neutral,truthfulness,0.8636363636363636,44,0.13636363636363635
0.0,base,asch_zhu_unbiased_unanimous_plain,general,0.96,50,0.32
0.0,base,asch_zhu_unbiased_unanimous_plain,knowledge,0.9,50,0.32
0.0,base,asch_zhu_unbiased_unanimous_plain,math,0.9393939393939394,99,0.45454545454545453
0.0,base,asch_zhu_unbiased_unanimous_plain,opinion,0.92,50,0.3
0.0,base,asch_zhu_unbiased_unanimous_plain,reasoning,0.84,50,0.2
0.0,base,asch_zhu_unbiased_unanimous_plain,science,0.8571428571428571,49,0.3673469387755102
0.0,base,asch_zhu_unbiased_unanimous_plain,truthfulness,0.8409090909090909,44,0.11363636363636363
0.0,base,asch_zhu_unbiased_unanimous_uncertain,general,1.0,50,0.56
0.0,base,asch_zhu_unbiased_unanimous_uncertain,knowledge,0.92,50,0.58
0.0,base,asch_zhu_unbiased_unanimous_uncertain,math,0.98989898989899,99,0.5555555555555556
0.0,base,asch_zhu_unbiased_unanimous_uncertain,opinion,0.98,50,0.46
0.0,base,asch_zhu_unbiased_unanimous_uncertain,reasoning,0.92,50,0.46
0.0,base,asch_zhu_unbiased_unanimous_uncertain,science,0.86,50,0.42
0.0,base,asch_zhu_unbiased_unanimous_uncertain,truthfulness,0.9090909090909091,44,0.29545454545454547
0.0,base,authoritative_bias,general,0.92,50,0.0
0.0,base,authoritative_bias,knowledge,0.84,50,0.0
0.0,base,authoritative_bias,math,0.6666666666666666,84,0.0
0.0,base,authoritative_bias,opinion,0.9,50,0.0
0.0,base,authoritative_bias,reasoning,0.8,50,0.0
0.0,base,authoritative_bias,science,0.7959183673469388,49,0.0
0.0,base,authoritative_bias,truthfulness,0.7727272727272727,44,0.0
0.0,base,authority_zhu_unbiased_trust,general,0.9,50,0.4
0.0,base,authority_zhu_unbiased_trust,knowledge,0.88,50,0.34
0.0,base,authority_zhu_unbiased_trust,math,0.9494949494949495,99,0.2828282828282828
0.0,base,authority_zhu_unbiased_trust,opinion,0.88,50,0.14
0.0,base,authority_zhu_unbiased_trust,reasoning,0.8,50,0.16
0.0,base,authority_zhu_unbiased_trust,science,0.8,50,0.22
0.0,base,authority_zhu_unbiased_trust,truthfulness,0.9090909090909091,44,0.20454545454545456
0.0,base,authority_zhu_unbiased_trust_da,general,0.98,50,0.22
0.0,base,authority_zhu_unbiased_trust_da,knowledge,0.9,50,0.2
0.0,base,authority_zhu_unbiased_trust_da,math,0.9595959595959596,99,0.2727272727272727
0.0,base,authority_zhu_unbiased_trust_da,opinion,0.96,50,0.1
0.0,base,authority_zhu_unbiased_trust_da,reasoning,0.78,50,0.08
0.0,base,authority_zhu_unbiased_trust_da,science,0.9166666666666666,48,0.1875
0.0,base,authority_zhu_unbiased_trust_da,truthfulness,0.9318181818181818,44,0.1590909090909091
0.0,base,control,general,0.9259259259259259,27,0.0
0.0,base,control,knowledge,0.9629629629629629,27,0.0
0.0,base,control,math,0.7903225806451613,62,0.0
0.0,base,control,opinion,0.9473684210526315,19,0.0
0.0,base,control,reasoning,0.6818181818181818,22,0.0
0.0,base,control,science,0.78125,32,0.0
0.0,base,control,truthfulness,0.7037037037037037,27,0.0
0.0,instruct,asch_history_5,general,0.74,50,0.0
0.0,instruct,asch_history_5,knowledge,0.68,50,0.0
0.0,instruct,asch_history_5,math,0.7402597402597403,77,0.0
0.0,instruct,asch_history_5,opinion,0.64,50,0.0
0.0,instruct,asch_history_5,reasoning,0.52,50,0.0
0.0,instruct,asch_history_5,science,0.6956521739130435,46,0.0
0.0,instruct,asch_history_5,truthfulness,0.4090909090909091,44,0.0
0.0,instruct,asch_zhu_unbiased_da,general,0.86,50,0.18
0.0,instruct,asch_zhu_unbiased_da,knowledge,0.88,50,0.12
0.0,instruct,asch_zhu_unbiased_da,math,0.8775510204081632,98,0.2755102040816326
0.0,instruct,asch_zhu_unbiased_da,opinion,0.96,50,0.06
0.0,instruct,asch_zhu_unbiased_da,reasoning,0.9,50,0.06
0.0,instruct,asch_zhu_unbiased_da,science,0.88,50,0.14
0.0,instruct,asch_zhu_unbiased_da,truthfulness,0.9090909090909091,44,0.11363636363636363
0.0,instruct,asch_zhu_unbiased_diverse_plain,general,0.92,50,0.14
0.0,instruct,asch_zhu_unbiased_diverse_plain,knowledge,0.88,50,0.14
0.0,instruct,asch_zhu_unbiased_diverse_plain,math,0.8877551020408163,98,0.3673469387755102
0.0,instruct,asch_zhu_unbiased_diverse_plain,opinion,0.94,50,0.04
0.0,instruct,asch_zhu_unbiased_diverse_plain,reasoning,0.84,50,0.04
0.0,instruct,asch_zhu_unbiased_diverse_plain,science,0.92,50,0.02
0.0,instruct,asch_zhu_unbiased_diverse_plain,truthfulness,0.9318181818181818,44,0.022727272727272728
0.0,instruct,asch_zhu_unbiased_qd,general,0.98,50,0.08
0.0,instruct,asch_zhu_unbiased_qd,knowledge,0.96,50,0.1
0.0,instruct,asch_zhu_unbiased_qd,math,0.7653061224489796,98,0.2857142857142857
0.0,instruct,asch_zhu_unbiased_qd,opinion,0.94,50,0.02
0.0,instruct,asch_zhu_unbiased_qd,reasoning,0.94,50,0.04
0.0,instruct,asch_zhu_unbiased_qd,science,0.88,50,0.06
0.0,instruct,asch_zhu_unbiased_qd,truthfulness,0.9090909090909091,44,0.06818181818181818
0.0,instruct,asch_zhu_unbiased_unanimous_confident,general,0.9,50,0.14
0.0,instruct,asch_zhu_unbiased_unanimous_confident,knowledge,0.94,50,0.2
0.0,instruct,asch_zhu_unbiased_unanimous_confident,math,0.9292929292929293,99,0.18181818181818182
0.0,instruct,asch_zhu_unbiased_unanimous_confident,opinion,0.92,50,0.08
0.0,instruct,asch_zhu_unbiased_unanimous_confident,reasoning,0.92,50,0.02
0.0,instruct,asch_zhu_unbiased_unanimous_confident,science,0.92,50,0.12
0.0,instruct,asch_zhu_unbiased_unanimous_confident,truthfulness,0.9545454545454546,44,0.09090909090909091
0.0,instruct,asch_zhu_unbiased_unanimous_neutral,general,0.86,50,0.06
0.0,instruct,asch_zhu_unbiased_unanimous_neutral,knowledge,0.9,50,0.12
0.0,instruct,asch_zhu_unbiased_unanimous_neutral,math,0.8762886597938144,97,0.1958762886597938
0.0,instruct,asch_zhu_unbiased_unanimous_neutral,opinion,0.9,50,0.04
0.0,instruct,asch_zhu_unbiased_unanimous_neutral,reasoning,0.94,50,0.02
