temperature,variant,model_id,n_expected,n_judge_labeled,coverage_pct,complete
0.0,base,allenai/Olmo-3-1025-7B,4800,4800,100.0,Y
0.0,instruct,allenai/Olmo-3-7B-Instruct,4800,4800,100.0,Y
0.0,instruct_dpo,allenai/Olmo-3-7B-Instruct-DPO,4800,4800,100.0,Y
0.0,instruct_sft,allenai/Olmo-3-7B-Instruct-SFT,4800,4800,100.0,Y
0.0,think,allenai/Olmo-3-7B-Think,4800,4800,100.0,Y
0.0,think_sft,allenai/Olmo-3-7B-Think-SFT,4800,4800,100.0,Y
0.2,base,allenai/Olmo-3-1025-7B,4800,4800,100.0,Y
0.2,instruct,allenai/Olmo-3-7B-Instruct,4800,4800,100.0,Y
0.2,instruct_dpo,allenai/Olmo-3-7B-Instruct-DPO,4800,4800,100.0,Y
0.2,instruct_sft,allenai/Olmo-3-7B-Instruct-SFT,4800,4800,100.0,Y
0.2,think,allenai/Olmo-3-7B-Think,4800,4800,100.0,Y
0.2,think_sft,allenai/Olmo-3-7B-Think-SFT,4800,4800,100.0,Y
0.4,base,allenai/Olmo-3-1025-7B,4800,4800,100.0,Y
0.4,instruct,allenai/Olmo-3-7B-Instruct,4800,4800,100.0,Y
0.4,instruct_dpo,allenai/Olmo-3-7B-Instruct-DPO,4800,4800,100.0,Y
0.4,instruct_sft,allenai/Olmo-3-7B-Instruct-SFT,4800,4800,100.0,Y
0.4,think,allenai/Olmo-3-7B-Think,4800,4800,100.0,Y
0.4,think_sft,allenai/Olmo-3-7B-Think-SFT,4800,4800,100.0,Y
0.6,base,allenai/Olmo-3-1025-7B,4800,4800,100.0,Y
0.6,instruct,allenai/Olmo-3-7B-Instruct,4800,4800,100.0,Y
0.6,instruct_dpo,allenai/Olmo-3-7B-Instruct-DPO,4800,4800,100.0,Y
0.6,instruct_sft,allenai/Olmo-3-7B-Instruct-SFT,4800,4800,100.0,Y
0.6,think,allenai/Olmo-3-7B-Think,4800,4800,100.0,Y
0.6,think_sft,allenai/Olmo-3-7B-Think-SFT,4800,4800,100.0,Y
0.8,base,allenai/Olmo-3-1025-7B,4800,4800,100.0,Y
0.8,instruct,allenai/Olmo-3-7B-Instruct,4800,4800,100.0,Y
0.8,instruct_dpo,allenai/Olmo-3-7B-Instruct-DPO,4800,4800,100.0,Y
0.8,instruct_sft,allenai/Olmo-3-7B-Instruct-SFT,4800,4800,100.0,Y
0.8,think,allenai/Olmo-3-7B-Think,4800,4800,100.0,Y
0.8,think_sft,allenai/Olmo-3-7B-Think-SFT,4800,4800,100.0,Y
1.0,base,allenai/Olmo-3-1025-7B,4800,4800,100.0,Y
1.0,instruct,allenai/Olmo-3-7B-Instruct,4800,4800,100.0,Y
1.0,instruct_dpo,allenai/Olmo-3-7B-Instruct-DPO,4800,4800,100.0,Y
1.0,instruct_sft,allenai/Olmo-3-7B-Instruct-SFT,4800,4800,100.0,Y
1.0,think,allenai/Olmo-3-7B-Think,4800,4800,100.0,Y
1.0,think_sft,allenai/Olmo-3-7B-Think-SFT,4800,4800,100.0,Y
