variant_a,variant_b,tc_mean_a,tc_mean_b,u_stat,p_value,p_adjusted,rank_biserial_r,n_a,n_b
base,instruct,0.2434,0.2726,2170685.0,0.1734307854664271,0.346862,0.0224,2585,1718
base,instruct_sft,0.2434,0.2205,2629736.0,2.785727238476829e-05,0.000279,-0.0658,2585,1909
base,instruct_dpo,0.2434,0.3135,2104741.5,9.37061698502733e-10,0.0,0.1008,2585,1811
base,think,0.2434,0.2802,2803626.5,0.00012418484397460025,0.000993,0.0589,2585,2305
base,think_sft,0.2434,0.2841,2731832.0,7.267013167965772e-07,9e-06,0.0766,2585,2289
base,think_dpo,0.2434,0.3479,2935820.5,6.726289026569039e-23,0.0,0.1474,2585,2664
instruct,instruct_sft,0.2726,0.2205,1774534.0,1.73688424875369e-06,1.9e-05,-0.0821,1718,1909
instruct,instruct_dpo,0.2726,0.3135,1439967.0,4.111184068596113e-05,0.00037,0.0744,1718,1811
instruct,think,0.2726,0.2802,1912571.0,0.04645457608924037,0.185818,0.0341,1718,2305
instruct,think_sft,0.2726,0.2841,1866367.0,0.003209543497173542,0.022467,0.0508,1718,2289
instruct,think_dpo,0.2726,0.3479,2020078.5,2.9425528965783737e-12,0.0,0.1172,1718,2664
instruct_sft,instruct_dpo,0.2205,0.3135,1455034.0,6.691945611923349e-20,0.0,0.1583,1909,1811
instruct_sft,think,0.2205,0.2802,1933579.0,1.1604576673490894e-13,0.0,0.1211,1909,2305
instruct_sft,think_sft,0.2205,0.2841,1878296.5,1.6172231688041313e-17,0.0,0.1403,1909,2289
instruct_sft,think_dpo,0.2205,0.3479,2038450.0,4.852103634094844e-35,0.0,0.1983,1909,2664
instruct_dpo,think,0.3135,0.2802,2178301.0,0.010557757728706908,0.052789,-0.0437,1811,2305
instruct_dpo,think_sft,0.3135,0.2841,2130995.0,0.10176761597105428,0.305303,-0.0281,1811,2289
instruct_dpo,think_dpo,0.3135,0.3479,2304437.0,0.007448690670035012,0.044692,0.0447,1811,2664
think,think_sft,0.2802,0.2841,2593586.5,0.2937780234120154,0.346862,0.0169,2305,2289
think,think_dpo,0.2802,0.3479,2795107.0,8.090729973118024e-09,0.0,0.0896,2305,2664
think_sft,think_dpo,0.2841,0.3479,2818241.5,1.3036932897680524e-06,1.6e-05,0.0757,2289,2664
