domain,variant,total_trials,conforming_trials,ursp_trials,ursp_given_conforming
High School Geography,base,6600,2356,190,0.0806
High School Geography,instruct,6600,1650,131,0.0794
High School Geography,instruct_sft,6600,2120,81,0.0382
High School Geography,instruct_dpo,6600,1606,156,0.0971
High School Geography,think,6600,2095,569,0.2716
High School Geography,think_sft,6600,1950,535,0.2744
High School Geography,think_dpo,6600,2124,498,0.2345
High School Mathematics,base,3300,484,34,0.0702
High School Mathematics,instruct,3300,307,20,0.0651
High School Mathematics,instruct_sft,3300,354,12,0.0339
High School Mathematics,instruct_dpo,3300,265,12,0.0453
High School Mathematics,think,3300,345,13,0.0377
High School Mathematics,think_sft,3300,297,11,0.037
High School Mathematics,think_dpo,3294,275,9,0.0327
High School Physics,base,3300,1174,352,0.2998
High School Physics,instruct,3300,1041,149,0.1431
High School Physics,instruct_sft,3300,1244,253,0.2034
High School Physics,instruct_dpo,3300,941,164,0.1743
High School Physics,think,3300,1473,311,0.2111
High School Physics,think_sft,3300,1414,341,0.2412
High School Physics,think_dpo,3300,1154,286,0.2478
general,base,3102,1896,1083,0.5712
general,instruct,3102,1330,456,0.3429
general,instruct_sft,3102,1629,736,0.4518
general,instruct_dpo,3102,1332,589,0.4422
general,think,3102,1857,1475,0.7943
general,think_sft,3102,1794,1402,0.7815
general,think_dpo,3048,1671,1310,0.784
history,base,198,124,47,0.379
history,instruct,198,78,49,0.6282
history,instruct_sft,198,111,60,0.5405
history,instruct_dpo,198,93,57,0.6129
history,think,198,146,96,0.6575
history,think_sft,198,134,89,0.6642
history,think_dpo,198,146,101,0.6918
math,base,3300,409,42,0.1027
math,instruct,3300,300,25,0.0833
math,instruct_sft,3300,394,21,0.0533
math,instruct_dpo,3300,192,34,0.1771
math,think,3300,132,11,0.0833
math,think_sft,3300,107,23,0.215
math,think_dpo,3300,95,14,0.1474
preference,base,3300,0,0,0
preference,instruct,3300,0,0,0
preference,instruct_sft,3300,0,0,0
preference,instruct_dpo,3300,0,0,0
preference,think,3300,0,0,0
preference,think_sft,3300,0,0,0
preference,think_dpo,3300,376,37,0.0984
science,base,3300,1351,273,0.2021
science,instruct,3300,934,181,0.1938
science,instruct_sft,3300,1315,202,0.1536
science,instruct_dpo,3300,875,249,0.2846
science,think,3300,948,423,0.4462
science,think_sft,3300,896,351,0.3917
science,think_dpo,3300,820,350,0.4268
