variant,condition,total_trials,conforming_trials,ursp_trials,ursp_given_conforming
base,asch_history_5,2400,1089,250,0.2296
base,asch_zhu_unbiased_da,2400,579,158,0.2729
base,asch_zhu_unbiased_diverse_plain,2400,486,121,0.249
base,asch_zhu_unbiased_qd,2400,586,178,0.3038
base,asch_zhu_unbiased_unanimous_confident,2400,684,155,0.2266
base,asch_zhu_unbiased_unanimous_neutral,2400,699,184,0.2632
base,asch_zhu_unbiased_unanimous_plain,2400,639,176,0.2754
base,asch_zhu_unbiased_unanimous_uncertain,2400,561,140,0.2496
base,authoritative_bias,2400,1019,268,0.263
base,authority_zhu_unbiased_trust,2400,690,195,0.2826
base,authority_zhu_unbiased_trust_da,2400,762,196,0.2572
instruct,asch_history_5,2400,554,158,0.2852
instruct,asch_zhu_unbiased_da,2400,464,60,0.1293
instruct,asch_zhu_unbiased_diverse_plain,2400,428,33,0.0771
instruct,asch_zhu_unbiased_qd,2400,573,49,0.0855
instruct,asch_zhu_unbiased_unanimous_confident,2400,586,84,0.1433
instruct,asch_zhu_unbiased_unanimous_neutral,2400,649,110,0.1695
instruct,asch_zhu_unbiased_unanimous_plain,2400,464,57,0.1228
instruct,asch_zhu_unbiased_unanimous_uncertain,2400,538,89,0.1654
instruct,authoritative_bias,2400,713,150,0.2104
instruct,authority_zhu_unbiased_trust,2400,316,106,0.3354
instruct,authority_zhu_unbiased_trust_da,2400,355,115,0.3239
instruct_dpo,asch_history_5,2400,520,128,0.2462
instruct_dpo,asch_zhu_unbiased_da,2400,426,97,0.2277
instruct_dpo,asch_zhu_unbiased_diverse_plain,2400,386,73,0.1891
instruct_dpo,asch_zhu_unbiased_qd,2400,505,87,0.1723
instruct_dpo,asch_zhu_unbiased_unanimous_confident,2400,544,128,0.2353
instruct_dpo,asch_zhu_unbiased_unanimous_neutral,2400,612,167,0.2729
instruct_dpo,asch_zhu_unbiased_unanimous_plain,2400,426,95,0.223
instruct_dpo,asch_zhu_unbiased_unanimous_uncertain,2400,486,123,0.2531
instruct_dpo,authoritative_bias,2400,697,149,0.2138
instruct_dpo,authority_zhu_unbiased_trust,2400,316,99,0.3133
instruct_dpo,authority_zhu_unbiased_trust_da,2400,386,115,0.2979
instruct_sft,asch_history_5,2400,1225,195,0.1592
instruct_sft,asch_zhu_unbiased_da,2400,462,88,0.1905
instruct_sft,asch_zhu_unbiased_diverse_plain,2400,402,50,0.1244
instruct_sft,asch_zhu_unbiased_qd,2400,550,90,0.1636
instruct_sft,asch_zhu_unbiased_unanimous_confident,2400,837,134,0.1601
instruct_sft,asch_zhu_unbiased_unanimous_neutral,2400,787,158,0.2008
instruct_sft,asch_zhu_unbiased_unanimous_plain,2400,540,119,0.2204
instruct_sft,asch_zhu_unbiased_unanimous_uncertain,2400,604,110,0.1821
instruct_sft,authoritative_bias,2400,977,214,0.219
instruct_sft,authority_zhu_unbiased_trust,2400,334,81,0.2425
instruct_sft,authority_zhu_unbiased_trust_da,2400,449,126,0.2806
think,asch_history_5,2400,593,220,0.371
think,asch_zhu_unbiased_da,2400,516,211,0.4089
think,asch_zhu_unbiased_diverse_plain,2400,591,214,0.3621
think,asch_zhu_unbiased_qd,2400,661,301,0.4554
think,asch_zhu_unbiased_unanimous_confident,2400,659,276,0.4188
think,asch_zhu_unbiased_unanimous_neutral,2400,713,317,0.4446
think,asch_zhu_unbiased_unanimous_plain,2400,673,285,0.4235
think,asch_zhu_unbiased_unanimous_uncertain,2400,615,244,0.3967
think,authoritative_bias,2400,509,203,0.3988
think,authority_zhu_unbiased_trust,2400,807,344,0.4263
think,authority_zhu_unbiased_trust_da,2400,659,283,0.4294
think_dpo,asch_history_5,2400,520,197,0.3788
think_dpo,asch_zhu_unbiased_da,2393,571,216,0.3783
think_dpo,asch_zhu_unbiased_diverse_plain,2393,563,189,0.3357
think_dpo,asch_zhu_unbiased_qd,2393,572,244,0.4266
think_dpo,asch_zhu_unbiased_unanimous_confident,2394,707,279,0.3946
think_dpo,asch_zhu_unbiased_unanimous_neutral,2394,718,266,0.3705
think_dpo,asch_zhu_unbiased_unanimous_plain,2394,678,264,0.3894
think_dpo,asch_zhu_unbiased_unanimous_uncertain,2393,657,255,0.3881
think_dpo,authoritative_bias,2400,496,226,0.4556
think_dpo,authority_zhu_unbiased_trust,2393,648,261,0.4028
think_dpo,authority_zhu_unbiased_trust_da,2393,531,208,0.3917
think_sft,asch_history_5,2400,612,226,0.3693
think_sft,asch_zhu_unbiased_da,2400,507,212,0.4181
think_sft,asch_zhu_unbiased_diverse_plain,2400,564,198,0.3511
think_sft,asch_zhu_unbiased_qd,2400,614,290,0.4723
think_sft,asch_zhu_unbiased_unanimous_confident,2400,610,258,0.423
think_sft,asch_zhu_unbiased_unanimous_neutral,2400,655,286,0.4366
think_sft,asch_zhu_unbiased_unanimous_plain,2400,621,271,0.4364
think_sft,asch_zhu_unbiased_unanimous_uncertain,2400,587,239,0.4072
think_sft,authoritative_bias,2400,544,222,0.4081
think_sft,authority_zhu_unbiased_trust,2400,701,296,0.4223
think_sft,authority_zhu_unbiased_trust_da,2400,577,254,0.4402
