variant_a,variant_b,ursp_rate_a,ursp_rate_b,chi2,p_value,p_adjusted,cramers_v,fisher_odds_ratio,fisher_p_value
base,instruct,0.2593,0.1793,119.516,8.074106264442671e-28,0.0,0.0943,1.6029,2.3980697403503264e-28
base,instruct_sft,0.2593,0.1905,100.6732,1.0848446808901145e-23,0.0,0.082,1.488,7.761872111109929e-24
base,instruct_dpo,0.2593,0.2377,7.696,0.005534456867700389,0.022138,0.0242,1.1224,0.00522010695498221
base,think,0.2593,0.4142,397.9945,1.504934556712406e-88,0.0,0.164,0.495,8.855096277026549e-89
base,think_sft,0.2593,0.4175,402.3154,1.7254303965989646e-89,0.0,0.1672,0.4885,1.559932070813986e-89
base,think_dpo,0.2593,0.3911,286.0135,3.6745679284550494e-64,0.0,0.1407,0.5451,3.737284067825547e-64
instruct,instruct_sft,0.1793,0.1905,2.547,0.11050425572056524,0.221009,0.0141,0.9283,0.10900190730299518
instruct,instruct_dpo,0.1793,0.2377,56.4898,5.648935343126691e-14,0.0,0.0718,0.7002,5.036436091324834e-14
instruct,think,0.1793,0.4142,805.9029,2.809750898294267e-177,0.0,0.2525,0.3088,8.578724456397362e-184
instruct,think_sft,0.1793,0.4175,808.6961,6.940410926483733e-178,0.0,0.2571,0.3048,1.1260207996811846e-183
instruct,think_dpo,0.1793,0.3911,659.2531,2.171524138252811e-145,0.0,0.2315,0.3401,9.351379395560159e-150
instruct_sft,instruct_dpo,0.1905,0.2377,40.7222,1.754847173450736e-10,0.0,0.0571,0.7543,1.7791045112474167e-10
instruct_sft,think,0.1905,0.4142,841.5654,4.957754403318393e-185,0.0,0.2438,0.3327,3.276146433097899e-188
instruct_sft,think_sft,0.1905,0.4175,842.8735,2.5757017535659023e-185,0.0,0.2475,0.3283,8.789145928061246e-188
instruct_sft,think_dpo,0.1905,0.3911,677.9611,1.8548846498136712e-149,0.0,0.2214,0.3663,4.05687454810298e-151
instruct_dpo,think,0.2377,0.4142,419.106,3.8198578935629906e-93,0.0,0.1846,0.441,3.3511455085386155e-95
instruct_dpo,think_sft,0.2377,0.4175,423.9188,3.42363386096355e-94,0.0,0.1888,0.4352,5.0115004923493455e-96
instruct_dpo,think_dpo,0.2377,0.3911,316.7367,7.442578029804031e-71,0.0,0.1627,0.4856,4.726702900077346e-72
think,think_sft,0.4142,0.4175,0.1336,0.714774748559817,0.714775,0.0031,0.9868,0.7146003924964588
think,think_dpo,0.4142,0.3911,7.508,0.006142643238193627,0.022138,0.0234,1.1011,0.00583337853052651
think_sft,think_dpo,0.4175,0.3911,9.4743,0.0020836581765371117,0.010418,0.0267,1.1159,0.002068872975314726
