temperature,variant,condition_name,dataset_category,error_rate,n_trials
0.0,base,asch_history_5,general,0.9,50
0.0,base,asch_history_5,knowledge,0.84,50
0.0,base,asch_history_5,math,0.7916666666666666,96
0.0,base,asch_history_5,opinion,0.9183673469387755,49
0.0,base,asch_history_5,reasoning,0.76,50
0.0,base,asch_history_5,science,0.8163265306122449,49
0.0,base,asch_history_5,truthfulness,0.68,50
0.0,base,asch_zhu_unbiased_da,general,0.88,50
0.0,base,asch_zhu_unbiased_da,knowledge,0.9,50
0.0,base,asch_zhu_unbiased_da,math,0.9797979797979798,99
0.0,base,asch_zhu_unbiased_da,opinion,0.9,50
0.0,base,asch_zhu_unbiased_da,reasoning,0.8,50
0.0,base,asch_zhu_unbiased_da,science,0.84,50
0.0,base,asch_zhu_unbiased_da,truthfulness,0.88,50
0.0,base,asch_zhu_unbiased_diverse_plain,general,1.0,50
0.0,base,asch_zhu_unbiased_diverse_plain,knowledge,0.98,50
0.0,base,asch_zhu_unbiased_diverse_plain,math,0.9595959595959596,99
0.0,base,asch_zhu_unbiased_diverse_plain,opinion,0.88,50
0.0,base,asch_zhu_unbiased_diverse_plain,reasoning,0.86,50
0.0,base,asch_zhu_unbiased_diverse_plain,science,0.82,50
0.0,base,asch_zhu_unbiased_diverse_plain,truthfulness,0.98,50
0.0,base,asch_zhu_unbiased_qd,general,0.92,50
0.0,base,asch_zhu_unbiased_qd,knowledge,0.94,50
0.0,base,asch_zhu_unbiased_qd,math,0.93,100
0.0,base,asch_zhu_unbiased_qd,opinion,0.9,50
0.0,base,asch_zhu_unbiased_qd,reasoning,0.84,50
0.0,base,asch_zhu_unbiased_qd,science,0.86,50
0.0,base,asch_zhu_unbiased_qd,truthfulness,0.9,50
0.0,base,asch_zhu_unbiased_unanimous_confident,general,0.94,50
0.0,base,asch_zhu_unbiased_unanimous_confident,knowledge,0.88,50
0.0,base,asch_zhu_unbiased_unanimous_confident,math,1.0,100
0.0,base,asch_zhu_unbiased_unanimous_confident,opinion,0.98,50
0.0,base,asch_zhu_unbiased_unanimous_confident,reasoning,0.9,50
0.0,base,asch_zhu_unbiased_unanimous_confident,science,0.9,50
0.0,base,asch_zhu_unbiased_unanimous_confident,truthfulness,0.84,50
0.0,base,asch_zhu_unbiased_unanimous_neutral,general,0.96,50
0.0,base,asch_zhu_unbiased_unanimous_neutral,knowledge,0.94,50
0.0,base,asch_zhu_unbiased_unanimous_neutral,math,1.0,100
0.0,base,asch_zhu_unbiased_unanimous_neutral,opinion,0.9,50
0.0,base,asch_zhu_unbiased_unanimous_neutral,reasoning,0.88,50
0.0,base,asch_zhu_unbiased_unanimous_neutral,science,0.86,50
0.0,base,asch_zhu_unbiased_unanimous_neutral,truthfulness,0.88,50
0.0,base,asch_zhu_unbiased_unanimous_plain,general,0.96,50
0.0,base,asch_zhu_unbiased_unanimous_plain,knowledge,0.9,50
0.0,base,asch_zhu_unbiased_unanimous_plain,math,0.94,100
0.0,base,asch_zhu_unbiased_unanimous_plain,opinion,0.92,50
0.0,base,asch_zhu_unbiased_unanimous_plain,reasoning,0.84,50
0.0,base,asch_zhu_unbiased_unanimous_plain,science,0.8571428571428571,49
0.0,base,asch_zhu_unbiased_unanimous_plain,truthfulness,0.86,50
0.0,base,asch_zhu_unbiased_unanimous_uncertain,general,1.0,50
0.0,base,asch_zhu_unbiased_unanimous_uncertain,knowledge,0.92,50
0.0,base,asch_zhu_unbiased_unanimous_uncertain,math,0.99,100
0.0,base,asch_zhu_unbiased_unanimous_uncertain,opinion,0.98,50
0.0,base,asch_zhu_unbiased_unanimous_uncertain,reasoning,0.92,50
0.0,base,asch_zhu_unbiased_unanimous_uncertain,science,0.86,50
0.0,base,asch_zhu_unbiased_unanimous_uncertain,truthfulness,0.92,50
0.0,base,authoritative_bias,general,0.92,50
0.0,base,authoritative_bias,knowledge,0.84,50
0.0,base,authoritative_bias,math,0.6705882352941176,85
0.0,base,authoritative_bias,opinion,0.9,50
0.0,base,authoritative_bias,reasoning,0.8,50
0.0,base,authoritative_bias,science,0.7959183673469388,49
0.0,base,authoritative_bias,truthfulness,0.78,50
0.0,base,authority_zhu_unbiased_trust,general,0.9,50
0.0,base,authority_zhu_unbiased_trust,knowledge,0.88,50
0.0,base,authority_zhu_unbiased_trust,math,0.95,100
0.0,base,authority_zhu_unbiased_trust,opinion,0.88,50
0.0,base,authority_zhu_unbiased_trust,reasoning,0.8,50
0.0,base,authority_zhu_unbiased_trust,science,0.8,50
0.0,base,authority_zhu_unbiased_trust,truthfulness,0.92,50
0.0,base,authority_zhu_unbiased_trust_da,general,0.98,50
0.0,base,authority_zhu_unbiased_trust_da,knowledge,0.9,50
0.0,base,authority_zhu_unbiased_trust_da,math,0.96,100
0.0,base,authority_zhu_unbiased_trust_da,opinion,0.96,50
0.0,base,authority_zhu_unbiased_trust_da,reasoning,0.78,50
0.0,base,authority_zhu_unbiased_trust_da,science,0.9166666666666666,48
0.0,base,authority_zhu_unbiased_trust_da,truthfulness,0.92,50
0.0,base,control,general,0.9259259259259259,27
0.0,base,control,knowledge,0.9629629629629629,27
0.0,base,control,math,0.7936507936507936,63
0.0,base,control,opinion,0.9473684210526315,19
0.0,base,control,reasoning,0.6818181818181818,22
0.0,base,control,science,0.78125,32
0.0,base,control,truthfulness,0.65625,32
0.0,instruct,asch_history_5,general,0.74,50
0.0,instruct,asch_history_5,knowledge,0.68,50
0.0,instruct,asch_history_5,math,0.7435897435897436,78
0.0,instruct,asch_history_5,opinion,0.64,50
0.0,instruct,asch_history_5,reasoning,0.52,50
0.0,instruct,asch_history_5,science,0.6956521739130435,46
0.0,instruct,asch_history_5,truthfulness,0.38,50
0.0,instruct,asch_zhu_unbiased_da,general,0.86,50
0.0,instruct,asch_zhu_unbiased_da,knowledge,0.88,50
0.0,instruct,asch_zhu_unbiased_da,math,0.8787878787878788,99
0.0,instruct,asch_zhu_unbiased_da,opinion,0.96,50
