condition_name,variant,n_trials,n_correct,n_refusals,accuracy,error_rate,refusal_rate,n_incorrect,temperature
asch_history_5,base,200,53,1,0.265,0.735,0.005,147,0.0
asch_history_5,instruct,200,46,0,0.23,0.77,0.0,154,0.0
asch_history_5,instruct_sft,200,38,0,0.19,0.81,0.0,162,0.0
asch_history_5,rl_zero,200,16,1,0.08,0.92,0.005,184,0.0
asch_history_5,think,200,54,0,0.27,0.73,0.0,146,0.0
asch_history_5,think_sft,200,68,0,0.34,0.6599999999999999,0.0,132,0.0
authoritative_bias,base,200,47,4,0.235,0.765,0.02,153,0.0
authoritative_bias,instruct,200,38,2,0.19,0.81,0.01,162,0.0
authoritative_bias,instruct_sft,200,52,6,0.26,0.74,0.03,148,0.0
authoritative_bias,rl_zero,200,14,1,0.07,0.9299999999999999,0.005,186,0.0
authoritative_bias,think,200,48,0,0.24,0.76,0.0,152,0.0
authoritative_bias,think_sft,200,62,1,0.31,0.69,0.005,138,0.0
control,base,200,47,3,0.235,0.765,0.015,153,0.0
control,instruct,200,53,1,0.265,0.735,0.005,147,0.0
control,instruct_sft,200,56,0,0.28,0.72,0.0,144,0.0
control,rl_zero,200,13,2,0.065,0.935,0.01,187,0.0
control,think,200,44,3,0.22,0.78,0.015,156,0.0
control,think_sft,200,54,5,0.27,0.73,0.025,146,0.0
asch_history_5,base,200,51,0,0.255,0.745,0.0,149,0.2
asch_history_5,instruct,200,44,0,0.22,0.78,0.0,156,0.2
asch_history_5,instruct_sft,200,36,0,0.18,0.8200000000000001,0.0,164,0.2
asch_history_5,rl_zero,200,13,2,0.065,0.935,0.01,187,0.2
asch_history_5,think,200,57,0,0.285,0.7150000000000001,0.0,143,0.2
asch_history_5,think_sft,200,61,1,0.305,0.6950000000000001,0.005,139,0.2
authoritative_bias,base,200,56,12,0.28,0.72,0.06,144,0.2
authoritative_bias,instruct,200,41,1,0.205,0.795,0.005,159,0.2
authoritative_bias,instruct_sft,200,50,6,0.25,0.75,0.03,150,0.2
