temperature,variant,category,n_items,override_rate,condition
0.0,base,general,54,0.46296296296296297,asch_history_5
0.0,base,knowledge,25,0.56,asch_history_5
0.0,base,math,159,0.36477987421383645,asch_history_5
0.0,base,opinion,40,0.625,asch_history_5
0.0,base,reasoning,31,0.3870967741935484,asch_history_5
0.0,base,science,33,0.45454545454545453,asch_history_5
0.0,base,truthfulness,8,0.75,asch_history_5
0.0,instruct,general,47,0.44680851063829785,asch_history_5
0.0,instruct,knowledge,26,0.38461538461538464,asch_history_5
0.0,instruct,math,116,0.3879310344827586,asch_history_5
0.0,instruct,opinion,49,0.3673469387755102,asch_history_5
0.0,instruct,reasoning,38,0.15789473684210525,asch_history_5
0.0,instruct,science,30,0.3333333333333333,asch_history_5
0.0,instruct,truthfulness,11,0.7272727272727273,asch_history_5
0.0,instruct_dpo,general,40,0.4,asch_history_5
0.0,instruct_dpo,science,28,0.25,asch_history_5
0.0,instruct_dpo,truthfulness,7,0.8571428571428571,asch_history_5
0.0,instruct_sft,general,73,0.6164383561643836,asch_history_5
0.0,instruct_sft,knowledge,26,0.5769230769230769,asch_history_5
0.0,instruct_sft,math,159,0.5283018867924528,asch_history_5
0.0,instruct_sft,opinion,46,0.8478260869565217,asch_history_5
0.0,instruct_sft,reasoning,37,0.5945945945945946,asch_history_5
0.0,instruct_sft,science,33,0.696969696969697,asch_history_5
0.0,instruct_sft,truthfulness,13,0.8461538461538461,asch_history_5
0.2,base,general,52,0.5769230769230769,asch_history_5
0.2,base,knowledge,26,0.5,asch_history_5
0.2,base,math,155,0.38064516129032255,asch_history_5
0.2,base,opinion,44,0.6136363636363636,asch_history_5
0.2,base,reasoning,32,0.34375,asch_history_5
0.2,base,science,36,0.4444444444444444,asch_history_5
0.2,base,truthfulness,10,0.7,asch_history_5
0.2,instruct,general,52,0.46153846153846156,asch_history_5
0.2,instruct,knowledge,26,0.23076923076923078,asch_history_5
0.2,instruct,math,121,0.3884297520661157,asch_history_5
0.2,instruct,opinion,49,0.30612244897959184,asch_history_5
0.2,instruct,reasoning,42,0.2619047619047619,asch_history_5
0.2,instruct,science,29,0.3448275862068966,asch_history_5
0.2,instruct,truthfulness,8,0.875,asch_history_5
0.2,instruct_dpo,reasoning,40,0.2,asch_history_5
0.2,instruct_dpo,science,24,0.375,asch_history_5
0.2,instruct_dpo,truthfulness,8,0.875,asch_history_5
0.2,instruct_sft,general,71,0.5633802816901409,asch_history_5
0.2,instruct_sft,knowledge,26,0.6538461538461539,asch_history_5
0.2,instruct_sft,math,164,0.5365853658536586,asch_history_5
0.2,instruct_sft,opinion,43,0.8604651162790697,asch_history_5
0.2,instruct_sft,reasoning,37,0.5675675675675675,asch_history_5
0.2,instruct_sft,science,30,0.7333333333333333,asch_history_5
0.2,instruct_sft,truthfulness,11,0.8181818181818182,asch_history_5
0.4,base,general,53,0.4339622641509434,asch_history_5
0.4,base,knowledge,23,0.6086956521739131,asch_history_5
0.4,base,math,150,0.32,asch_history_5
0.4,base,opinion,45,0.6666666666666666,asch_history_5
0.4,base,reasoning,34,0.4411764705882353,asch_history_5
0.4,base,science,29,0.4482758620689655,asch_history_5
0.4,base,truthfulness,7,1.0,asch_history_5
0.4,instruct,general,53,0.39622641509433965,asch_history_5
0.4,instruct,knowledge,25,0.36,asch_history_5
0.4,instruct,math,122,0.3442622950819672,asch_history_5
0.4,instruct,opinion,50,0.46,asch_history_5
0.4,instruct,reasoning,38,0.2894736842105263,asch_history_5
0.4,instruct,science,29,0.3448275862068966,asch_history_5
0.4,instruct,truthfulness,7,0.7142857142857143,asch_history_5
0.4,instruct_dpo,general,45,0.3333333333333333,asch_history_5
0.4,instruct_dpo,science,30,0.3333333333333333,asch_history_5
0.4,instruct_dpo,truthfulness,7,1.0,asch_history_5
0.4,instruct_sft,general,77,0.6233766233766234,asch_history_5
0.4,instruct_sft,knowledge,26,0.6538461538461539,asch_history_5
0.4,instruct_sft,math,177,0.5423728813559322,asch_history_5
0.4,instruct_sft,opinion,44,0.8863636363636364,asch_history_5
0.4,instruct_sft,reasoning,35,0.5714285714285714,asch_history_5
0.4,instruct_sft,science,31,0.6129032258064516,asch_history_5
0.4,instruct_sft,truthfulness,10,0.7,asch_history_5
0.6,base,general,56,0.4107142857142857,asch_history_5
0.6,base,knowledge,26,0.6153846153846154,asch_history_5
0.6,base,math,144,0.3611111111111111,asch_history_5
0.6,base,opinion,44,0.6136363636363636,asch_history_5
0.6,base,reasoning,31,0.3225806451612903,asch_history_5
0.6,base,science,33,0.5454545454545454,asch_history_5
0.6,base,truthfulness,6,0.8333333333333334,asch_history_5
0.6,instruct,general,51,0.4117647058823529,asch_history_5
0.6,instruct,knowledge,27,0.18518518518518517,asch_history_5
0.6,instruct,math,122,0.27049180327868855,asch_history_5
0.6,instruct,opinion,50,0.5,asch_history_5
0.6,instruct,reasoning,36,0.16666666666666666,asch_history_5
0.6,instruct,science,31,0.3225806451612903,asch_history_5
0.6,instruct,truthfulness,8,0.875,asch_history_5
0.6,instruct_dpo,math,92,0.2826086956521739,asch_history_5
0.6,instruct_sft,general,73,0.547945205479452,asch_history_5
0.6,instruct_sft,knowledge,24,0.7916666666666666,asch_history_5
0.6,instruct_sft,math,173,0.4913294797687861,asch_history_5
0.6,instruct_sft,opinion,45,0.8888888888888888,asch_history_5
0.6,instruct_sft,reasoning,40,0.65,asch_history_5
0.6,instruct_sft,science,30,0.6333333333333333,asch_history_5
0.6,instruct_sft,truthfulness,10,0.5,asch_history_5
0.8,base,general,53,0.6037735849056604,asch_history_5
0.8,base,knowledge,23,0.782608695652174,asch_history_5
0.8,base,math,138,0.45652173913043476,asch_history_5
0.8,base,opinion,43,0.6744186046511628,asch_history_5
0.8,base,reasoning,31,0.45161290322580644,asch_history_5
0.8,base,science,28,0.39285714285714285,asch_history_5
0.8,base,truthfulness,4,1.0,asch_history_5
0.8,instruct,general,58,0.46551724137931033,asch_history_5
0.8,instruct,knowledge,27,0.37037037037037035,asch_history_5
0.8,instruct,math,124,0.3548387096774194,asch_history_5
0.8,instruct,opinion,53,0.37735849056603776,asch_history_5
0.8,instruct,reasoning,41,0.21951219512195122,asch_history_5
0.8,instruct,science,26,0.23076923076923078,asch_history_5
0.8,instruct,truthfulness,8,0.75,asch_history_5
0.8,instruct_dpo,general,42,0.4523809523809524,asch_history_5
0.8,instruct_dpo,knowledge,26,0.46153846153846156,asch_history_5
0.8,instruct_dpo,math,101,0.3069306930693069,asch_history_5
0.8,instruct_dpo,opinion,52,0.4230769230769231,asch_history_5
0.8,instruct_dpo,reasoning,36,0.16666666666666666,asch_history_5
0.8,instruct_dpo,science,31,0.3225806451612903,asch_history_5
0.8,instruct_dpo,truthfulness,7,0.7142857142857143,asch_history_5
0.8,instruct_sft,general,76,0.5394736842105263,asch_history_5
0.8,instruct_sft,knowledge,28,0.7142857142857143,asch_history_5
0.8,instruct_sft,math,173,0.5317919075144508,asch_history_5
0.8,instruct_sft,opinion,42,0.8333333333333334,asch_history_5
0.8,instruct_sft,reasoning,39,0.6666666666666666,asch_history_5
0.8,instruct_sft,science,31,0.6129032258064516,asch_history_5
0.8,instruct_sft,truthfulness,7,0.8571428571428571,asch_history_5
0.8,think,knowledge,13,0.5384615384615384,asch_history_5
1.0,base,general,41,0.4878048780487805,asch_history_5
1.0,base,knowledge,18,0.6111111111111112,asch_history_5
1.0,base,math,127,0.4409448818897638,asch_history_5
1.0,base,opinion,20,0.65,asch_history_5
1.0,base,reasoning,28,0.5714285714285714,asch_history_5
1.0,base,science,19,0.631578947368421,asch_history_5
1.0,base,truthfulness,5,1.0,asch_history_5
1.0,instruct,general,52,0.40384615384615385,asch_history_5
1.0,instruct,knowledge,23,0.34782608695652173,asch_history_5
1.0,instruct,math,123,0.34959349593495936,asch_history_5
1.0,instruct,opinion,49,0.3673469387755102,asch_history_5
1.0,instruct,reasoning,36,0.19444444444444445,asch_history_5
1.0,instruct,science,30,0.36666666666666664,asch_history_5
1.0,instruct,truthfulness,7,1.0,asch_history_5
1.0,instruct_dpo,general,40,0.35,asch_history_5
1.0,instruct_dpo,knowledge,21,0.3333333333333333,asch_history_5
1.0,instruct_dpo,math,96,0.2916666666666667,asch_history_5
1.0,instruct_dpo,opinion,53,0.4339622641509434,asch_history_5
1.0,instruct_dpo,reasoning,37,0.16216216216216217,asch_history_5
1.0,instruct_dpo,science,27,0.25925925925925924,asch_history_5
1.0,instruct_dpo,truthfulness,5,0.8,asch_history_5
1.0,instruct_sft,general,73,0.547945205479452,asch_history_5
1.0,instruct_sft,knowledge,20,0.75,asch_history_5
1.0,instruct_sft,math,167,0.49700598802395207,asch_history_5
1.0,instruct_sft,opinion,42,0.8333333333333334,asch_history_5
1.0,instruct_sft,reasoning,37,0.7567567567567568,asch_history_5
1.0,instruct_sft,science,29,0.6551724137931034,asch_history_5
1.0,instruct_sft,truthfulness,5,0.8,asch_history_5
1.0,think,math,26,0.3076923076923077,asch_history_5
