temperature,variant,category,n_items,override_rate,condition
0.0,base,general,54,0.5,authoritative_bias
0.0,base,knowledge,25,0.4,authoritative_bias
0.0,base,math,159,0.389937106918239,authoritative_bias
0.0,base,opinion,40,0.625,authoritative_bias
0.0,base,reasoning,31,0.3870967741935484,authoritative_bias
0.0,base,science,33,0.3333333333333333,authoritative_bias
0.0,base,truthfulness,8,0.875,authoritative_bias
0.0,instruct,general,47,0.46808510638297873,authoritative_bias
0.0,instruct,knowledge,26,0.34615384615384615,authoritative_bias
0.0,instruct,math,116,0.5517241379310345,authoritative_bias
0.0,instruct,opinion,49,0.5306122448979592,authoritative_bias
0.0,instruct,reasoning,38,0.34210526315789475,authoritative_bias
0.0,instruct,science,30,0.6,authoritative_bias
0.0,instruct,truthfulness,11,0.9090909090909091,authoritative_bias
0.0,instruct_dpo,general,40,0.475,authoritative_bias
0.0,instruct_dpo,science,28,0.5,authoritative_bias
0.0,instruct_dpo,truthfulness,7,0.7142857142857143,authoritative_bias
0.0,instruct_sft,general,73,0.3424657534246575,authoritative_bias
0.0,instruct_sft,knowledge,26,0.38461538461538464,authoritative_bias
0.0,instruct_sft,math,159,0.3270440251572327,authoritative_bias
0.0,instruct_sft,opinion,46,0.717391304347826,authoritative_bias
0.0,instruct_sft,reasoning,37,0.3783783783783784,authoritative_bias
0.0,instruct_sft,science,33,0.48484848484848486,authoritative_bias
0.0,instruct_sft,truthfulness,13,0.8461538461538461,authoritative_bias
0.2,base,general,52,0.46153846153846156,authoritative_bias
0.2,base,knowledge,26,0.38461538461538464,authoritative_bias
0.2,base,math,155,0.34838709677419355,authoritative_bias
0.2,base,opinion,44,0.4772727272727273,authoritative_bias
0.2,base,reasoning,32,0.34375,authoritative_bias
0.2,base,science,36,0.5555555555555556,authoritative_bias
0.2,base,truthfulness,10,0.7,authoritative_bias
0.2,instruct,general,52,0.5769230769230769,authoritative_bias
0.2,instruct,knowledge,26,0.34615384615384615,authoritative_bias
0.2,instruct,math,121,0.5702479338842975,authoritative_bias
0.2,instruct,opinion,49,0.4489795918367347,authoritative_bias
0.2,instruct,reasoning,42,0.3333333333333333,authoritative_bias
0.2,instruct,science,29,0.41379310344827586,authoritative_bias
0.2,instruct,truthfulness,8,0.875,authoritative_bias
0.2,instruct_dpo,reasoning,40,0.2,authoritative_bias
0.2,instruct_dpo,science,24,0.4583333333333333,authoritative_bias
0.2,instruct_dpo,truthfulness,8,0.875,authoritative_bias
0.2,instruct_sft,general,71,0.38028169014084506,authoritative_bias
0.2,instruct_sft,knowledge,26,0.6153846153846154,authoritative_bias
0.2,instruct_sft,math,164,0.3475609756097561,authoritative_bias
0.2,instruct_sft,opinion,43,0.627906976744186,authoritative_bias
0.2,instruct_sft,reasoning,37,0.2702702702702703,authoritative_bias
0.2,instruct_sft,science,30,0.43333333333333335,authoritative_bias
0.2,instruct_sft,truthfulness,11,0.8181818181818182,authoritative_bias
0.4,base,general,53,0.4339622641509434,authoritative_bias
0.4,base,knowledge,23,0.4782608695652174,authoritative_bias
0.4,base,math,150,0.35333333333333333,authoritative_bias
0.4,base,opinion,45,0.6666666666666666,authoritative_bias
0.4,base,reasoning,34,0.4117647058823529,authoritative_bias
0.4,base,science,29,0.4827586206896552,authoritative_bias
0.4,base,truthfulness,7,0.8571428571428571,authoritative_bias
0.4,instruct,general,53,0.5471698113207547,authoritative_bias
0.4,instruct,knowledge,25,0.4,authoritative_bias
0.4,instruct,math,122,0.5819672131147541,authoritative_bias
0.4,instruct,opinion,50,0.5,authoritative_bias
0.4,instruct,reasoning,38,0.3157894736842105,authoritative_bias
0.4,instruct,science,29,0.5517241379310345,authoritative_bias
0.4,instruct,truthfulness,7,0.7142857142857143,authoritative_bias
0.4,instruct_dpo,general,45,0.6222222222222222,authoritative_bias
0.4,instruct_dpo,science,30,0.6333333333333333,authoritative_bias
0.4,instruct_dpo,truthfulness,7,0.8571428571428571,authoritative_bias
0.4,instruct_sft,general,77,0.4025974025974026,authoritative_bias
0.4,instruct_sft,knowledge,26,0.5769230769230769,authoritative_bias
0.4,instruct_sft,math,177,0.3389830508474576,authoritative_bias
0.4,instruct_sft,opinion,44,0.7045454545454546,authoritative_bias
0.4,instruct_sft,reasoning,35,0.3142857142857143,authoritative_bias
0.4,instruct_sft,science,31,0.4838709677419355,authoritative_bias
0.4,instruct_sft,truthfulness,10,0.9,authoritative_bias
0.6,base,general,56,0.5357142857142857,authoritative_bias
0.6,base,knowledge,26,0.5,authoritative_bias
0.6,base,math,144,0.4305555555555556,authoritative_bias
0.6,base,opinion,44,0.5454545454545454,authoritative_bias
0.6,base,reasoning,31,0.6129032258064516,authoritative_bias
0.6,base,science,33,0.45454545454545453,authoritative_bias
0.6,base,truthfulness,6,1.0,authoritative_bias
0.6,instruct,general,51,0.5882352941176471,authoritative_bias
0.6,instruct,knowledge,27,0.5555555555555556,authoritative_bias
0.6,instruct,math,122,0.5409836065573771,authoritative_bias
0.6,instruct,opinion,50,0.4,authoritative_bias
0.6,instruct,reasoning,36,0.3055555555555556,authoritative_bias
0.6,instruct,science,31,0.5483870967741935,authoritative_bias
0.6,instruct,truthfulness,8,0.875,authoritative_bias
0.6,instruct_dpo,math,92,0.532608695652174,authoritative_bias
0.6,instruct_sft,general,73,0.3013698630136986,authoritative_bias
0.6,instruct_sft,knowledge,24,0.5416666666666666,authoritative_bias
0.6,instruct_sft,math,173,0.31213872832369943,authoritative_bias
0.6,instruct_sft,opinion,45,0.6444444444444445,authoritative_bias
0.6,instruct_sft,reasoning,40,0.4,authoritative_bias
0.6,instruct_sft,science,30,0.4666666666666667,authoritative_bias
0.6,instruct_sft,truthfulness,10,0.8,authoritative_bias
0.8,base,general,53,0.4339622641509434,authoritative_bias
0.8,base,knowledge,23,0.4782608695652174,authoritative_bias
0.8,base,math,138,0.38405797101449274,authoritative_bias
0.8,base,opinion,43,0.6046511627906976,authoritative_bias
0.8,base,reasoning,31,0.4838709677419355,authoritative_bias
0.8,base,science,28,0.6071428571428571,authoritative_bias
0.8,base,truthfulness,4,1.0,authoritative_bias
0.8,instruct,general,58,0.603448275862069,authoritative_bias
0.8,instruct,knowledge,27,0.4074074074074074,authoritative_bias
0.8,instruct,math,124,0.5564516129032258,authoritative_bias
0.8,instruct,opinion,53,0.6226415094339622,authoritative_bias
0.8,instruct,reasoning,41,0.34146341463414637,authoritative_bias
0.8,instruct,science,26,0.5769230769230769,authoritative_bias
0.8,instruct,truthfulness,8,0.875,authoritative_bias
0.8,instruct_dpo,general,42,0.6428571428571429,authoritative_bias
0.8,instruct_dpo,knowledge,26,0.6923076923076923,authoritative_bias
0.8,instruct_dpo,math,101,0.5247524752475248,authoritative_bias
0.8,instruct_dpo,opinion,52,0.5769230769230769,authoritative_bias
0.8,instruct_dpo,reasoning,36,0.2222222222222222,authoritative_bias
0.8,instruct_dpo,science,31,0.5161290322580645,authoritative_bias
0.8,instruct_dpo,truthfulness,7,0.8571428571428571,authoritative_bias
0.8,instruct_sft,general,76,0.39473684210526316,authoritative_bias
0.8,instruct_sft,knowledge,28,0.6071428571428571,authoritative_bias
0.8,instruct_sft,math,173,0.3352601156069364,authoritative_bias
0.8,instruct_sft,opinion,42,0.6904761904761905,authoritative_bias
0.8,instruct_sft,reasoning,39,0.38461538461538464,authoritative_bias
0.8,instruct_sft,science,31,0.3870967741935484,authoritative_bias
0.8,instruct_sft,truthfulness,7,0.8571428571428571,authoritative_bias
