temperature,variant,category,n_items,rescue_rate,condition
0.0,base,general,146,0.0958904109589041,asch_history_5
0.0,base,knowledge,175,0.03428571428571429,asch_history_5
0.0,base,math,241,0.17012448132780084,asch_history_5
0.0,base,opinion,160,0.05,asch_history_5
0.0,base,reasoning,169,0.07692307692307693,asch_history_5
0.0,base,science,167,0.05389221556886228,asch_history_5
0.0,base,truthfulness,192,0.015625,asch_history_5
0.0,instruct,general,153,0.0718954248366013,asch_history_5
0.0,instruct,knowledge,174,0.05172413793103448,asch_history_5
0.0,instruct,math,284,0.06690140845070422,asch_history_5
0.0,instruct,opinion,151,0.11920529801324503,asch_history_5
0.0,instruct,reasoning,162,0.09259259259259259,asch_history_5
0.0,instruct,science,170,0.052941176470588235,asch_history_5
0.0,instruct,truthfulness,189,0.010582010582010581,asch_history_5
0.0,instruct_dpo,general,160,0.075,asch_history_5
0.0,instruct_dpo,science,85,0.08235294117647059,asch_history_5
0.0,instruct_dpo,truthfulness,193,0.0051813471502590676,asch_history_5
0.0,instruct_sft,general,127,0.047244094488188976,asch_history_5
0.0,instruct_sft,knowledge,174,0.028735632183908046,asch_history_5
0.0,instruct_sft,math,241,0.1078838174273859,asch_history_5
0.0,instruct_sft,opinion,154,0.0,asch_history_5
0.0,instruct_sft,reasoning,163,0.03680981595092025,asch_history_5
0.0,instruct_sft,science,167,0.04790419161676647,asch_history_5
0.0,instruct_sft,truthfulness,187,0.0213903743315508,asch_history_5
0.2,base,general,148,0.1554054054054054,asch_history_5
0.2,base,knowledge,174,0.06321839080459771,asch_history_5
0.2,base,math,245,0.14285714285714285,asch_history_5
0.2,base,opinion,156,0.05128205128205128,asch_history_5
0.2,base,reasoning,168,0.041666666666666664,asch_history_5
0.2,base,science,164,0.042682926829268296,asch_history_5
0.2,base,truthfulness,190,0.015789473684210527,asch_history_5
0.2,instruct,general,148,0.07432432432432433,asch_history_5
0.2,instruct,knowledge,174,0.06896551724137931,asch_history_5
0.2,instruct,math,279,0.053763440860215055,asch_history_5
0.2,instruct,opinion,151,0.059602649006622516,asch_history_5
0.2,instruct,reasoning,158,0.06962025316455696,asch_history_5
0.2,instruct,science,171,0.08187134502923976,asch_history_5
0.2,instruct,truthfulness,192,0.020833333333333332,asch_history_5
0.2,instruct_dpo,reasoning,160,0.0625,asch_history_5
0.2,instruct_dpo,science,78,0.08974358974358974,asch_history_5
0.2,instruct_dpo,truthfulness,192,0.010416666666666666,asch_history_5
0.2,instruct_sft,general,129,0.06976744186046512,asch_history_5
0.2,instruct_sft,knowledge,174,0.034482758620689655,asch_history_5
0.2,instruct_sft,math,236,0.1440677966101695,asch_history_5
0.2,instruct_sft,opinion,157,0.006369426751592357,asch_history_5
0.2,instruct_sft,reasoning,163,0.024539877300613498,asch_history_5
0.2,instruct_sft,science,170,0.058823529411764705,asch_history_5
0.2,instruct_sft,truthfulness,189,0.021164021164021163,asch_history_5
0.4,base,general,147,0.17006802721088435,asch_history_5
0.4,base,knowledge,177,0.06779661016949153,asch_history_5
0.4,base,math,250,0.22,asch_history_5
0.4,base,opinion,155,0.05161290322580645,asch_history_5
0.4,base,reasoning,166,0.04819277108433735,asch_history_5
0.4,base,science,171,0.08187134502923976,asch_history_5
0.4,base,truthfulness,193,0.015544041450777202,asch_history_5
0.4,instruct,general,147,0.061224489795918366,asch_history_5
0.4,instruct,knowledge,175,0.06285714285714286,asch_history_5
0.4,instruct,math,278,0.06474820143884892,asch_history_5
0.4,instruct,opinion,150,0.12,asch_history_5
0.4,instruct,reasoning,162,0.09876543209876543,asch_history_5
0.4,instruct,science,171,0.04678362573099415,asch_history_5
0.4,instruct,truthfulness,193,0.02072538860103627,asch_history_5
0.4,instruct_dpo,general,155,0.07096774193548387,asch_history_5
0.4,instruct_dpo,science,103,0.07766990291262135,asch_history_5
0.4,instruct_dpo,truthfulness,193,0.010362694300518135,asch_history_5
0.4,instruct_sft,general,123,0.06504065040650407,asch_history_5
0.4,instruct_sft,knowledge,174,0.040229885057471264,asch_history_5
0.4,instruct_sft,math,223,0.13452914798206278,asch_history_5
0.4,instruct_sft,opinion,156,0.01282051282051282,asch_history_5
0.4,instruct_sft,reasoning,165,0.05454545454545454,asch_history_5
0.4,instruct_sft,science,169,0.011834319526627219,asch_history_5
0.4,instruct_sft,truthfulness,190,0.021052631578947368,asch_history_5
0.6,base,general,144,0.10416666666666667,asch_history_5
0.6,base,knowledge,174,0.028735632183908046,asch_history_5
0.6,base,math,256,0.19921875,asch_history_5
0.6,base,opinion,156,0.03205128205128205,asch_history_5
0.6,base,reasoning,169,0.0650887573964497,asch_history_5
0.6,base,science,167,0.04790419161676647,asch_history_5
0.6,base,truthfulness,194,0.020618556701030927,asch_history_5
0.6,instruct,general,149,0.04697986577181208,asch_history_5
0.6,instruct,knowledge,173,0.04046242774566474,asch_history_5
0.6,instruct,math,278,0.0683453237410072,asch_history_5
0.6,instruct,opinion,150,0.1,asch_history_5
0.6,instruct,reasoning,164,0.09146341463414634,asch_history_5
0.6,instruct,science,169,0.047337278106508875,asch_history_5
0.6,instruct,truthfulness,192,0.015625,asch_history_5
0.6,instruct_dpo,math,264,0.10227272727272728,asch_history_5
0.6,instruct_sft,general,127,0.07874015748031496,asch_history_5
0.6,instruct_sft,knowledge,176,0.03409090909090909,asch_history_5
0.6,instruct_sft,math,227,0.1762114537444934,asch_history_5
0.6,instruct_sft,opinion,155,0.0,asch_history_5
0.6,instruct_sft,reasoning,160,0.04375,asch_history_5
0.6,instruct_sft,science,170,0.023529411764705882,asch_history_5
0.6,instruct_sft,truthfulness,190,0.015789473684210527,asch_history_5
0.8,base,general,147,0.07482993197278912,asch_history_5
0.8,base,knowledge,177,0.05649717514124294,asch_history_5
0.8,base,math,262,0.183206106870229,asch_history_5
0.8,base,opinion,157,0.025477707006369428,asch_history_5
0.8,base,reasoning,169,0.07100591715976332,asch_history_5
0.8,base,science,172,0.0872093023255814,asch_history_5
0.8,base,truthfulness,196,0.00510204081632653,asch_history_5
0.8,instruct,general,142,0.08450704225352113,asch_history_5
0.8,instruct,knowledge,173,0.046242774566473986,asch_history_5
0.8,instruct,math,276,0.09420289855072464,asch_history_5
0.8,instruct,opinion,147,0.09523809523809523,asch_history_5
0.8,instruct,reasoning,159,0.03773584905660377,asch_history_5
0.8,instruct,science,174,0.07471264367816093,asch_history_5
0.8,instruct,truthfulness,192,0.015625,asch_history_5
0.8,instruct_dpo,general,158,0.13291139240506328,asch_history_5
0.8,instruct_dpo,knowledge,174,0.05747126436781609,asch_history_5
0.8,instruct_dpo,math,299,0.12709030100334448,asch_history_5
0.8,instruct_dpo,opinion,148,0.12837837837837837,asch_history_5
0.8,instruct_dpo,reasoning,164,0.054878048780487805,asch_history_5
0.8,instruct_dpo,science,169,0.05325443786982249,asch_history_5
0.8,instruct_dpo,truthfulness,193,0.0051813471502590676,asch_history_5
0.8,instruct_sft,general,124,0.0967741935483871,asch_history_5
0.8,instruct_sft,knowledge,172,0.01744186046511628,asch_history_5
0.8,instruct_sft,math,227,0.1894273127753304,asch_history_5
0.8,instruct_sft,opinion,158,0.0,asch_history_5
0.8,instruct_sft,reasoning,161,0.031055900621118012,asch_history_5
0.8,instruct_sft,science,169,0.04142011834319527,asch_history_5
0.8,instruct_sft,truthfulness,193,0.02072538860103627,asch_history_5
0.8,think,knowledge,142,0.035211267605633804,asch_history_5
1.0,base,general,159,0.11320754716981132,asch_history_5
1.0,base,knowledge,182,0.03296703296703297,asch_history_5
1.0,base,math,273,0.1684981684981685,asch_history_5
1.0,base,opinion,180,0.09444444444444444,asch_history_5
1.0,base,reasoning,172,0.0755813953488372,asch_history_5
1.0,base,science,181,0.08287292817679558,asch_history_5
1.0,base,truthfulness,195,0.010256410256410256,asch_history_5
1.0,instruct,general,148,0.10810810810810811,asch_history_5
1.0,instruct,knowledge,177,0.04519774011299435,asch_history_5
1.0,instruct,math,277,0.09386281588447654,asch_history_5
1.0,instruct,opinion,151,0.0728476821192053,asch_history_5
1.0,instruct,reasoning,164,0.07317073170731707,asch_history_5
1.0,instruct,science,170,0.058823529411764705,asch_history_5
1.0,instruct,truthfulness,193,0.02072538860103627,asch_history_5
1.0,instruct_dpo,general,160,0.08125,asch_history_5
1.0,instruct_dpo,knowledge,179,0.07262569832402235,asch_history_5
1.0,instruct_dpo,math,304,0.1118421052631579,asch_history_5
1.0,instruct_dpo,opinion,147,0.1292517006802721,asch_history_5
1.0,instruct_dpo,reasoning,163,0.08588957055214724,asch_history_5
1.0,instruct_dpo,science,173,0.07514450867052024,asch_history_5
1.0,instruct_dpo,truthfulness,195,0.005128205128205128,asch_history_5
1.0,instruct_sft,general,127,0.11023622047244094,asch_history_5
1.0,instruct_sft,knowledge,180,0.027777777777777776,asch_history_5
