temperature,variant,category,n_items,rescue_rate,condition
0.0,base,general,146,0.11643835616438356,authoritative_bias
0.0,base,knowledge,175,0.03428571428571429,authoritative_bias
0.0,base,math,241,0.16182572614107885,authoritative_bias
0.0,base,opinion,160,0.08125,authoritative_bias
0.0,base,reasoning,169,0.07692307692307693,authoritative_bias
0.0,base,science,167,0.07784431137724551,authoritative_bias
0.0,base,truthfulness,192,0.005208333333333333,authoritative_bias
0.0,instruct,general,153,0.0784313725490196,authoritative_bias
0.0,instruct,knowledge,174,0.034482758620689655,authoritative_bias
0.0,instruct,math,284,0.04225352112676056,authoritative_bias
0.0,instruct,opinion,151,0.07947019867549669,authoritative_bias
0.0,instruct,reasoning,162,0.08024691358024691,authoritative_bias
0.0,instruct,science,170,0.03529411764705882,authoritative_bias
0.0,instruct,truthfulness,189,0.005291005291005291,authoritative_bias
0.0,instruct_dpo,general,160,0.075,authoritative_bias
0.0,instruct_dpo,science,84,0.09523809523809523,authoritative_bias
0.0,instruct_dpo,truthfulness,193,0.0051813471502590676,authoritative_bias
0.0,instruct_sft,general,127,0.10236220472440945,authoritative_bias
0.0,instruct_sft,knowledge,174,0.028735632183908046,authoritative_bias
0.0,instruct_sft,math,241,0.08298755186721991,authoritative_bias
0.0,instruct_sft,opinion,154,0.05844155844155844,authoritative_bias
0.0,instruct_sft,reasoning,163,0.049079754601226995,authoritative_bias
0.0,instruct_sft,science,167,0.03592814371257485,authoritative_bias
0.0,instruct_sft,truthfulness,187,0.016042780748663103,authoritative_bias
0.2,base,general,148,0.13513513513513514,authoritative_bias
0.2,base,knowledge,174,0.022988505747126436,authoritative_bias
0.2,base,math,245,0.17959183673469387,authoritative_bias
0.2,base,opinion,156,0.057692307692307696,authoritative_bias
0.2,base,reasoning,168,0.041666666666666664,authoritative_bias
0.2,base,science,164,0.07317073170731707,authoritative_bias
0.2,base,truthfulness,190,0.010526315789473684,authoritative_bias
0.2,instruct,general,148,0.07432432432432433,authoritative_bias
0.2,instruct,knowledge,174,0.040229885057471264,authoritative_bias
0.2,instruct,math,279,0.05734767025089606,authoritative_bias
0.2,instruct,opinion,151,0.10596026490066225,authoritative_bias
0.2,instruct,reasoning,158,0.0759493670886076,authoritative_bias
0.2,instruct,science,171,0.029239766081871343,authoritative_bias
0.2,instruct,truthfulness,192,0.010416666666666666,authoritative_bias
0.2,instruct_dpo,reasoning,160,0.025,authoritative_bias
0.2,instruct_dpo,science,77,0.06493506493506493,authoritative_bias
0.2,instruct_dpo,truthfulness,192,0.010416666666666666,authoritative_bias
0.2,instruct_sft,general,129,0.12403100775193798,authoritative_bias
0.2,instruct_sft,knowledge,174,0.034482758620689655,authoritative_bias
0.2,instruct_sft,math,236,0.1271186440677966,authoritative_bias
0.2,instruct_sft,opinion,157,0.044585987261146494,authoritative_bias
0.2,instruct_sft,reasoning,163,0.04294478527607362,authoritative_bias
0.2,instruct_sft,science,170,0.041176470588235294,authoritative_bias
0.2,instruct_sft,truthfulness,189,0.010582010582010581,authoritative_bias
0.4,base,general,147,0.10884353741496598,authoritative_bias
0.4,base,knowledge,177,0.04519774011299435,authoritative_bias
0.4,base,math,250,0.156,authoritative_bias
0.4,base,opinion,155,0.06451612903225806,authoritative_bias
0.4,base,reasoning,166,0.05421686746987952,authoritative_bias
0.4,base,science,171,0.08771929824561403,authoritative_bias
0.4,base,truthfulness,193,0.02072538860103627,authoritative_bias
0.4,instruct,general,147,0.06802721088435375,authoritative_bias
0.4,instruct,knowledge,175,0.06285714285714286,authoritative_bias
0.4,instruct,math,278,0.0539568345323741,authoritative_bias
0.4,instruct,opinion,150,0.11333333333333333,authoritative_bias
0.4,instruct,reasoning,162,0.043209876543209874,authoritative_bias
0.4,instruct,science,171,0.023391812865497075,authoritative_bias
0.4,instruct,truthfulness,193,0.02072538860103627,authoritative_bias
0.4,instruct_dpo,general,155,0.07741935483870968,authoritative_bias
0.4,instruct_dpo,science,103,0.05825242718446602,authoritative_bias
0.4,instruct_dpo,truthfulness,193,0.0051813471502590676,authoritative_bias
0.4,instruct_sft,general,123,0.07317073170731707,authoritative_bias
0.4,instruct_sft,knowledge,174,0.022988505747126436,authoritative_bias
0.4,instruct_sft,math,223,0.1210762331838565,authoritative_bias
0.4,instruct_sft,opinion,156,0.04487179487179487,authoritative_bias
0.4,instruct_sft,reasoning,165,0.06666666666666667,authoritative_bias
0.4,instruct_sft,science,169,0.03550295857988166,authoritative_bias
0.4,instruct_sft,truthfulness,190,0.010526315789473684,authoritative_bias
0.6,base,general,144,0.10416666666666667,authoritative_bias
0.6,base,knowledge,174,0.022988505747126436,authoritative_bias
0.6,base,math,256,0.1640625,authoritative_bias
0.6,base,opinion,156,0.07051282051282051,authoritative_bias
0.6,base,reasoning,169,0.07692307692307693,authoritative_bias
0.6,base,science,167,0.041916167664670656,authoritative_bias
0.6,base,truthfulness,194,0.010309278350515464,authoritative_bias
0.6,instruct,general,149,0.053691275167785234,authoritative_bias
0.6,instruct,knowledge,173,0.05202312138728324,authoritative_bias
0.6,instruct,math,278,0.04316546762589928,authoritative_bias
0.6,instruct,opinion,150,0.10666666666666667,authoritative_bias
0.6,instruct,reasoning,164,0.06097560975609756,authoritative_bias
0.6,instruct,science,169,0.03550295857988166,authoritative_bias
