temperature,variant,category,n_items,flip_rate,condition
0.0,base,general,190,0.42105263157894735,asch_history_5
0.0,base,knowledge,198,0.3181818181818182,asch_history_5
0.0,base,math,364,0.3791208791208791,asch_history_5
0.0,base,opinion,198,0.5959595959595959,asch_history_5
0.0,base,reasoning,197,0.27918781725888325,asch_history_5
0.0,base,science,197,0.26903553299492383,asch_history_5
0.0,base,truthfulness,189,0.42328042328042326,asch_history_5
0.0,instruct,general,188,0.11702127659574468,asch_history_5
0.0,instruct,knowledge,196,0.16326530612244897,asch_history_5
0.0,instruct,math,358,0.0446927374301676,asch_history_5
0.0,instruct,opinion,197,0.27411167512690354,asch_history_5
0.0,instruct,reasoning,196,0.1377551020408163,asch_history_5
0.0,instruct,science,194,0.1134020618556701,asch_history_5
0.0,instruct,truthfulness,197,0.07106598984771574,asch_history_5
0.0,instruct_dpo,general,190,0.1368421052631579,asch_history_5
0.0,instruct_dpo,science,109,0.1559633027522936,asch_history_5
0.0,instruct_dpo,truthfulness,197,0.030456852791878174,asch_history_5
0.0,instruct_sft,general,191,0.5445026178010471,asch_history_5
0.0,instruct_sft,knowledge,199,0.6432160804020101,asch_history_5
0.0,instruct_sft,math,358,0.4106145251396648,asch_history_5
0.0,instruct_sft,opinion,199,0.7989949748743719,asch_history_5
0.0,instruct_sft,reasoning,198,0.6363636363636364,asch_history_5
0.0,instruct_sft,science,194,0.520618556701031,asch_history_5
0.0,instruct_sft,truthfulness,190,0.7052631578947368,asch_history_5
0.2,base,general,192,0.3489583333333333,asch_history_5
0.2,base,knowledge,200,0.33,asch_history_5
0.2,base,math,363,0.2975206611570248,asch_history_5
0.2,base,opinion,200,0.59,asch_history_5
0.2,base,reasoning,193,0.27979274611398963,asch_history_5
0.2,base,science,196,0.22959183673469388,asch_history_5
0.2,base,truthfulness,188,0.3776595744680851,asch_history_5
0.2,instruct,general,191,0.17277486910994763,asch_history_5
0.2,instruct,knowledge,197,0.19289340101522842,asch_history_5
0.2,instruct,math,355,0.04507042253521127,asch_history_5
