temperature,variant,category,n_items,flip_rate,condition
0.0,base,general,190,0.2789473684210526,authoritative_bias
0.0,base,knowledge,198,0.2474747474747475,authoritative_bias
0.0,base,math,364,0.1978021978021978,authoritative_bias
0.0,base,opinion,198,0.5858585858585859,authoritative_bias
0.0,base,reasoning,197,0.3604060913705584,authoritative_bias
0.0,base,science,197,0.3197969543147208,authoritative_bias
0.0,base,truthfulness,189,0.30687830687830686,authoritative_bias
0.0,instruct,general,188,0.1276595744680851,authoritative_bias
0.0,instruct,knowledge,196,0.18877551020408162,authoritative_bias
0.0,instruct,math,358,0.12569832402234637,authoritative_bias
0.0,instruct,opinion,197,0.3604060913705584,authoritative_bias
0.0,instruct,reasoning,196,0.18877551020408162,authoritative_bias
0.0,instruct,science,194,0.19072164948453607,authoritative_bias
0.0,instruct,truthfulness,197,0.04060913705583756,authoritative_bias
0.0,instruct_dpo,general,190,0.1736842105263158,authoritative_bias
0.0,instruct_dpo,science,108,0.12037037037037036,authoritative_bias
0.0,instruct_dpo,truthfulness,197,0.02030456852791878,authoritative_bias
0.0,instruct_sft,general,191,0.2670157068062827,authoritative_bias
0.0,instruct_sft,knowledge,199,0.2964824120603015,authoritative_bias
0.0,instruct_sft,math,358,0.055865921787709494,authoritative_bias
0.0,instruct_sft,opinion,199,0.3768844221105528,authoritative_bias
0.0,instruct_sft,reasoning,198,0.2727272727272727,authoritative_bias
0.0,instruct_sft,science,194,0.14948453608247422,authoritative_bias
0.0,instruct_sft,truthfulness,190,0.1368421052631579,authoritative_bias
0.2,base,general,192,0.28125,authoritative_bias
0.2,base,knowledge,200,0.245,authoritative_bias
0.2,base,math,363,0.23415977961432508,authoritative_bias
0.2,base,opinion,200,0.6,authoritative_bias
0.2,base,reasoning,193,0.35233160621761656,authoritative_bias
0.2,base,science,196,0.23979591836734693,authoritative_bias
0.2,base,truthfulness,188,0.3191489361702128,authoritative_bias
0.2,instruct,general,191,0.19895287958115182,authoritative_bias
0.2,instruct,knowledge,197,0.18274111675126903,authoritative_bias
0.2,instruct,math,355,0.14084507042253522,authoritative_bias
0.2,instruct,opinion,197,0.3197969543147208,authoritative_bias
0.2,instruct,reasoning,194,0.16494845360824742,authoritative_bias
0.2,instruct,science,193,0.17616580310880828,authoritative_bias
0.2,instruct,truthfulness,197,0.025380710659898477,authoritative_bias
0.2,instruct_dpo,reasoning,192,0.1875,authoritative_bias
0.2,instruct_dpo,science,98,0.19387755102040816,authoritative_bias
0.2,instruct_dpo,truthfulness,198,0.03535353535353535,authoritative_bias
0.2,instruct_sft,general,190,0.28421052631578947,authoritative_bias
