temperature,variant,dataset_category,n_items,truth_override_rate,pressure_condition
0.0,base,general,15,0.6666666666666666,asch_history_5
0.0,base,knowledge,15,0.7333333333333333,asch_history_5
0.0,base,math,37,0.4594594594594595,asch_history_5
0.0,base,opinion,14,0.6428571428571429,asch_history_5
0.0,base,reasoning,23,0.43478260869565216,asch_history_5
0.0,base,science,21,0.47619047619047616,asch_history_5
0.0,base,truthfulness,18,0.3888888888888889,asch_history_5
0.0,instruct,general,16,0.625,asch_history_5
0.0,instruct,knowledge,15,0.6,asch_history_5
0.0,instruct,math,51,0.4117647058823529,asch_history_5
0.0,instruct,opinion,17,0.6470588235294118,asch_history_5
0.0,instruct,reasoning,22,0.45454545454545453,asch_history_5
0.0,instruct,science,23,0.6086956521739131,asch_history_5
0.0,instruct,truthfulness,18,0.2777777777777778,asch_history_5
0.0,instruct_sft,general,13,0.6923076923076923,asch_history_5
0.0,instruct_sft,knowledge,14,0.5714285714285714,asch_history_5
0.0,instruct_sft,math,55,0.5636363636363636,asch_history_5
0.0,instruct_sft,opinion,13,1.0,asch_history_5
0.0,instruct_sft,reasoning,21,0.8095238095238095,asch_history_5
0.0,instruct_sft,science,15,0.6666666666666666,asch_history_5
0.0,instruct_sft,truthfulness,24,0.75,asch_history_5
0.0,instruct_dpo,general,19,0.5789473684210527,asch_history_5
0.0,instruct_dpo,knowledge,16,0.4375,asch_history_5
0.0,instruct_dpo,math,49,0.3469387755102041,asch_history_5
0.0,instruct_dpo,opinion,16,0.5,asch_history_5
0.0,instruct_dpo,reasoning,19,0.3684210526315789,asch_history_5
0.0,instruct_dpo,science,16,0.4375,asch_history_5
0.0,instruct_dpo,truthfulness,21,0.3333333333333333,asch_history_5
0.0,think,general,28,0.7142857142857143,asch_history_5
0.0,think,knowledge,27,0.7407407407407407,asch_history_5
0.0,think,math,51,0.13725490196078433,asch_history_5
0.0,think,opinion,23,0.6956521739130435,asch_history_5
0.0,think,reasoning,35,0.6857142857142857,asch_history_5
0.0,think,science,24,0.2916666666666667,asch_history_5
0.0,think,truthfulness,24,0.6666666666666666,asch_history_5
0.0,think_sft,general,21,0.5238095238095238,asch_history_5
0.0,think_sft,knowledge,28,0.6071428571428571,asch_history_5
0.0,think_sft,math,62,0.24193548387096775,asch_history_5
0.0,think_sft,opinion,31,0.7741935483870968,asch_history_5
0.0,think_sft,reasoning,30,0.7333333333333333,asch_history_5
0.0,think_sft,science,23,0.391304347826087,asch_history_5
0.0,think_sft,truthfulness,21,0.5238095238095238,asch_history_5
0.2,base,general,20,0.6,asch_history_5
0.2,base,knowledge,19,0.7368421052631579,asch_history_5
0.2,base,math,36,0.6111111111111112,asch_history_5
0.2,base,opinion,16,0.75,asch_history_5
0.2,base,reasoning,21,0.5238095238095238,asch_history_5
0.2,base,science,21,0.47619047619047616,asch_history_5
0.2,base,truthfulness,20,0.45,asch_history_5
0.2,instruct,general,14,0.5,asch_history_5
0.2,instruct,knowledge,14,0.6428571428571429,asch_history_5
0.2,instruct,math,44,0.4090909090909091,asch_history_5
0.2,instruct,opinion,17,0.5882352941176471,asch_history_5
0.2,instruct,reasoning,26,0.5769230769230769,asch_history_5
0.2,instruct,science,15,0.6666666666666666,asch_history_5
0.2,instruct,truthfulness,22,0.2727272727272727,asch_history_5
0.2,instruct_sft,general,14,0.7857142857142857,asch_history_5
0.2,instruct_sft,knowledge,13,0.5384615384615384,asch_history_5
0.2,instruct_sft,math,50,0.56,asch_history_5
0.2,instruct_sft,opinion,13,0.8461538461538461,asch_history_5
0.2,instruct_sft,reasoning,19,0.7368421052631579,asch_history_5
0.2,instruct_sft,science,24,0.875,asch_history_5
0.2,instruct_sft,truthfulness,25,0.8,asch_history_5
0.2,instruct_dpo,general,17,0.5294117647058824,asch_history_5
0.2,instruct_dpo,knowledge,19,0.42105263157894735,asch_history_5
0.2,instruct_dpo,math,46,0.5869565217391305,asch_history_5
0.2,instruct_dpo,opinion,19,0.42105263157894735,asch_history_5
0.2,instruct_dpo,reasoning,23,0.5217391304347826,asch_history_5
0.2,instruct_dpo,science,21,0.38095238095238093,asch_history_5
0.2,instruct_dpo,truthfulness,19,0.42105263157894735,asch_history_5
0.2,think,general,31,0.7096774193548387,asch_history_5
0.2,think,knowledge,35,0.5428571428571428,asch_history_5
0.2,think,math,66,0.22727272727272727,asch_history_5
0.2,think,opinion,23,0.782608695652174,asch_history_5
0.2,think,reasoning,26,0.7307692307692307,asch_history_5
0.2,think,science,21,0.2857142857142857,asch_history_5
0.2,think,truthfulness,22,0.6363636363636364,asch_history_5
0.2,think_sft,general,31,0.4838709677419355,asch_history_5
0.2,think_sft,knowledge,30,0.5666666666666667,asch_history_5
0.2,think_sft,math,55,0.3090909090909091,asch_history_5
0.2,think_sft,opinion,26,0.6538461538461539,asch_history_5
0.2,think_sft,reasoning,27,0.7037037037037037,asch_history_5
0.2,think_sft,science,32,0.40625,asch_history_5
0.2,think_sft,truthfulness,31,0.5806451612903226,asch_history_5
0.4,base,general,14,0.5714285714285714,asch_history_5
0.4,base,knowledge,16,0.625,asch_history_5
0.4,base,math,38,0.5263157894736842,asch_history_5
0.4,base,opinion,16,0.8125,asch_history_5
0.4,base,reasoning,25,0.48,asch_history_5
0.4,base,science,17,0.5294117647058824,asch_history_5
0.4,base,truthfulness,17,0.6470588235294118,asch_history_5
0.4,instruct,general,18,0.5555555555555556,asch_history_5
0.4,instruct,knowledge,16,0.5625,asch_history_5
0.4,instruct,math,48,0.3958333333333333,asch_history_5
0.4,instruct,opinion,16,0.625,asch_history_5
0.4,instruct,reasoning,25,0.56,asch_history_5
0.4,instruct,science,22,0.5,asch_history_5
0.4,instruct,truthfulness,22,0.18181818181818182,asch_history_5
0.4,instruct_sft,general,11,0.7272727272727273,asch_history_5
0.4,instruct_sft,knowledge,13,0.6923076923076923,asch_history_5
0.4,instruct_sft,math,53,0.5849056603773585,asch_history_5
0.4,instruct_sft,opinion,13,0.6923076923076923,asch_history_5
0.4,instruct_sft,reasoning,20,0.75,asch_history_5
0.4,instruct_sft,science,18,0.9444444444444444,asch_history_5
0.4,instruct_sft,truthfulness,28,0.6785714285714286,asch_history_5
0.4,instruct_dpo,general,11,0.6363636363636364,asch_history_5
0.4,instruct_dpo,knowledge,13,0.3076923076923077,asch_history_5
0.4,instruct_dpo,math,48,0.4583333333333333,asch_history_5
0.4,instruct_dpo,opinion,14,0.5714285714285714,asch_history_5
0.4,instruct_dpo,reasoning,22,0.5,asch_history_5
0.4,instruct_dpo,science,19,0.5263157894736842,asch_history_5
0.4,instruct_dpo,truthfulness,25,0.48,asch_history_5
0.4,think,general,29,0.7586206896551724,asch_history_5
0.4,think,knowledge,28,0.5714285714285714,asch_history_5
0.4,think,math,62,0.27419354838709675,asch_history_5
0.4,think,opinion,23,0.6956521739130435,asch_history_5
0.4,think,reasoning,33,0.5757575757575758,asch_history_5
0.4,think,science,24,0.375,asch_history_5
0.4,think,truthfulness,22,0.5454545454545454,asch_history_5
0.4,think_sft,general,29,0.5517241379310345,asch_history_5
0.4,think_sft,knowledge,31,0.6774193548387096,asch_history_5
0.4,think_sft,math,56,0.2857142857142857,asch_history_5
0.4,think_sft,opinion,28,0.8214285714285714,asch_history_5
0.4,think_sft,reasoning,29,0.7586206896551724,asch_history_5
0.4,think_sft,science,28,0.42857142857142855,asch_history_5
0.4,think_sft,truthfulness,19,0.631578947368421,asch_history_5
0.6,base,general,13,0.6153846153846154,asch_history_5
0.6,base,knowledge,15,0.8666666666666667,asch_history_5
0.6,base,math,31,0.5483870967741935,asch_history_5
0.6,base,opinion,13,0.8461538461538461,asch_history_5
0.6,base,reasoning,21,0.6666666666666666,asch_history_5
0.6,base,science,18,0.5555555555555556,asch_history_5
0.6,base,truthfulness,19,0.5789473684210527,asch_history_5
0.6,instruct,general,14,0.6428571428571429,asch_history_5
0.6,instruct,knowledge,16,0.375,asch_history_5
0.6,instruct,math,44,0.4318181818181818,asch_history_5
0.6,instruct,opinion,20,0.7,asch_history_5
0.6,instruct,reasoning,20,0.5,asch_history_5
0.6,instruct,science,18,0.2777777777777778,asch_history_5
0.6,instruct,truthfulness,24,0.20833333333333334,asch_history_5
0.6,instruct_sft,general,14,0.7142857142857143,asch_history_5
0.6,instruct_sft,knowledge,13,0.7692307692307693,asch_history_5
0.6,instruct_sft,math,56,0.5535714285714286,asch_history_5
0.6,instruct_sft,opinion,16,0.8125,asch_history_5
0.6,instruct_sft,reasoning,19,0.7894736842105263,asch_history_5
0.6,instruct_sft,science,22,0.8181818181818182,asch_history_5
0.6,instruct_sft,truthfulness,21,0.7619047619047619,asch_history_5
0.6,instruct_dpo,general,16,0.25,asch_history_5
0.6,instruct_dpo,knowledge,15,0.5333333333333333,asch_history_5
0.6,instruct_dpo,math,53,0.32075471698113206,asch_history_5
0.6,instruct_dpo,opinion,16,0.5625,asch_history_5
0.6,instruct_dpo,reasoning,24,0.4166666666666667,asch_history_5
0.6,instruct_dpo,science,18,0.3888888888888889,asch_history_5
0.6,instruct_dpo,truthfulness,24,0.3333333333333333,asch_history_5
0.6,think,general,28,0.6428571428571429,asch_history_5
0.6,think,knowledge,29,0.6551724137931034,asch_history_5
0.6,think,math,60,0.36666666666666664,asch_history_5
0.6,think,opinion,20,0.85,asch_history_5
0.6,think,reasoning,37,0.6486486486486487,asch_history_5
0.6,think,science,27,0.3333333333333333,asch_history_5
0.6,think,truthfulness,21,0.7142857142857143,asch_history_5
0.6,think_sft,general,31,0.6129032258064516,asch_history_5
0.6,think_sft,knowledge,30,0.6,asch_history_5
0.6,think_sft,math,56,0.30357142857142855,asch_history_5
0.6,think_sft,opinion,29,0.6551724137931034,asch_history_5
0.6,think_sft,reasoning,29,0.6551724137931034,asch_history_5
0.6,think_sft,science,29,0.41379310344827586,asch_history_5
0.6,think_sft,truthfulness,22,0.4090909090909091,asch_history_5
0.8,base,general,17,0.8235294117647058,asch_history_5
0.8,base,knowledge,22,0.6818181818181818,asch_history_5
0.8,base,math,34,0.5294117647058824,asch_history_5
0.8,base,opinion,20,0.7,asch_history_5
0.8,base,reasoning,19,0.3684210526315789,asch_history_5
0.8,base,science,23,0.5217391304347826,asch_history_5
0.8,base,truthfulness,21,0.6190476190476191,asch_history_5
0.8,instruct,general,11,0.5454545454545454,asch_history_5
0.8,instruct,knowledge,19,0.6842105263157895,asch_history_5
0.8,instruct,math,40,0.5,asch_history_5
0.8,instruct,opinion,18,0.7222222222222222,asch_history_5
0.8,instruct,reasoning,24,0.625,asch_history_5
0.8,instruct,science,14,0.42857142857142855,asch_history_5
0.8,instruct,truthfulness,17,0.4117647058823529,asch_history_5
0.8,instruct_sft,general,16,0.6875,asch_history_5
0.8,instruct_sft,knowledge,13,0.7692307692307693,asch_history_5
0.8,instruct_sft,math,56,0.6071428571428571,asch_history_5
0.8,instruct_sft,opinion,16,0.8125,asch_history_5
0.8,instruct_sft,reasoning,18,0.7222222222222222,asch_history_5
0.8,instruct_sft,science,26,0.6153846153846154,asch_history_5
0.8,instruct_sft,truthfulness,23,0.8695652173913043,asch_history_5
0.8,instruct_dpo,general,15,0.5333333333333333,asch_history_5
0.8,instruct_dpo,knowledge,15,0.5333333333333333,asch_history_5
0.8,instruct_dpo,math,48,0.375,asch_history_5
0.8,instruct_dpo,opinion,21,0.5238095238095238,asch_history_5
0.8,instruct_dpo,reasoning,27,0.37037037037037035,asch_history_5
0.8,instruct_dpo,science,20,0.45,asch_history_5
0.8,instruct_dpo,truthfulness,23,0.30434782608695654,asch_history_5
0.8,think,general,26,0.5384615384615384,asch_history_5
0.8,think,knowledge,27,0.6666666666666666,asch_history_5
0.8,think,math,51,0.3137254901960784,asch_history_5
0.8,think,opinion,28,0.6071428571428571,asch_history_5
0.8,think,reasoning,29,0.6896551724137931,asch_history_5
0.8,think,science,28,0.39285714285714285,asch_history_5
0.8,think,truthfulness,23,0.6521739130434783,asch_history_5
0.8,think_sft,general,26,0.5384615384615384,asch_history_5
0.8,think_sft,knowledge,23,0.6521739130434783,asch_history_5
0.8,think_sft,math,59,0.2711864406779661,asch_history_5
0.8,think_sft,opinion,22,0.6363636363636364,asch_history_5
0.8,think_sft,reasoning,32,0.65625,asch_history_5
0.8,think_sft,science,29,0.41379310344827586,asch_history_5
0.8,think_sft,truthfulness,21,0.5714285714285714,asch_history_5
1.0,base,general,16,0.4375,asch_history_5
1.0,base,knowledge,17,0.6470588235294118,asch_history_5
1.0,base,math,31,0.5483870967741935,asch_history_5
1.0,base,opinion,13,0.6153846153846154,asch_history_5
1.0,base,reasoning,20,0.6,asch_history_5
1.0,base,science,19,0.47368421052631576,asch_history_5
1.0,base,truthfulness,19,0.631578947368421,asch_history_5
1.0,instruct,general,9,0.6666666666666666,asch_history_5
1.0,instruct,knowledge,12,0.6666666666666666,asch_history_5
1.0,instruct,math,46,0.3695652173913043,asch_history_5
1.0,instruct,opinion,12,0.5,asch_history_5
1.0,instruct,reasoning,21,0.38095238095238093,asch_history_5
1.0,instruct,science,20,0.5,asch_history_5
1.0,instruct,truthfulness,22,0.22727272727272727,asch_history_5
1.0,instruct_sft,general,12,0.8333333333333334,asch_history_5
1.0,instruct_sft,knowledge,10,0.9,asch_history_5
1.0,instruct_sft,math,58,0.4827586206896552,asch_history_5
1.0,instruct_sft,opinion,13,0.8461538461538461,asch_history_5
1.0,instruct_sft,reasoning,18,1.0,asch_history_5
1.0,instruct_sft,science,20,0.5,asch_history_5
