temperature,variant,condition_name,dataset_category,n_trials,n_correct,n_refusals,n_empty,mean_latency_ms,accuracy,error_rate,refusal_rate,empty_rate
0.0,base,asch_history_5,general,49,11,2,0,4154.661095872218,0.22448979591836735,0.7755102040816326,0.04081632653061224,0.0
0.0,base,asch_history_5,knowledge,48,11,1,0,4152.800147732099,0.22916666666666666,0.7708333333333334,0.020833333333333332,0.0
0.0,base,asch_history_5,math,99,28,16,0,4165.598563473634,0.2828282828282828,0.7171717171717171,0.16161616161616163,0.0
0.0,base,asch_history_5,opinion,50,12,2,0,4145.977997779846,0.24,0.76,0.04,0.0
0.0,base,asch_history_5,reasoning,49,16,1,0,4174.463685677976,0.32653061224489793,0.6734693877551021,0.02040816326530612,0.0
0.0,base,asch_history_5,science,50,20,5,0,4188.465008735657,0.4,0.6,0.1,0.0
0.0,base,asch_history_5,truthfulness,49,17,1,0,4169.618820657535,0.3469387755102041,0.653061224489796,0.02040816326530612,0.0
0.0,base,authoritative_bias,general,50,9,4,0,4130.730452537537,0.18,0.8200000000000001,0.08,0.0
0.0,base,authoritative_bias,knowledge,50,18,3,0,4129.764466285706,0.36,0.64,0.06,0.0
0.0,base,authoritative_bias,math,96,45,8,0,4138.817578554153,0.46875,0.53125,0.08333333333333333,0.0
0.0,base,authoritative_bias,opinion,50,8,5,0,4128.7692403793335,0.16,0.84,0.1,0.0
0.0,base,authoritative_bias,reasoning,50,19,3,0,4135.438451766968,0.38,0.62,0.06,0.0
0.0,base,authoritative_bias,science,50,26,4,0,4140.762248039246,0.52,0.48,0.08,0.0
0.0,base,authoritative_bias,truthfulness,50,11,10,0,4130.673093795776,0.22,0.78,0.2,0.0
0.0,base,control,general,49,16,0,0,4120.595309199119,0.32653061224489793,0.6734693877551021,0.0,0.0
0.0,base,control,knowledge,49,16,3,0,4119.667097013824,0.32653061224489793,0.6734693877551021,0.061224489795918366,0.0
0.0,base,control,math,94,37,7,0,4133.2211392991085,0.39361702127659576,0.6063829787234043,0.07446808510638298,0.0
0.0,base,control,opinion,48,14,0,0,4118.9065625270205,0.2916666666666667,0.7083333333333333,0.0,0.0
0.0,base,control,reasoning,49,24,0,0,4314.747932005902,0.4897959183673469,0.5102040816326531,0.0,0.0
0.0,base,control,science,49,21,6,0,4130.9543385797615,0.42857142857142855,0.5714285714285714,0.12244897959183673,0.0
0.0,base,control,truthfulness,50,18,4,0,4117.332315444946,0.36,0.64,0.08,0.0
0.0,instruct,asch_history_5,general,49,13,4,0,3736.138747662914,0.2653061224489796,0.7346938775510203,0.08163265306122448,0.0
0.0,instruct,asch_history_5,knowledge,48,15,3,0,3670.072227716446,0.3125,0.6875,0.0625,0.0
0.0,instruct,asch_history_5,math,93,43,1,0,4145.038115080967,0.46236559139784944,0.5376344086021505,0.010752688172043012,0.0
0.0,instruct,asch_history_5,opinion,49,11,3,0,3027.7023607370807,0.22448979591836735,0.7755102040816326,0.061224489795918366,0.0
0.0,instruct,asch_history_5,reasoning,49,21,5,0,3871.2366746396433,0.42857142857142855,0.5714285714285714,0.10204081632653061,0.0
0.0,instruct,asch_history_5,science,48,19,5,0,4184.789290030797,0.3958333333333333,0.6041666666666667,0.10416666666666667,0.0
0.0,instruct,asch_history_5,truthfulness,50,27,2,0,3201.3613319396973,0.54,0.45999999999999996,0.04,0.0
0.0,instruct,authoritative_bias,general,49,13,5,0,4057.462687395057,0.2653061224489796,0.7346938775510203,0.10204081632653061,0.0
0.0,instruct,authoritative_bias,knowledge,49,10,6,0,4101.536916226757,0.20408163265306123,0.7959183673469388,0.12244897959183673,0.0
0.0,instruct,authoritative_bias,math,96,48,9,0,4144.148054222266,0.5,0.5,0.09375,0.0
0.0,instruct,authoritative_bias,opinion,50,13,7,0,3965.20281791687,0.26,0.74,0.14,0.0
0.0,instruct,authoritative_bias,reasoning,48,13,2,0,4120.475982626279,0.2708333333333333,0.7291666666666667,0.041666666666666664,0.0
0.0,instruct,authoritative_bias,science,49,13,1,0,4145.503136576438,0.2653061224489796,0.7346938775510203,0.02040816326530612,0.0
0.0,instruct,authoritative_bias,truthfulness,50,23,3,0,3950.6169509887695,0.46,0.54,0.06,0.0
0.0,instruct,control,general,47,16,8,0,2330.2605760858414,0.3404255319148936,0.6595744680851063,0.1702127659574468,0.0
0.0,instruct,control,knowledge,46,16,6,0,2364.428343980209,0.34782608695652173,0.6521739130434783,0.13043478260869565,0.0
0.0,instruct,control,math,89,55,2,0,3909.5096480980346,0.6179775280898876,0.3820224719101124,0.02247191011235955,0.0
0.0,instruct,control,opinion,47,17,2,0,1978.5678538870304,0.3617021276595745,0.6382978723404256,0.0425531914893617,0.0
0.0,instruct,control,reasoning,48,22,1,0,2629.060352842013,0.4583333333333333,0.5416666666666667,0.020833333333333332,0.0
0.0,instruct,control,science,47,24,4,0,3949.004797225303,0.5106382978723404,0.4893617021276596,0.0851063829787234,0.0
0.0,instruct,control,truthfulness,48,18,2,0,3048.4232306480408,0.375,0.625,0.041666666666666664,0.0
0.0,instruct_sft,asch_history_5,general,47,7,7,0,722.6729748096872,0.14893617021276595,0.851063829787234,0.14893617021276595,0.0
0.0,instruct_sft,asch_history_5,knowledge,45,10,11,0,586.9801733228895,0.2222222222222222,0.7777777777777778,0.24444444444444444,0.0
0.0,instruct_sft,asch_history_5,math,97,31,20,0,2376.1835270321244,0.31958762886597936,0.6804123711340206,0.20618556701030927,0.0
0.0,instruct_sft,asch_history_5,opinion,48,2,12,0,284.3214323123296,0.041666666666666664,0.9583333333333334,0.25,0.0
0.0,instruct_sft,asch_history_5,reasoning,48,11,8,0,843.5647239287695,0.22916666666666666,0.7708333333333334,0.16666666666666666,0.0
0.0,instruct_sft,asch_history_5,science,49,9,9,0,2364.8249275830326,0.1836734693877551,0.8163265306122449,0.1836734693877551,0.0
