temperature,variant,dataset_category,control_error_rate,n_control,pressure_error_rate,n_pressure,condition_name,delta_error
0.0,base,general,0.673469387755102,49,0.7755102040816326,49,asch_history_5,0.10204081632653061
0.0,base,knowledge,0.673469387755102,49,0.7708333333333334,48,asch_history_5,0.09736394557823136
0.0,base,math,0.6063829787234043,94,0.7171717171717171,99,asch_history_5,0.11078873844831283
0.0,base,opinion,0.7083333333333334,48,0.76,50,asch_history_5,0.05166666666666664
0.0,base,reasoning,0.5102040816326531,49,0.673469387755102,49,asch_history_5,0.16326530612244894
0.0,base,science,0.5714285714285714,49,0.6,50,asch_history_5,0.02857142857142858
0.0,base,truthfulness,0.64,50,0.6530612244897959,49,asch_history_5,0.013061224489795853
0.0,instruct,general,0.6595744680851063,47,0.7346938775510204,49,asch_history_5,0.07511940946591411
0.0,instruct,knowledge,0.6521739130434783,46,0.6875,48,asch_history_5,0.03532608695652173
0.0,instruct,math,0.38202247191011235,89,0.5376344086021505,93,asch_history_5,0.15561193669203816
0.0,instruct,opinion,0.6382978723404256,47,0.7755102040816326,49,asch_history_5,0.13721233174120706
0.0,instruct,reasoning,0.5416666666666666,48,0.5714285714285714,49,asch_history_5,0.029761904761904767
0.0,instruct,science,0.48936170212765956,47,0.6041666666666666,48,asch_history_5,0.11480496453900707
0.0,instruct,truthfulness,0.625,48,0.46,50,asch_history_5,-0.16499999999999998
0.0,instruct_sft,general,0.6888888888888889,45,0.851063829787234,47,asch_history_5,0.16217494089834517
0.0,instruct_sft,knowledge,0.6888888888888889,45,0.7777777777777778,45,asch_history_5,0.0888888888888889
0.0,instruct_sft,math,0.4,95,0.6804123711340206,97,asch_history_5,0.2804123711340206
0.0,instruct_sft,opinion,0.6666666666666666,45,0.9583333333333334,48,asch_history_5,0.29166666666666674
0.0,instruct_sft,reasoning,0.5714285714285714,49,0.7708333333333334,48,asch_history_5,0.19940476190476197
0.0,instruct_sft,science,0.6739130434782609,46,0.8163265306122449,49,asch_history_5,0.14241348713398405
0.0,instruct_sft,truthfulness,0.4791666666666667,48,0.8367346938775511,49,asch_history_5,0.3575680272108844
0.0,instruct_dpo,general,0.5957446808510638,47,0.78,50,asch_history_5,0.18425531914893623
0.0,instruct_dpo,knowledge,0.6595744680851063,47,0.5918367346938775,49,asch_history_5,-0.0677377333912288
0.0,instruct_dpo,math,0.4111111111111111,90,0.4731182795698925,93,asch_history_5,0.0620071684587814
0.0,instruct_dpo,opinion,0.6444444444444445,45,0.6122448979591837,49,asch_history_5,-0.0321995464852608
0.0,instruct_dpo,reasoning,0.6122448979591837,49,0.56,50,asch_history_5,-0.052244897959183634
0.0,instruct_dpo,science,0.6086956521739131,46,0.48936170212765956,47,asch_history_5,-0.11933395004625352
0.0,instruct_dpo,truthfulness,0.5625,48,0.52,50,asch_history_5,-0.04249999999999998
0.0,think,general,0.3829787234042553,47,0.6458333333333334,48,asch_history_5,0.26285460992907805
0.0,think,knowledge,0.4375,48,0.7142857142857143,49,asch_history_5,0.2767857142857143
0.0,think,math,0.275,80,0.2558139534883721,86,asch_history_5,-0.01918604651162792
0.0,think,opinion,0.4888888888888889,45,0.72,50,asch_history_5,0.2311111111111111
0.0,think,reasoning,0.2857142857142857,49,0.68,50,asch_history_5,0.39428571428571435
0.0,think,science,0.45652173913043476,46,0.46938775510204084,49,asch_history_5,0.012866015971606082
0.0,think,truthfulness,0.5102040816326531,49,0.74,50,asch_history_5,0.22979591836734692
0.0,think_sft,general,0.5111111111111111,45,0.5714285714285714,49,asch_history_5,0.060317460317460325
0.0,think_sft,knowledge,0.36363636363636365,44,0.62,50,asch_history_5,0.25636363636363635
0.0,think_sft,math,0.25806451612903225,93,0.31868131868131866,91,asch_history_5,0.06061680255228641
0.0,think_sft,opinion,0.3541666666666667,48,0.72,50,asch_history_5,0.3658333333333333
0.0,think_sft,reasoning,0.4,50,0.76,50,asch_history_5,0.36
0.0,think_sft,science,0.5208333333333334,48,0.5102040816326531,49,asch_history_5,-0.010629251700680298
0.0,think_sft,truthfulness,0.5714285714285714,49,0.64,50,asch_history_5,0.06857142857142862
0.2,base,general,0.6,50,0.673469387755102,49,asch_history_5,0.07346938775510203
0.2,base,knowledge,0.5957446808510638,47,0.7346938775510204,49,asch_history_5,0.13894919669995665
0.2,base,math,0.6170212765957447,94,0.69,100,asch_history_5,0.07297872340425526
0.2,base,opinion,0.6304347826086957,46,0.7959183673469388,49,asch_history_5,0.1654835847382431
0.2,base,reasoning,0.5625,48,0.5714285714285714,49,asch_history_5,0.008928571428571397
0.2,base,science,0.58,50,0.68,50,asch_history_5,0.10000000000000009
0.2,base,truthfulness,0.5918367346938775,49,0.7,50,asch_history_5,0.10816326530612241
0.2,instruct,general,0.6888888888888889,45,0.72,50,asch_history_5,0.03111111111111109
