idx,prompt_len,resp_len,structural_jaccard,ngram_overlap_n4,affirm_prefix,sycophancy_hits,prompt_has_list,resp_has_list
0,1186,2000,0.6000,0.1161,0,0,1,1
1,381,2289,0.0000,0.0409,0,0,0,1
2,149,649,0.0000,0.0000,0,0,0,0
3,317,800,0.0000,0.0000,0,0,0,0
4,130,362,1.0000,0.0000,0,0,0,0
5,987,221,0.2000,0.0000,0,0,1,0
6,102,988,0.0000,0.0366,0,0,0,1
7,270,6113,0.0000,0.0000,0,0,0,0
8,1755,7,0.2500,0.0000,0,0,1,0
9,724,628,1.0000,0.0000,0,0,0,0
10,966,2707,0.5000,0.0186,0,0,1,1
11,89,1057,0.0000,0.0067,1,0,0,0
12,1894,3721,0.2000,0.1967,0,0,1,0
13,2647,1752,0.3333,0.0000,0,0,0,1
14,1449,3661,0.7500,0.0628,0,0,1,1
15,1911,1159,0.5000,0.0634,0,0,1,1
16,751,106,1.0000,0.0000,0,0,0,0
17,492,675,1.0000,0.0000,0,0,0,0
18,53,80,1.0000,0.0000,0,0,0,0
19,872,3004,0.5000,0.1004,0,0,1,1
20,1291,2840,0.5000,0.0905,0,0,1,1
21,161,91,0.5000,0.0000,0,0,0,0
22,981,385,0.3333,0.0000,0,0,1,0
23,197,1393,0.0000,0.0052,0,0,0,0
24,567,163,0.5000,0.0000,0,0,0,0
25,575,1,0.0000,0.0000,0,0,0,0
26,1500,8,0.2500,0.0000,0,0,1,0
27,88,252,1.0000,0.0256,0,0,0,0
28,710,711,0.0000,0.0625,0,0,0,1
29,903,1886,0.5000,0.0066,0,0,1,1
30,77,3547,0.0000,0.0022,0,0,0,0
31,77,789,1.0000,0.0667,0,0,0,0
32,1392,1719,0.6667,0.0611,0,0,1,1
33,20,1228,0.0000,0.0000,0,0,0,0
34,1831,3903,0.7500,0.2429,0,0,1,1
35,1015,2227,0.2000,0.0404,0,0,1,1
36,470,239,1.0000,0.0000,0,0,0,0
37,141,901,0.0000,0.0000,0,0,0,0
38,450,92,0.5000,0.0000,0,0,0,0
39,311,20,1.0000,0.0000,0,0,0,0
40,639,528,0.5000,0.0000,0,0,0,0
41,1936,76,0.3333,0.0714,0,0,1,0
42,366,534,0.0000,0.2621,0,0,0,0
43,2867,4270,0.2500,0.7394,0,0,0,1
44,2480,2,0.0000,0.0000,0,0,1,0
45,174,830,0.0000,0.0397,1,0,0,0
46,696,781,0.5000,0.0000,0,0,0,0
47,406,910,0.0000,0.0932,0,0,0,0
48,1802,12,0.0000,0.0000,0,0,0,0
49,138,2154,0.0000,0.0000,0,0,0,1
50,318,26,1.0000,0.0000,0,0,0,0
51,935,2067,0.6000,0.1408,0,0,1,1
53,119,511,1.0000,0.1000,0,0,0,0
54,1713,7,0.2500,0.0000,0,0,1,0
55,501,1018,0.0000,0.1635,0,0,0,1
56,537,2044,1.0000,0.0372,0,0,0,0
57,434,1338,0.0000,0.0121,0,0,0,1
58,684,1664,0.5000,0.0586,0,0,1,1
59,94,770,0.5000,0.0686,1,0,0,0
60,1421,8,0.0000,0.0000,0,0,0,0
61,107,1681,0.3333,0.0114,0,0,0,1
62,1116,2261,0.5000,0.0979,0,0,1,1
63,93,239,1.0000,0.0000,0,0,0,0
64,387,13,0.0000,0.0000,0,0,0,0
65,465,1105,0.0000,0.0988,0,0,0,1
66,952,4344,0.5000,0.0070,0,0,0,1
67,261,341,0.0000,0.3607,0,0,0,0
68,480,235,1.0000,0.0000,0,0,0,0
69,1153,1578,0.0000,0.1292,0,0,0,1
70,350,1009,0.0000,0.0544,0,0,0,1
71,533,898,0.0000,0.0828,0,0,0,0
72,588,396,0.0000,0.0000,0,0,1,0
73,1725,1633,0.5000,0.0280,0,0,1,1
74,413,1766,0.3333,0.0000,0,0,0,0
75,1071,2635,0.2500,0.0337,0,0,1,0
76,1500,323,0.0000,0.0000,0,0,0,0
77,408,296,0.5000,0.0000,0,0,0,0
78,177,1734,0.3333,0.0244,0,0,0,1
79,551,681,1.0000,0.0818,1,0,0,0
80,765,526,0.0000,0.0000,0,0,0,0
81,1124,1786,0.5000,0.0742,0,0,1,0
82,765,1874,0.3333,0.0795,0,0,0,0
83,64,465,0.0000,0.0000,0,0,0,1
84,519,1785,0.0000,0.0243,0,0,0,1
85,643,628,1.0000,0.0192,0,0,0,0
86,977,1459,1.0000,0.0971,1,0,1,1
87,481,499,0.0000,0.4634,0,0,0,0
88,302,1679,0.0000,0.0166,0,0,0,0
89,308,18,1.0000,0.0000,0,0,0,0
90,293,1600,0.0000,0.0644,0,0,0,1
91,1813,851,0.5000,0.0085,0,0,1,0
92,1390,1928,0.3333,0.0805,0,0,1,0
93,49,31,0.0000,0.0000,0,0,0,0
94,48,1861,0.0000,0.0094,0,0,0,1
95,1579,1753,0.7500,0.0288,0,0,1,1
96,312,21,1.0000,0.0000,0,0,0,0
97,64,450,1.0000,0.0000,0,0,0,0
98,1061,11,0.0000,0.0000,0,0,0,0
99,1050,2121,0.6667,0.1203,0,0,0,0
100,211,84,0.6667,0.0714,0,0,1,0
101,313,938,0.0000,0.1071,0,0,0,1
102,840,1568,0.6667,0.1115,0,0,0,0
103,289,242,1.0000,0.0000,1,0,0,0
104,1231,3914,0.4000,0.0183,0,0,1,1
105,451,964,0.0000,0.1187,0,0,0,1
106,359,1335,0.5000,0.0101,0,0,1,0
107,1276,238,0.4000,0.0000,0,0,1,0
108,259,138,0.5000,0.0000,0,0,0,0
109,50,45,0.0000,0.0769,0,0,0,0
110,564,26,1.0000,0.5000,0,0,0,0
111,361,972,0.0000,0.0701,0,0,0,1
112,223,2390,0.3333,0.0088,0,0,0,1
113,269,81,0.0000,0.0714,0,0,1,0
114,861,1680,0.0000,0.1000,0,0,0,0
115,585,495,0.5000,0.0000,0,0,1,0
116,312,22,1.0000,0.0000,0,0,0,0
117,2367,3324,0.0000,0.0399,0,0,0,0
118,840,2229,0.5000,0.1283,0,0,1,1
119,641,108,0.0000,1.0000,0,0,0,0
120,1229,872,0.5000,0.0000,0,0,1,0
121,1527,1757,0.5000,0.2310,1,0,1,1
122,1600,4752,0.3333,0.0111,0,0,0,1
123,692,658,1.0000,0.0000,0,0,0,0
124,206,371,0.0000,0.0133,0,0,0,0
125,1746,1391,0.7500,0.0539,0,0,1,1
126,142,20,0.0000,0.0000,0,0,0,0
127,317,25,1.0000,0.0000,0,0,0,0
128,37,40,0.0000,0.0000,0,0,0,0
129,139,2810,0.0000,0.0024,0,0,0,0
130,266,431,0.0000,0.2941,0,0,0,0
131,896,548,0.2500,0.0000,0,0,1,0
132,460,1416,0.0000,0.0053,0,0,0,1
133,643,456,0.0000,0.0800,0,0,0,0
134,1007,3428,0.4000,0.0716,0,0,1,1
135,91,1480,0.0000,0.0000,0,0,0,0
136,456,639,0.0000,0.1053,0,0,0,0
137,128,1998,0.0000,0.0033,0,0,0,1
