idx,w_struct_jaccard,l_struct_jaccard,delta_struct_jaccard,w_ngram_overlap,l_ngram_overlap,delta_ngram_overlap,w_sycophancy,l_sycophancy,delta_sycophancy,w_correction,l_correction,delta_correction,w_affirm_prefix,l_affirm_prefix
0,0.0000,0.0000,0.0000,0.0366,0.0882,0.0516,0,0,0,0,0,0,1,1
1,0.2500,0.3333,0.0833,0.0081,0.0190,0.0109,1,0,-1,2,0,2,1,0
2,1.0000,1.0000,0.0000,0.2742,0.1227,-0.1515,0,0,0,0,0,0,0,0
3,0.0000,0.0000,0.0000,0.0101,0.0614,0.0513,0,0,0,2,0,2,0,1
4,0.4000,0.4000,0.0000,0.0764,0.0904,0.0140,0,0,0,0,0,0,0,0
5,0.0000,0.0000,0.0000,0.0639,0.0824,0.0184,0,0,0,0,0,0,1,1
6,0.2000,0.2500,0.0500,0.0723,0.0402,-0.0321,0,0,0,0,0,0,0,0
7,0.5000,0.2500,-0.2500,0.1250,0.0495,-0.0755,0,0,0,0,0,0,0,1
8,0.2500,0.5000,0.2500,0.1305,0.0829,-0.0476,2,0,-2,4,1,3,0,0
9,0.0000,1.0000,1.0000,0.3636,0.5538,0.1902,0,0,0,0,0,0,0,0
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
11,0.0000,0.5000,0.5000,0.0000,0.9250,0.9250,0,0,0,0,0,0,0,0
12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
13,0.0000,0.0000,0.0000,0.1157,0.0543,-0.0614,0,0,0,0,0,0,1,1
14,0.0000,0.0000,0.0000,0.9605,0.3043,-0.6562,0,0,0,0,0,0,0,0
15,0.0000,0.0000,0.0000,0.0457,0.0000,-0.0457,0,0,0,0,0,0,0,0
16,0.2500,0.2500,0.0000,0.0490,0.0881,0.0391,0,0,0,0,0,0,0,0
17,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,1
