idx,prompt_len,repeat_frames,has_repeat_frame,prompt_has_list,comp_len,comp_ngram_overlap,comp_correction,comp_sycophancy,comp_affirm_prefix
0,698,0,0,0,0,0.0000,0,0,0
1,599,0,0,0,0,0.0000,0,0,0
2,570,0,0,0,0,0.0000,0,0,0
3,514,0,0,0,0,0.0000,0,0,0
4,403,0,0,0,0,0.0000,0,0,0
5,387,0,0,0,0,0.0000,0,0,0
6,482,0,0,0,0,0.0000,0,0,0
7,1163,0,0,1,0,0.0000,0,0,0
8,290,0,0,0,0,0.0000,0,0,0
9,417,0,0,0,0,0.0000,0,0,0
10,851,0,0,0,0,0.0000,0,0,0
11,267,0,0,0,0,0.0000,0,0,0
12,287,0,0,0,0,0.0000,0,0,0
13,601,0,0,0,0,0.0000,0,0,0
14,288,0,0,0,0,0.0000,0,0,0
15,453,0,0,0,0,0.0000,0,0,0
16,550,0,0,0,0,0.0000,0,0,0
17,350,0,0,0,0,0.0000,0,0,0
18,998,0,0,0,0,0.0000,0,0,0
19,775,0,0,0,0,0.0000,0,0,0
20,740,0,0,0,0,0.0000,0,0,0
21,382,0,0,0,0,0.0000,0,0,0
22,552,0,0,0,0,0.0000,0,0,0
23,319,0,0,0,0,0.0000,0,0,0
24,526,0,0,0,0,0.0000,0,0,0
25,835,0,0,0,0,0.0000,0,0,0
26,621,0,0,0,0,0.0000,0,0,0
27,457,0,0,0,0,0.0000,0,0,0
28,584,0,0,0,0,0.0000,0,0,0
29,739,0,0,0,0,0.0000,0,0,0
30,982,0,0,1,0,0.0000,0,0,0
31,932,0,0,1,0,0.0000,0,0,0
32,398,0,0,0,0,0.0000,0,0,0
33,544,0,0,0,0,0.0000,0,0,0
34,697,0,0,0,0,0.0000,0,0,0
35,998,0,0,0,0,0.0000,0,0,0
36,587,0,0,0,0,0.0000,0,0,0
37,578,0,0,0,0,0.0000,0,0,0
38,437,0,0,0,0,0.0000,0,0,0
39,520,0,0,0,0,0.0000,0,0,0
40,616,0,0,1,0,0.0000,0,0,0
41,604,0,0,0,0,0.0000,0,0,0
42,530,0,0,0,0,0.0000,0,0,0
43,618,0,0,0,0,0.0000,0,0,0
44,751,0,0,0,0,0.0000,0,0,0
45,338,0,0,0,0,0.0000,0,0,0
46,590,0,0,0,0,0.0000,0,0,0
47,246,0,0,0,0,0.0000,0,0,0
48,702,0,0,0,0,0.0000,0,0,0
49,389,0,0,0,0,0.0000,0,0,0
50,446,0,0,0,0,0.0000,0,0,0
51,597,0,0,0,0,0.0000,0,0,0
52,572,0,0,0,0,0.0000,0,0,0
53,402,0,0,0,0,0.0000,0,0,0
54,477,0,0,0,0,0.0000,0,0,0
55,371,0,0,0,0,0.0000,0,0,0
56,574,0,0,0,0,0.0000,0,0,0
57,430,0,0,0,0,0.0000,0,0,0
58,506,0,0,0,0,0.0000,0,0,0
59,578,0,0,0,0,0.0000,0,0,0
60,250,0,0,0,0,0.0000,0,0,0
61,682,0,0,1,0,0.0000,0,0,0
62,611,0,0,1,0,0.0000,0,0,0
63,536,0,0,0,0,0.0000,0,0,0
64,417,0,0,0,0,0.0000,0,0,0
65,769,0,0,0,0,0.0000,0,0,0
66,557,0,0,0,0,0.0000,0,0,0
67,807,0,0,0,0,0.0000,0,0,0
68,340,0,0,0,0,0.0000,0,0,0
69,701,0,0,0,0,0.0000,0,0,0
70,383,0,0,0,0,0.0000,0,0,0
71,794,0,0,0,0,0.0000,0,0,0
72,371,0,0,0,0,0.0000,0,0,0
73,793,0,0,0,0,0.0000,0,0,0
74,237,0,0,0,0,0.0000,0,0,0
75,464,0,0,0,0,0.0000,0,0,0
76,1165,0,0,1,0,0.0000,0,0,0
77,303,0,0,0,0,0.0000,0,0,0
78,622,0,0,0,0,0.0000,0,0,0
79,755,0,0,0,0,0.0000,0,0,0
80,915,0,0,0,0,0.0000,0,0,0
81,386,0,0,0,0,0.0000,0,0,0
82,526,0,0,0,0,0.0000,0,0,0
83,519,0,0,0,0,0.0000,0,0,0
84,693,0,0,0,0,0.0000,0,0,0
85,553,0,0,0,0,0.0000,0,0,0
86,547,0,0,0,0,0.0000,0,0,0
87,360,0,0,0,0,0.0000,0,0,0
88,403,0,0,0,0,0.0000,0,0,0
89,552,0,0,0,0,0.0000,0,0,0
90,315,0,0,0,0,0.0000,0,0,0
91,574,0,0,0,0,0.0000,0,0,0
92,425,0,0,0,0,0.0000,0,0,0
93,921,0,0,0,0,0.0000,0,0,0
94,465,0,0,0,0,0.0000,0,0,0
95,492,0,0,0,0,0.0000,0,0,0
96,586,0,0,0,0,0.0000,0,0,0
97,546,0,0,0,0,0.0000,0,0,0
98,612,0,0,0,0,0.0000,0,0,0
99,671,0,0,0,0,0.0000,0,0,0
100,556,0,0,0,0,0.0000,0,0,0
101,410,0,0,0,0,0.0000,0,0,0
102,784,0,0,0,0,0.0000,0,0,0
103,818,0,0,0,0,0.0000,0,0,0
104,469,0,0,0,0,0.0000,0,0,0
105,279,0,0,0,0,0.0000,0,0,0
106,595,0,0,0,0,0.0000,0,0,0
107,890,0,0,1,0,0.0000,0,0,0
108,496,0,0,0,0,0.0000,0,0,0
109,619,0,0,0,0,0.0000,0,0,0
110,757,0,0,0,0,0.0000,0,0,0
111,475,0,0,0,0,0.0000,0,0,0
112,537,0,0,0,0,0.0000,0,0,0
113,769,0,0,0,0,0.0000,0,0,0
114,518,0,0,0,0,0.0000,0,0,0
115,554,0,0,0,0,0.0000,0,0,0
116,735,0,0,0,0,0.0000,0,0,0
117,283,0,0,0,0,0.0000,0,0,0
118,655,0,0,0,0,0.0000,0,0,0
119,594,0,0,0,0,0.0000,0,0,0
120,470,0,0,0,0,0.0000,0,0,0
121,757,0,0,1,0,0.0000,0,0,0
122,738,0,0,0,0,0.0000,0,0,0
123,592,0,0,0,0,0.0000,0,0,0
124,715,0,0,0,0,0.0000,0,0,0
125,802,0,0,0,0,0.0000,0,0,0
126,660,0,0,0,0,0.0000,0,0,0
127,346,0,0,0,0,0.0000,0,0,0
128,316,0,0,0,0,0.0000,0,0,0
129,356,0,0,0,0,0.0000,0,0,0
130,506,0,0,0,0,0.0000,0,0,0
131,860,0,0,0,0,0.0000,0,0,0
132,1123,0,0,1,0,0.0000,0,0,0
133,247,0,0,0,0,0.0000,0,0,0
134,697,0,0,0,0,0.0000,0,0,0
135,599,0,0,0,0,0.0000,0,0,0
136,500,0,0,0,0,0.0000,0,0,0
137,834,0,0,0,0,0.0000,0,0,0
138,621,0,0,0,0,0.0000,0,0,0
139,387,0,0,0,0,0.0000,0,0,0
140,639,0,0,0,0,0.0000,0,0,0
141,750,0,0,0,0,0.0000,0,0,0
142,613,0,0,0,0,0.0000,0,0,0
143,894,0,0,0,0,0.0000,0,0,0
144,1242,0,0,1,0,0.0000,0,0,0
145,1004,0,0,1,0,0.0000,0,0,0
146,493,0,0,0,0,0.0000,0,0,0
147,354,0,0,0,0,0.0000,0,0,0
148,661,0,0,0,0,0.0000,0,0,0
149,646,0,0,0,0,0.0000,0,0,0
150,214,0,0,0,0,0.0000,0,0,0
151,606,0,0,0,0,0.0000,0,0,0
152,573,0,0,0,0,0.0000,0,0,0
153,743,0,0,0,0,0.0000,0,0,0
154,300,0,0,0,0,0.0000,0,0,0
155,288,0,0,0,0,0.0000,0,0,0
156,696,0,0,0,0,0.0000,0,0,0
157,698,0,0,0,0,0.0000,0,0,0
158,488,0,0,0,0,0.0000,0,0,0
159,864,0,0,0,0,0.0000,0,0,0
160,767,0,0,0,0,0.0000,0,0,0
161,477,0,0,0,0,0.0000,0,0,0
162,429,0,0,0,0,0.0000,0,0,0
163,617,0,0,0,0,0.0000,0,0,0
164,493,0,0,0,0,0.0000,0,0,0
165,431,0,0,0,0,0.0000,0,0,0
166,480,0,0,0,0,0.0000,0,0,0
167,515,0,0,0,0,0.0000,0,0,0
168,476,0,0,0,0,0.0000,0,0,0
169,367,0,0,0,0,0.0000,0,0,0
170,491,0,0,0,0,0.0000,0,0,0
171,261,0,0,0,0,0.0000,0,0,0
172,288,0,0,0,0,0.0000,0,0,0
173,498,0,0,0,0,0.0000,0,0,0
174,646,0,0,0,0,0.0000,0,0,0
175,329,0,0,0,0,0.0000,0,0,0
176,1397,0,0,0,0,0.0000,0,0,0
177,507,0,0,0,0,0.0000,0,0,0
178,294,0,0,0,0,0.0000,0,0,0
179,423,0,0,0,0,0.0000,0,0,0
180,698,0,0,0,0,0.0000,0,0,0
181,699,0,0,1,0,0.0000,0,0,0
182,752,0,0,0,0,0.0000,0,0,0
183,1020,0,0,0,0,0.0000,0,0,0
184,445,0,0,0,0,0.0000,0,0,0
185,461,0,0,0,0,0.0000,0,0,0
186,462,0,0,1,0,0.0000,0,0,0
187,973,0,0,0,0,0.0000,0,0,0
188,439,0,0,0,0,0.0000,0,0,0
189,473,0,0,0,0,0.0000,0,0,0
190,656,0,0,0,0,0.0000,0,0,0
191,520,0,0,0,0,0.0000,0,0,0
192,734,0,0,0,0,0.0000,0,0,0
193,449,0,0,0,0,0.0000,0,0,0
194,303,0,0,0,0,0.0000,0,0,0
195,401,0,0,0,0,0.0000,0,0,0
196,429,0,0,0,0,0.0000,0,0,0
