idx,prompt_len,repeat_frames,has_repeat_frame,prompt_has_list,comp_len,comp_ngram_overlap,comp_correction,comp_sycophancy,comp_affirm_prefix
0,691,0,0,0,0,0.0000,0,0,0
1,351,0,0,0,0,0.0000,0,0,0
2,402,0,0,0,0,0.0000,0,0,0
3,402,0,0,0,0,0.0000,0,0,0
4,124,0,0,0,0,0.0000,0,0,0
5,291,0,0,0,0,0.0000,0,0,0
6,164,0,0,0,0,0.0000,0,0,0
7,279,0,0,0,0,0.0000,0,0,0
8,262,0,0,0,0,0.0000,0,0,0
9,499,0,0,0,0,0.0000,0,0,0
10,642,0,0,0,0,0.0000,0,0,0
11,156,0,0,0,0,0.0000,0,0,0
12,206,0,0,0,0,0.0000,0,0,0
13,137,0,0,0,0,0.0000,0,0,0
14,439,0,0,0,0,0.0000,0,0,0
15,349,0,0,0,0,0.0000,0,0,0
16,236,0,0,0,0,0.0000,0,0,0
17,203,0,0,0,0,0.0000,0,0,0
18,409,0,0,0,0,0.0000,0,0,0
19,609,0,0,0,0,0.0000,0,0,0
20,381,0,0,0,0,0.0000,0,0,0
21,251,0,0,0,0,0.0000,0,0,0
22,227,0,0,0,0,0.0000,0,0,0
23,269,0,0,0,0,0.0000,0,0,0
24,71,0,0,0,0,0.0000,0,0,0
25,304,0,0,0,0,0.0000,0,0,0
26,460,0,0,0,0,0.0000,0,0,0
27,201,0,0,0,0,0.0000,0,0,0
28,122,0,0,0,0,0.0000,0,0,0
29,313,0,0,0,0,0.0000,0,0,0
30,534,0,0,0,0,0.0000,0,0,0
31,121,0,0,0,0,0.0000,0,0,0
32,567,0,0,0,0,0.0000,0,0,0
33,480,0,0,0,0,0.0000,0,0,0
34,476,0,0,0,0,0.0000,0,0,0
35,580,0,0,0,0,0.0000,0,0,0
36,151,0,0,0,0,0.0000,0,0,0
37,1545,0,0,1,0,0.0000,0,0,0
38,264,0,0,0,0,0.0000,0,0,0
39,172,0,0,0,0,0.0000,0,0,0
40,183,0,0,0,0,0.0000,0,0,0
41,642,0,0,0,0,0.0000,0,0,0
42,159,0,0,0,0,0.0000,0,0,0
43,371,0,0,0,0,0.0000,0,0,0
44,126,0,0,0,0,0.0000,0,0,0
45,153,0,0,0,0,0.0000,0,0,0
46,396,0,0,0,0,0.0000,0,0,0
47,95,0,0,0,0,0.0000,0,0,0
48,138,0,0,0,0,0.0000,0,0,0
49,115,0,0,0,0,0.0000,0,0,0
50,1776,0,0,1,0,0.0000,0,0,0
51,239,0,0,0,0,0.0000,0,0,0
52,159,0,0,0,0,0.0000,0,0,0
53,158,0,0,0,0,0.0000,0,0,0
54,273,0,0,0,0,0.0000,0,0,0
55,338,0,0,0,0,0.0000,0,0,0
56,642,0,0,0,0,0.0000,0,0,0
57,304,0,0,0,0,0.0000,0,0,0
58,415,0,0,0,0,0.0000,0,0,0
59,357,0,0,0,0,0.0000,0,0,0
60,122,0,0,0,0,0.0000,0,0,0
