source_dataset,n,P_carryover,affirm_rate,struct_jaccard_median,struct_jaccard_iqr,max_run_geq_5_rate,max_run_geq_5_n,ngram_overlap_n4_median,ngram_overlap_n4_P95,multi_turn_agreement_median
Aya,99987,0.3535,0.0010,1.0000,1.0000,0.0015,147,0.0000,0.5714,0.0000
CoCoNot,10956,0.0000,0.0795,0.0000,1.0000,0.0014,15,0.0070,0.0811,0.0000
Dolci Instruct OpenThoughts3+ Science,99260,0.9229,0.0148,0.2000,0.2500,0.0030,300,0.0243,0.1676,0.0000
Dolci Instruct Precise IF,136820,0.6575,0.0312,0.4000,1.0000,0.0053,721,0.0135,0.6000,0.0000
Dolci Instruct Python Algorithms,186345,0.0201,0.0000,0.5000,0.6667,0.0016,294,0.0000,0.1630,0.0000
Dolci Instruct Tool Use,21113,0.8000,0.0602,1.0000,0.0000,0.0000,0,0.0000,0.1064,0.0000
Evol CodeAlpaca,107270,0.3899,0.3566,0.2500,0.5000,0.0050,538,0.0149,0.1737,0.0000
FLAN,89981,0.0917,0.0020,0.0000,0.5000,0.0008,73,0.0000,0.5476,0.0000
Hardcoded Data,68,,0.1618,1.0000,0.0000,0.0294,2,0.0000,0.0185,0.0000
Logic Puzzles,159882,0.2867,0.0025,1.0000,0.7500,0.0000,4,0.0000,0.0418,0.0000
OpenAssistant,7132,0.2712,0.0595,0.0000,1.0000,0.0020,14,0.0000,0.0889,0.0000
OpenMathInstruct 2,50000,,0.0000,0.0000,0.0000,0.0002,12,0.0988,0.2817,0.0000
SciRiff,4557,0.0000,0.0011,0.0000,0.0000,0.0000,0,0.0112,1.0000,0.0000
TableGPT,5000,0.0000,0.0000,0.0000,0.0000,0.0138,69,0.0220,0.9286,0.0000
Tulu 3 Persona Algebra,19999,0.7873,0.0005,0.4000,0.2500,0.0044,87,0.0780,0.1712,0.0000
Tulu 3 Persona GSM,49980,0.9644,0.0010,0.0000,0.2500,0.0005,27,0.0783,0.2000,0.0000
Tulu 3 Persona MATH,149958,0.8264,0.0341,0.4000,0.2500,0.0105,1571,0.0906,0.2113,0.0000
Tulu 3 Persona Python,34999,0.1657,0.2239,0.5000,0.3333,0.0007,24,0.0000,0.2113,0.0000
Verifiable Reasoning,310572,0.4016,0.0839,0.5000,0.3333,0.0592,18372,0.0000,0.1127,0.0000
WildGuardMix,48652,0.0986,0.0570,1.0000,0.0000,0.0000,1,0.0000,0.1389,0.0000
WildJailbreak,49965,,0.1090,0.0000,0.0000,0.0001,3,0.0000,0.0574,0.0000
Wildchat,302335,0.6601,0.4392,0.0000,0.5000,0.0039,1178,0.0045,0.2149,0.0000
