run_id,experiment_key,model_variant,temperature,status,config_file,started_at,completed_at,run_dir,db_path,error_message
56478e99-7607-4957-9f53-a53b73a7e9d4,0.0,,0.0,completed,suite_expanded_temp0.0.json,,,20260203_170602_56478e99-7607-4957-9f53-a53b73a7e9d4,runs-hpc/20260203_170602_56478e99-7607-4957-9f53-a53b73a7e9d4/simulation.db,
99127619-fcc7-4fd4-ba3a-cc810610249f,0.2,,0.2,completed,suite_expanded_temp0.2.json,,,20260203_170602_99127619-fcc7-4fd4-ba3a-cc810610249f,runs-hpc/20260203_170602_99127619-fcc7-4fd4-ba3a-cc810610249f/simulation.db,
271bb5b2-572d-4ecd-8577-b07a7cd10846,0.4,,0.4,completed,suite_expanded_temp0.4.json,,,20260203_170602_271bb5b2-572d-4ecd-8577-b07a7cd10846,runs-hpc/20260203_170602_271bb5b2-572d-4ecd-8577-b07a7cd10846/simulation.db,
dda9d6b3-a516-41b3-a85a-b424de8f15d3,0.6,,0.6,completed,suite_expanded_temp0.6.json,,,20260203_170602_dda9d6b3-a516-41b3-a85a-b424de8f15d3,runs-hpc/20260203_170602_dda9d6b3-a516-41b3-a85a-b424de8f15d3/simulation.db,
eb777acc-3ab5-4f87-b073-249a50d25863,0.8,,0.8,completed,suite_expanded_temp0.8.json,,,20260203_170602_eb777acc-3ab5-4f87-b073-249a50d25863,runs-hpc/20260203_170602_eb777acc-3ab5-4f87-b073-249a50d25863/simulation.db,
fa0b1d4f-d547-4094-b07c-4f9efc20f771,1.0,,1.0,completed,suite_expanded_temp1.0.json,,,20260203_185521_fa0b1d4f-d547-4094-b07c-4f9efc20f771,runs-hpc/20260203_185521_fa0b1d4f-d547-4094-b07c-4f9efc20f771/simulation.db,
4be0bc8c-6efe-4a98-a387-b08763feb667,base_0.6,base,0.6,completed,"suite_expanded_localtest_by_model.json (base, T=0.6)",2026-02-26T20:40:55.094217,2026-02-26T20:50:54.699266,/Users/mahdi/repos/abstractAgentMachine/runs/20260226_204055_4be0bc8c-6efe-4a98-a387-b08763feb667,/Users/mahdi/repos/abstractAgentMachine/runs/20260226_204055_4be0bc8c-6efe-4a98-a387-b08763feb667/simulation.db,
5e7197ce-88f1-46b0-8f94-61f9bd4dd888,instruct_0.6,instruct,0.6,completed,"suite_expanded_localtest_by_model.json (instruct, T=0.6)",2026-02-26T20:50:54.704506,2026-02-26T20:55:01.734809,/Users/mahdi/repos/abstractAgentMachine/runs/20260226_205054_5e7197ce-88f1-46b0-8f94-61f9bd4dd888,/Users/mahdi/repos/abstractAgentMachine/runs/20260226_205054_5e7197ce-88f1-46b0-8f94-61f9bd4dd888/simulation.db,
,think_0.0,think,0.0,failed,"suite_think_QDVZaC.json (think, T=0.0)",2026-03-25T13:17:56.412446,2026-03-25T21:59:48.144899,,,"/Users/mahdi/repos/abstractAgentMachine/.venv/lib/python3.11/site-packages/transformers/utils/hub.py:110: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(

Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]
Loading checkpoint shards:  33%|███▎      | 1/3 [00:02<00:04,  2.04s/it]
Loading checkpoint shards:  67%|██████▋   | 2/3 [00:04<00:02,  2.06s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.00s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.02s/it]
`generation_config` default values have been modified to match model-specific defaults: {'do_sample': True, 'temperature': 0.6, 'top_p': 0.95, 'eos_token_id': [100265, 100257]}. If this is not desired, please set these values explicitly.
/Users/mahdi/miniconda3/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to"
27647719-9c32-469b-8ea8-49e5cb1dfce5,think_0.6,think,0.6,completed,"suite_expanded_localtest_by_model.json (think, T=0.6)",2026-02-26T21:04:07.254139,2026-02-26T21:29:43.792690,/Users/mahdi/repos/abstractAgentMachine/runs/20260226_210407_27647719-9c32-469b-8ea8-49e5cb1dfce5,/Users/mahdi/repos/abstractAgentMachine/runs/20260226_210407_27647719-9c32-469b-8ea8-49e5cb1dfce5/simulation.db,
35ad8445-1be7-4b17-8c81-39b3f1e76fb5,instruct_dpo_0.6,instruct_dpo,0.6,completed,"suite_expanded_localtest_by_model.json (instruct_dpo, T=0.6)",2026-02-26T20:57:56.942208,2026-02-26T21:04:07.251061,/Users/mahdi/repos/abstractAgentMachine/runs/20260226_205757_35ad8445-1be7-4b17-8c81-39b3f1e76fb5,/Users/mahdi/repos/abstractAgentMachine/runs/20260226_205757_35ad8445-1be7-4b17-8c81-39b3f1e76fb5/simulation.db,
89037b43-6344-4851-bfc4-344e4e6c474d,instruct_sft_0.6,instruct_sft,0.6,completed,"suite_expanded_localtest_by_model.json (instruct_sft, T=0.6)",2026-02-26T20:55:01.737601,2026-02-26T20:57:56.939021,/Users/mahdi/repos/abstractAgentMachine/runs/20260226_205501_89037b43-6344-4851-bfc4-344e4e6c474d,/Users/mahdi/repos/abstractAgentMachine/runs/20260226_205501_89037b43-6344-4851-bfc4-344e4e6c474d/simulation.db,
5b335082-6715-4fec-a0ea-e2f7e04e1fa9,rl_zero_0.6,rl_zero,0.6,completed,"suite_expanded_localtest_by_model.json (rl_zero, T=0.6)",2026-02-26T22:38:29.107799,2026-02-26T22:51:53.891365,/Users/mahdi/repos/abstractAgentMachine/runs/20260226_223829_5b335082-6715-4fec-a0ea-e2f7e04e1fa9,/Users/mahdi/repos/abstractAgentMachine/runs/20260226_223829_5b335082-6715-4fec-a0ea-e2f7e04e1fa9/simulation.db,
1b5a06cb-ecf3-44d4-9f09-d132967d9ca2,think_dpo_0.0,think_dpo,0.0,completed,"suite_32b_think_temp0p6.json (think_dpo, T=0.0)",2026-03-12T22:12:13.764248,2026-03-12T22:23:57.011964,/Users/mahdi/repos/abstractAgentMachine/runs/20260312_221213_1b5a06cb-ecf3-44d4-9f09-d132967d9ca2,/Users/mahdi/repos/abstractAgentMachine/runs/20260312_221213_1b5a06cb-ecf3-44d4-9f09-d132967d9ca2/simulation.db,
3e27b53a-aa6f-444a-a014-e0c4ef2480ff,think_dpo_0.2,think_dpo,0.2,completed,"suite_32b_think_temp0p6.json (think_dpo, T=0.2)",2026-03-12T22:23:57.017508,2026-03-12T22:35:34.504510,/Users/mahdi/repos/abstractAgentMachine/runs/20260312_222357_3e27b53a-aa6f-444a-a014-e0c4ef2480ff,/Users/mahdi/repos/abstractAgentMachine/runs/20260312_222357_3e27b53a-aa6f-444a-a014-e0c4ef2480ff/simulation.db,
47ceefe6-be99-4bbc-9431-c51ebb0a4c7f,think_dpo_0.4,think_dpo,0.4,completed,"suite_32b_think_temp0p6.json (think_dpo, T=0.4)",2026-03-12T22:35:34.509725,2026-03-12T22:47:04.786324,/Users/mahdi/repos/abstractAgentMachine/runs/20260312_223534_47ceefe6-be99-4bbc-9431-c51ebb0a4c7f,/Users/mahdi/repos/abstractAgentMachine/runs/20260312_223534_47ceefe6-be99-4bbc-9431-c51ebb0a4c7f/simulation.db,
a7b3f903-d0d2-42d6-9afc-f037b50f4b59,think_dpo_0.6,think_dpo,0.6,completed,"suite_expanded_localtest_by_model.json (think_dpo, T=0.6)",2026-02-26T22:04:00.902583,2026-02-26T22:38:29.103365,/Users/mahdi/repos/abstractAgentMachine/runs/20260226_220401_a7b3f903-d0d2-42d6-9afc-f037b50f4b59,/Users/mahdi/repos/abstractAgentMachine/runs/20260226_220401_a7b3f903-d0d2-42d6-9afc-f037b50f4b59/simulation.db,
d9ac6c3a-9369-42e9-b6af-f723a1c26b00,think_dpo_0.8,think_dpo,0.8,completed,"suite_32b_think_temp0p6.json (think_dpo, T=0.8)",2026-03-12T22:47:04.790255,2026-03-12T22:58:35.109828,/Users/mahdi/repos/abstractAgentMachine/runs/20260312_224704_d9ac6c3a-9369-42e9-b6af-f723a1c26b00,/Users/mahdi/repos/abstractAgentMachine/runs/20260312_224704_d9ac6c3a-9369-42e9-b6af-f723a1c26b00/simulation.db,
13bebfdf-56a5-4793-9dca-25e814a623a5,think_dpo_1.0,think_dpo,1.0,completed,"suite_32b_think_temp0p6.json (think_dpo, T=1.0)",2026-03-12T22:58:35.113754,2026-03-12T23:10:06.128134,/Users/mahdi/repos/abstractAgentMachine/runs/20260312_225835_13bebfdf-56a5-4793-9dca-25e814a623a5,/Users/mahdi/repos/abstractAgentMachine/runs/20260312_225835_13bebfdf-56a5-4793-9dca-25e814a623a5/simulation.db,
,think_rl_0.0,think_rl,0.0,failed,"suite_32b_think_temp0p6.json (think_rl, T=0.0)",2026-03-12T17:35:01.405863,2026-03-12T17:35:01.511623,,,"Traceback (most recent call last):
  File ""<frozen runpy>"", line 198, in _run_module_as_main
  File ""<frozen runpy>"", line 88, in _run_code
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/__main__.py"", line 5, in <module>
    raise SystemExit(main())
                     ^^^^^^
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/run.py"", line 205, in main
    result = handle_experiment_command(mode, args)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/experiments/__init__.py"", line 22, in handle_experiment_command
    return olmo_cli.handle_command(mode, args)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/experiments/olmo_conformity/cli.py"", line 321, in handle_command
    return _handle_olmo_conformity(args)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/experiments/olmo_conformity/cl"
,think_rl_0.2,think_rl,0.2,failed,"suite_32b_think_temp0p6.json (think_rl, T=0.2)",2026-03-12T17:35:01.520959,2026-03-12T17:35:01.624670,,,"Traceback (most recent call last):
  File ""<frozen runpy>"", line 198, in _run_module_as_main
  File ""<frozen runpy>"", line 88, in _run_code
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/__main__.py"", line 5, in <module>
    raise SystemExit(main())
                     ^^^^^^
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/run.py"", line 205, in main
    result = handle_experiment_command(mode, args)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/experiments/__init__.py"", line 22, in handle_experiment_command
    return olmo_cli.handle_command(mode, args)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/experiments/olmo_conformity/cli.py"", line 321, in handle_command
    return _handle_olmo_conformity(args)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/experiments/olmo_conformity/cl"
,think_rl_0.4,think_rl,0.4,failed,"suite_32b_think_temp0p6.json (think_rl, T=0.4)",2026-03-12T17:35:01.628362,2026-03-12T17:35:01.733266,,,"Traceback (most recent call last):
  File ""<frozen runpy>"", line 198, in _run_module_as_main
  File ""<frozen runpy>"", line 88, in _run_code
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/__main__.py"", line 5, in <module>
    raise SystemExit(main())
                     ^^^^^^
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/run.py"", line 205, in main
    result = handle_experiment_command(mode, args)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/experiments/__init__.py"", line 22, in handle_experiment_command
    return olmo_cli.handle_command(mode, args)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/experiments/olmo_conformity/cli.py"", line 321, in handle_command
    return _handle_olmo_conformity(args)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/experiments/olmo_conformity/cl"
,think_rl_0.6,think_rl,0.6,failed,"suite_32b_think_temp0p6.json (think_rl, T=0.6)",2026-03-12T17:35:01.737367,2026-03-12T17:35:01.842132,,,"Traceback (most recent call last):
  File ""<frozen runpy>"", line 198, in _run_module_as_main
  File ""<frozen runpy>"", line 88, in _run_code
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/__main__.py"", line 5, in <module>
    raise SystemExit(main())
                     ^^^^^^
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/run.py"", line 205, in main
    result = handle_experiment_command(mode, args)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/experiments/__init__.py"", line 22, in handle_experiment_command
    return olmo_cli.handle_command(mode, args)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/experiments/olmo_conformity/cli.py"", line 321, in handle_command
    return _handle_olmo_conformity(args)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/mahdi/repos/abstractAgentMachine/src/vivarium/experiments/olmo_conformity/cl"
