variant,contrast,a,b,d_margin_first_prefixed,d_margin_first_prefixed_lo,d_margin_first_prefixed_hi,n_items,d_belief_flip,d_belief_flip_lo,d_belief_flip_hi,d_greedy_has_wrong,d_greedy_has_wrong_lo,d_greedy_has_wrong_hi,d_greedy_has_gt,d_greedy_has_gt_lo,d_greedy_has_gt_hi,d_greedy_refusal,d_greedy_refusal_lo,d_greedy_refusal_hi
base,frame only (k=0) vs control,pr_k0_plain,control,0.010235658288002015,-0.22858403645455835,0.26626043774187563,40,0.0,-0.1,0.1,0.025,0.0,0.075,-0.025,-0.075,0.0,0.225,0.1,0.35
base,filler lines vs frame only,pr_k5_filler,pr_k0_plain,0.02004084624350071,-0.13370106502436102,0.16912258939817534,40,-0.025,-0.1006249999999998,0.05,-0.05,-0.125,0.0,0.0,0.0,0.0,0.375,0.2,0.525
base,correct peers vs frame only,pr_k5_correct,pr_k0_plain,3.616105412039906,2.786002817500848,4.432921750133391,40,-0.15,-0.275,-0.05,-0.075,-0.175,0.0,0.8,0.675,0.925,-0.225,-0.375,-0.05
base,1 repeat vs frame only,pr_k1_plain,pr_k0_plain,-3.6201937176287173,-4.580527134696022,-2.6586363765317955,40,0.5,0.35,0.65,0.2,0.075,0.325,0.0,0.0,0.0,0.05,-0.125,0.225
base,5 repeats vs 1 repeat,pr_k5_plain,pr_k1_plain,-1.335714549385011,-1.7814322458114473,-0.9138201237237081,40,0.1,0.025,0.2,0.55,0.4,0.7,-0.025,-0.075,0.0,-0.25,-0.4,-0.1
base,8 repeats vs 5 repeats,pr_k8_plain,pr_k5_plain,-0.0726092467084527,-0.20247504951898007,0.06150102401617905,40,0.0,0.0,0.0,0.025,-0.05,0.125,0.0,0.0,0.0,0.0,-0.075,0.075
base,QD (stated once) vs 5 repeats,pr_qd,pr_k5_plain,0.9193664768710732,0.5049076698021964,1.344809393868781,40,-0.05,-0.125,0.0,-0.425,-0.6,-0.25,0.025,0.0,0.075,0.225,0.05,0.4
base,diverse (no consensus) vs 5 repeats,pr_k5_diverse,pr_k5_plain,1.029547202028334,0.5806269229017198,1.500918686818331,40,-0.1,-0.2,-0.025,-0.7,-0.825,-0.55,0.025,0.0,0.075,0.475,0.3,0.65
base,DA (4+1) vs 5 repeats,pr_k5_da,pr_k5_plain,0.08144808709621429,-0.15655301615595818,0.3428234733361751,40,0.0,-0.075,0.075,-0.125,-0.25,0.0,0.0,0.0,0.0,0.0,-0.075,0.075
base,confident (varied) vs plain (identical),pr_k5_confident,pr_k5_plain,-0.5092956449836492,-0.8941668659378774,-0.15581662789220008,40,0.025,0.0,0.075,-0.225,-0.375,-0.075,0.0,0.0,0.0,0.2,0.075,0.325
base,uncertain vs plain,pr_k5_uncertain,pr_k5_plain,0.415368661377579,0.04888134655309841,0.7871934826322825,40,-0.05,-0.125,0.0,-0.3,-0.5,-0.12437500000000909,0.0,0.0,0.0,0.575,0.4,0.725
base,warning sys vs control sys (participant frame),pr_k5_plain_warnsys,pr_k5_plain,0.27011106070131063,0.12687265895307065,0.449690384189598,40,-0.05,-0.125,0.0,-0.2,-0.375,-0.05,0.025,0.0,0.075,-0.1,-0.2,-0.025
base,no sys vs control sys (participant frame),pr_k5_plain_nosys,pr_k5_plain,0.005365019477903843,-0.2532213176507503,0.28700810525100656,40,-0.025,-0.1,0.05,-0.3,-0.475,-0.1,0.0,0.0,0.0,-0.1,-0.2,-0.025
base,"prior-users frame vs participant frame (both control sys, 5 identical)",pu_k5_history_ctrlsys,pr_k5_plain,0.8358291195705533,0.3922303735837341,1.3440770343830803,40,-0.075,-0.175,0.0,-0.125,-0.325,0.05,0.025,0.0,0.075,-0.1,-0.2,-0.025
base,warning sys vs control sys (prior-users frame),pu_k5_history,pu_k5_history_ctrlsys,0.4892502037808299,0.284335556589067,0.7127116200327872,40,-0.025,-0.075,0.0,-0.425,-0.575,-0.275,0.075,0.0,0.175,0.0,0.0,0.0
