variant,condition,n_greedy_wrong,frac_belief_still_gt
instruct,auth_bias,4,0.0
instruct,auth_bias_ctrlsys,4,0.25
instruct,auth_trust,8,0.5
instruct,ngram_matched,4,0.25
instruct,ngram_matched_ctrlsys,6,0.3333333333333333
instruct,ngram_orig,2,0.5
instruct,pr_k0_plain,1,1.0
instruct,pr_k1_plain,1,0.0
instruct,pr_k2_plain,1,0.0
instruct,pr_k3_plain,3,0.3333333333333333
instruct,pr_k5_confident,10,0.3
instruct,pr_k5_filler,1,1.0
instruct,pr_k5_plain,2,0.5
instruct,pr_k5_plain_nosys,2,0.5
instruct,pr_k5_plain_warnsys,2,1.0
instruct,pr_k5_uncertain,6,0.3333333333333333
instruct,pr_k8_plain,1,1.0
instruct,pr_qd,1,1.0
instruct,pu_k1_history,3,0.6666666666666666
instruct,pu_k5_history,5,0.4
instruct,pu_k5_history_ctrlsys,5,0.6
instruct_dpo,auth_bias,4,0.0
instruct_dpo,auth_bias_ctrlsys,12,0.25
instruct_dpo,auth_trust,6,0.3333333333333333
instruct_dpo,control,1,0.0
instruct_dpo,ngram_matched,5,0.4
instruct_dpo,ngram_matched_ctrlsys,15,0.13333333333333333
instruct_dpo,ngram_orig,7,0.2857142857142857
instruct_dpo,pr_k0_plain,1,1.0
instruct_dpo,pr_k1_plain,1,1.0
instruct_dpo,pr_k3_plain,3,0.3333333333333333
instruct_dpo,pr_k5_confident,7,0.2857142857142857
instruct_dpo,pr_k5_da,2,0.5
instruct_dpo,pr_k5_filler,2,1.0
instruct_dpo,pr_k5_plain,4,0.5
instruct_dpo,pr_k5_plain_nosys,2,0.5
instruct_dpo,pr_k5_plain_warnsys,1,0.0
instruct_dpo,pr_k5_uncertain,3,0.3333333333333333
instruct_dpo,pr_k8_plain,5,0.4
instruct_dpo,pr_qd,2,1.0
instruct_dpo,pu_k1_history,3,0.3333333333333333
instruct_dpo,pu_k5_history,5,0.2
instruct_dpo,pu_k5_history_ctrlsys,5,0.4
instruct_sft,auth_bias,10,0.3
instruct_sft,auth_bias_ctrlsys,15,0.26666666666666666
instruct_sft,auth_trust,11,0.2727272727272727
instruct_sft,control,2,1.0
instruct_sft,ngram_matched,23,0.2608695652173913
instruct_sft,ngram_matched_ctrlsys,18,0.2777777777777778
instruct_sft,ngram_orig,13,0.3076923076923077
instruct_sft,pr_k0_plain,3,1.0
instruct_sft,pr_k1_plain,7,0.2857142857142857
instruct_sft,pr_k2_plain,15,0.4666666666666667
instruct_sft,pr_k3_plain,15,0.26666666666666666
instruct_sft,pr_k5_confident,22,0.2727272727272727
instruct_sft,pr_k5_correct,1,1.0
instruct_sft,pr_k5_da,13,0.38461538461538464
instruct_sft,pr_k5_diverse,6,0.5
instruct_sft,pr_k5_filler,2,0.5
instruct_sft,pr_k5_plain,17,0.29411764705882354
instruct_sft,pr_k5_plain_nosys,12,0.3333333333333333
instruct_sft,pr_k5_plain_warnsys,10,0.4
instruct_sft,pr_k5_uncertain,20,0.35
instruct_sft,pr_k8_plain,17,0.23529411764705882
instruct_sft,pr_qd,13,0.6153846153846154
instruct_sft,pu_k1_history,16,0.25
instruct_sft,pu_k5_history,23,0.30434782608695654
instruct_sft,pu_k5_history_ctrlsys,25,0.24
