variant,temperature,n,ctrl_acc,ctrl_refusal
claude_sonnet_4,0.0,400.0,0.65,0.1025
claude_sonnet_4,0.6,400.0,0.68,0.0975
gemini_25_flash_lite,0.0,400.0,0.6125,0.08
gemini_25_flash_lite,0.6,400.0,0.5975,0.07
gpt4o_mini,0.0,400.0,0.6,0.055
gpt4o_mini,0.6,400.0,0.6125,0.0625
gpt_oss_20b,0.0,400.0,0.52,0.1375
gpt_oss_20b,0.6,400.0,0.6175,0.0925
grok_41_fast,0.0,400.0,0.6375,0.135
grok_41_fast,0.6,400.0,0.645,0.13
instruct_32b,0.0,400.0,0.5925,0.1275
instruct_32b,0.6,400.0,0.6125,0.115
llama31_70b_instruct,0.0,400.0,0.62,0.06
llama31_70b_instruct,0.6,400.0,0.625,0.06
llama3_8b_instruct,0.0,400.0,0.385,0.255
llama3_8b_instruct,0.6,400.0,0.3625,0.2525
llama4_maverick,0.0,400.0,0.6775,0.025
llama4_maverick,0.6,400.0,0.645,0.0225
think,0.0,404.0,0.5123762376237624,0.1311881188118812
think_32b,0.0,400.0,0.63,0.115
think_32b,0.6,400.0,0.615,0.12
think_7b,0.6,400.0,0.47,0.2025
