subset,n,feature,chosen_rate,rejected_rate,cliffs_delta_rej_minus_cho,pairs_rej_only,pairs_cho_only,chosen_over_rejected_ratio,sign_test_p
all,259922,hedge,0.001081093558836882,0.001831318626357138,0.0007502250675202049,421,226,0.5903361344537815,1.5300309152158978e-14
all,259922,refusal,0.03011288001785151,0.015573902940112802,-0.014538977077738657,2254,6033,1.9335474308300395,0.0
all,259922,pushback,0.022783758204384393,0.02400335485260963,0.0012195966482251297,5617,5300,0.9491905754127263,0.0024899371237107073
all,259922,agree_user,0.016974323066150616,0.006082594008971922,-0.010891729057178723,1065,3896,2.7906388361796335,0.0
all,259922,definite,0.11762759597109902,0.11015997106824355,-0.007467624902855463,14012,15953,1.0677889148884154,3.6000442635757794e-29
all,259922,len,2136.4924823600927,1947.3756473095775,-0.10898106134330332,83847,171879,1.0971136900637493,0.0
pref=delta_learning,124942,hedge,0.0006162859566839013,0.001720798450481023,0.0011045124937971718,196,58,0.35813953488372097,1.0735048267465762e-18
pref=delta_learning,124942,refusal,0.04001056490211458,0.008283843703478413,-0.031726721198636176,438,4402,4.8299516908212565,0.0
pref=delta_learning,124942,pushback,0.017368058779273582,0.0208176593939588,0.0034496006146851332,2349,1918,0.8342945021145712,4.451642594607795e-11
pref=delta_learning,124942,agree_user,0.014774855532967297,0.004850250516239535,-0.009924605016727761,344,1584,3.046204620462046,1.2433221868967783e-189
pref=delta_learning,124942,definite,0.1166621312288902,0.11514142562148837,-0.0015207056074018066,5308,5498,1.0132072848602809,0.06903651775751923
pref=delta_learning,124942,len,1867.4417329640953,1698.9368747098654,-0.12034430115382411,32133,89755,1.0991825304180334,0.0
pref=llm_judged,124980,hedge,0.0014642342774843975,0.0019683149303888624,0.0005040806529044151,216,153,0.7439024390243901,0.0012184499294765343
pref=llm_judged,124980,refusal,0.022027524403904625,0.023587774043847015,0.0015602496399425014,1770,1575,0.933853459972863,0.0007931584105302073
pref=llm_judged,124980,pushback,0.029476716274603937,0.028748599775964154,-0.000728116498639797,3230,3321,1.025327024770387,0.266154413160315
pref=llm_judged,124980,agree_user,0.02030724915986558,0.00776124179868779,-0.012546007361177836,718,2286,2.6164948453608248,7.370328757113448e-189
pref=llm_judged,124980,definite,0.12386781885101616,0.11107377180348856,-0.012794047047527624,8573,10172,1.1151851318253854,1.6371679054247046e-31
pref=llm_judged,124980,len,2511.680148823812,2272.5688510161626,-0.09755419532511667,48560,75669,1.1052163051960924,0.0
pref=multiturn_self_talk,5000,hedge,0.0016,0.0002,-0.0013999999999999568,0,7,8.0,0.015625
pref=multiturn_self_talk,5000,refusal,0.0096,0.0028,-0.006800000000000028,2,36,3.4285714285714284,5.398760549724102e-09
pref=multiturn_self_talk,5000,pushback,0.0068,0.0032,-0.0036000000000000476,11,29,2.125,0.006426576095691416
pref=multiturn_self_talk,5000,agree_user,0.0042,0.0004,-0.0038000000000000256,2,21,10.499999999999998,6.604194641113281e-05
pref=multiturn_self_talk,5000,definite,0.0126,0.0124,-0.00019999999999997797,27,28,1.0161290322580645,1.0
pref=multiturn_self_talk,5000,len,910.0992,940.1378,-0.08990151999999996,1303,3546,0.9680487264739276,3.14743097620598e-236
pref=multiturn_synthetic_context,5000,hedge,0.0026,0.0028,0.00019999999999997797,9,8,0.9285714285714285,1.0
pref=multiturn_synthetic_context,5000,refusal,0.0054,0.0102,0.0047999999999999154,44,20,0.5294117647058824,0.0036899642765400487
pref=multiturn_synthetic_context,5000,pushback,0.0068,0.0058,-0.0010000000000000009,27,32,1.1724137931034484,0.6029232012571504
pref=multiturn_synthetic_context,5000,agree_user,0.0014,0.0006,-0.0008000000000000229,1,5,2.3333333333333335,0.21875
pref=multiturn_synthetic_context,5000,definite,0.0908,0.0606,-0.030200000000000005,104,255,1.4983498349834985,9.14104056608119e-16
pref=multiturn_synthetic_context,5000,len,707.8426,1034.1716,-0.050781879999999946,1851,2909,0.6844537212199601,2.0870401938524633e-53
same_model_pairs,0,hedge,,,,0,0,,1.0
same_model_pairs,0,refusal,,,,0,0,,1.0
same_model_pairs,0,pushback,,,,0,0,,1.0
same_model_pairs,0,agree_user,,,,0,0,,1.0
same_model_pairs,0,definite,,,,0,0,,1.0
same_model_pairs,0,len,,,,0,0,,1.0
different_model_pairs,259922,hedge,0.001081093558836882,0.001831318626357138,0.0007502250675202049,421,226,0.5903361344537815,1.5300309152158978e-14
different_model_pairs,259922,refusal,0.03011288001785151,0.015573902940112802,-0.014538977077738657,2254,6033,1.9335474308300395,0.0
different_model_pairs,259922,pushback,0.022783758204384393,0.02400335485260963,0.0012195966482251297,5617,5300,0.9491905754127263,0.0024899371237107073
different_model_pairs,259922,agree_user,0.016974323066150616,0.006082594008971922,-0.010891729057178723,1065,3896,2.7906388361796335,0.0
different_model_pairs,259922,definite,0.11762759597109902,0.11015997106824355,-0.007467624902855463,14012,15953,1.0677889148884154,3.6000442635757794e-29
different_model_pairs,259922,len,2136.4924823600927,1947.3756473095775,-0.10898106134330332,83847,171879,1.0971136900637493,0.0
