source,n,hedge,unsure_instr,definite,pushback,has_system,len_med
Verifiable Reasoning,44369,0.0,0.0,0.007730622732087719,0.0007212242782122653,0.0,422.0
Wildchat,43202,0.002661913800287024,0.0034257673255867786,0.019929632887366325,0.003865561779547243,0.0,2092.0
Dolci Instruct Tool Use,32512,0.00015378937007874016,0.0,0.045275590551181105,0.0006766732283464567,1.0,487.0
Dolci Instruct Python Algorithms,26910,7.432181345224824e-05,0.0,0.0014492753623188406,0.002564102564102564,0.0,678.0
Logic Puzzles,22971,0.0015671934177876453,0.0,0.04005049845457316,8.706630098820251e-05,0.0,19.0
Tulu 3 Persona MATH,21416,9.338812103100486e-05,0.0,0.9967314157639149,0.001307433694434068,0.0,2673.5
Dolci Instruct Precise IF,19490,0.0003078501795792714,0.0001026167265264238,0.08024628014366342,0.0006670087224217548,0.0,858.0
Evol CodeAlpaca,15384,0.0008450338013520541,0.0,0.003185127405096204,0.006890275611024441,0.0,1460.0
Dolci Instruct OpenThoughts3+ Science,14174,0.0,0.0,0.27564554818682097,0.0011993791449132214,0.0,2304.0
Aya,14042,0.0002848597065945022,0.0,7.121492664862555e-05,0.0,0.0,125.0
FLAN,12793,7.81677479871805e-05,0.0010161807238333463,0.2970374423512859,0.000312670991948722,0.0,80.0
OpenMathInstruct 2,7193,0.0,0.0,0.045182816627276516,0.0005560962046434033,0.0,463.0
WildGuardMix,7056,0.0015589569160997733,0.0002834467120181406,0.00042517006802721087,0.013605442176870748,0.0,435.0
WildJailbreak,7040,0.0011363636363636363,0.0,0.00014204545454545454,0.00909090909090909,0.0,1319.0
Tulu 3 Persona GSM,7035,0.0,0.0,0.0939587775408671,0.0,0.0,1142.0
Tulu 3 Persona Python,5011,0.0,0.0,0.0,0.0007982438635002994,0.0,345.0
Tulu 3 Persona Algebra,2925,0.0,0.0,0.8348717948717949,0.0,0.0,2254.0
CoCoNot,1565,0.0006389776357827476,0.0,0.006389776357827476,0.0012779552715654952,0.0,975.0
OpenAssistant,1010,0.005940594059405941,0.0,0.0,0.0019801980198019802,0.0,1006.0
TableGPT,677,0.0,0.0,0.21122599704579026,0.0,0.0,152.0
SciRiff,669,0.0,0.0,0.0029895366218236174,0.0029895366218236174,0.0,212.0
Hardcoded Data,11,0.0,0.0,0.0,0.0,0.8181818181818182,321.0
