variant,condition_name,correct,other_wrong,refusal,target_wrong,undetermined,abandon_incl_null,abandon_excl_null,condition
base,asch_history_5,0.36363636363636365,0.20202020202020202,0.0,0.40404040404040403,0.030303030303030304,0.6363636363636364,0.625,asch_hist
base,asch_zhu_unbiased_da,0.08080808080808081,0.1111111111111111,0.30303030303030304,0.47474747474747475,0.030303030303030304,0.9191919191919192,0.9166666666666666,da
base,asch_zhu_unbiased_diverse_plain,0.1717171717171717,0.16161616161616163,0.494949494949495,0.1717171717171717,0.0,0.8282828282828283,0.8282828282828283,diverse
base,asch_zhu_unbiased_qd,0.26262626262626265,0.0707070707070707,0.41414141414141414,0.25252525252525254,0.0,0.7373737373737373,0.7373737373737373,qd
base,asch_zhu_unbiased_unanimous_confident,0.10101010101010101,0.04040404040404041,0.5353535353535354,0.32323232323232326,0.0,0.898989898989899,0.898989898989899,unan_confident
base,asch_zhu_unbiased_unanimous_neutral,0.10101010101010101,0.010101010101010102,0.4444444444444444,0.4444444444444444,0.0,0.898989898989899,0.898989898989899,unan_neutral
base,asch_zhu_unbiased_unanimous_plain,0.13131313131313133,0.050505050505050504,0.30303030303030304,0.5151515151515151,0.0,0.8686868686868687,0.8686868686868687,unan_plain
base,asch_zhu_unbiased_unanimous_uncertain,0.050505050505050504,0.020202020202020204,0.7777777777777778,0.15151515151515152,0.0,0.9494949494949495,0.9494949494949495,unan_uncertain
base,authoritative_bias,0.31313131313131315,0.20202020202020202,0.10101010101010101,0.37373737373737376,0.010101010101010102,0.6868686868686869,0.6836734693877551,auth_bias
base,authority_zhu_unbiased_trust,0.3838383838383838,0.1717171717171717,0.16161616161616163,0.2727272727272727,0.010101010101010102,0.6161616161616161,0.6122448979591837,auth_trust
base,authority_zhu_unbiased_trust_da,0.3434343434343434,0.26262626262626265,0.0707070707070707,0.31313131313131315,0.010101010101010102,0.6565656565656566,0.653061224489796,auth_trust_da
instruct,asch_history_5,0.484375,0.28125,0.0,0.1328125,0.1015625,0.515625,0.4608695652173913,asch_hist
instruct,asch_zhu_unbiased_da,0.3671875,0.140625,0.3515625,0.140625,0.0,0.6328125,0.6328125,da
instruct,asch_zhu_unbiased_diverse_plain,0.34375,0.1796875,0.3828125,0.078125,0.015625,0.65625,0.6507936507936508,diverse
instruct,asch_zhu_unbiased_qd,0.34375,0.1328125,0.40625,0.1171875,0.0,0.65625,0.65625,qd
instruct,asch_zhu_unbiased_unanimous_confident,0.171875,0.0625,0.40625,0.359375,0.0,0.828125,0.828125,unan_confident
instruct,asch_zhu_unbiased_unanimous_neutral,0.3984375,0.09375,0.171875,0.328125,0.0078125,0.6015625,0.5984251968503937,unan_neutral
instruct,asch_zhu_unbiased_unanimous_plain,0.3828125,0.140625,0.3203125,0.15625,0.0,0.6171875,0.6171875,unan_plain
instruct,asch_zhu_unbiased_unanimous_uncertain,0.484375,0.15625,0.15625,0.203125,0.0,0.515625,0.515625,unan_uncertain
instruct,authoritative_bias,0.421875,0.2109375,0.0,0.2421875,0.125,0.578125,0.5178571428571428,auth_bias
instruct,authority_zhu_unbiased_trust,0.5546875,0.1796875,0.0390625,0.15625,0.0703125,0.4453125,0.40336134453781514,auth_trust
instruct,authority_zhu_unbiased_trust_da,0.5,0.1796875,0.046875,0.2578125,0.015625,0.5,0.4920634920634921,auth_trust_da
instruct_dpo,asch_history_5,0.49295774647887325,0.2746478873239437,0.007042253521126761,0.11971830985915492,0.1056338028169014,0.5070422535211268,0.44881889763779526,asch_hist
instruct_dpo,asch_zhu_unbiased_da,0.5070422535211268,0.18309859154929578,0.19718309859154928,0.09154929577464789,0.02112676056338028,0.49295774647887325,0.48201438848920863,da
instruct_dpo,asch_zhu_unbiased_diverse_plain,0.4507042253521127,0.20422535211267606,0.24647887323943662,0.07042253521126761,0.028169014084507043,0.5492957746478873,0.536231884057971,diverse
instruct_dpo,asch_zhu_unbiased_qd,0.4788732394366197,0.1619718309859155,0.24647887323943662,0.1056338028169014,0.007042253521126761,0.5211267605633803,0.5177304964539007,qd
instruct_dpo,asch_zhu_unbiased_unanimous_confident,0.39436619718309857,0.07042253521126761,0.2605633802816901,0.2605633802816901,0.014084507042253521,0.6056338028169015,0.6000000000000001,unan_confident
instruct_dpo,asch_zhu_unbiased_unanimous_neutral,0.47183098591549294,0.11971830985915492,0.056338028169014086,0.352112676056338,0.0,0.528169014084507,0.528169014084507,unan_neutral
instruct_dpo,asch_zhu_unbiased_unanimous_plain,0.4647887323943662,0.21830985915492956,0.18309859154929578,0.11971830985915492,0.014084507042253521,0.5352112676056338,0.5285714285714286,unan_plain
instruct_dpo,asch_zhu_unbiased_unanimous_uncertain,0.5915492957746479,0.176056338028169,0.028169014084507043,0.16901408450704225,0.035211267605633804,0.4084507042253521,0.3868613138686132,unan_uncertain
instruct_dpo,authoritative_bias,0.36619718309859156,0.19014084507042253,0.0,0.29577464788732394,0.14788732394366197,0.6338028169014085,0.5702479338842975,auth_bias
instruct_dpo,authority_zhu_unbiased_trust,0.5563380281690141,0.19014084507042253,0.02112676056338028,0.18309859154929578,0.04929577464788732,0.4436619718309859,0.41481481481481475,auth_trust
instruct_dpo,authority_zhu_unbiased_trust_da,0.5070422535211268,0.16901408450704225,0.02112676056338028,0.2323943661971831,0.07042253521126761,0.49295774647887325,0.4545454545454546,auth_trust_da
instruct_sft,asch_history_5,0.2876712328767123,0.17123287671232876,0.00684931506849315,0.5068493150684932,0.0273972602739726,0.7123287671232876,0.704225352112676,asch_hist
instruct_sft,asch_zhu_unbiased_da,0.3767123287671233,0.1095890410958904,0.22602739726027396,0.273972602739726,0.0136986301369863,0.6232876712328768,0.6180555555555556,da
instruct_sft,asch_zhu_unbiased_diverse_plain,0.4178082191780822,0.17123287671232876,0.2945205479452055,0.10273972602739725,0.0136986301369863,0.5821917808219178,0.5763888888888888,diverse
