variant,feature,drop_in_deviance,df,pseudoR2_full,share
base,frame,24.072968293025042,1,0.05533265984845992,0.1147396052808099
base,system,0.29173094312136527,1,0.05533265984845992,0.0013904846653930263
base,n_wrong,-9.094947017729282e-13,1,0.05533265984845992,-4.334947889108041e-15
base,lexical,3.0031016404300317,1,0.05533265984845992,0.014313760257846241
base,consensus,3.58381258557165,4,0.05533265984845992,0.017081617707610797
base,temperature,3.647968521585426,1,0.05533265984845992,0.01738740578845891
base,domain,175.20563944882906,7,0.05533265984845992,0.8350871262998855
instruct_sft,frame,4.942293172629434,1,0.11221222183225432,0.005988507765398303
instruct_sft,system,9.915769498662485,0,0.11221222183225432,0.012014799723232081
instruct_sft,n_wrong,1.8189894035458565e-12,0,0.11221222183225432,2.204044112283246e-15
instruct_sft,lexical,67.7573209924085,1,0.11221222183225432,0.08210060163422997
instruct_sft,consensus,0.5100629898570332,4,0.11221222183225432,0.000618036216976589
instruct_sft,temperature,3.7379851961704844,1,0.11221222183225432,0.00452926457260354
instruct_sft,domain,738.4328466632724,6,0.11221222183225432,0.8947487900875573
instruct_dpo,frame,55.377422908315566,1,0.04244078754632996,0.09971432461658154
instruct_dpo,system,22.865790938712962,1,0.04244078754632996,0.04117286035597257
instruct_dpo,n_wrong,-1.8189894035458565e-12,1,0.04244078754632996,-3.275329373119986e-15
instruct_dpo,lexical,1.4947260646295035,1,0.04244078754632996,0.002691450634459749
instruct_dpo,consensus,0.49408729198694346,4,0.04244078754632996,0.0008896690751334274
instruct_dpo,temperature,15.305217248354893,1,0.04244078754632996,0.027559054229672243
instruct_dpo,domain,459.82351360609573,7,0.04244078754632996,0.8279726410881837
instruct,frame,83.41516670192141,1,0.050647210509669804,0.2094127522637167
instruct,system,19.302795914938542,1,0.050647210509669804,0.04845943224422037
instruct,n_wrong,0.0,1,0.050647210509669804,0.0
instruct,lexical,0.259741499872689,1,0.050647210509669804,0.0006520778476630764
instruct,consensus,2.915534191417464,4,0.050647210509669804,0.007319412805652733
instruct,temperature,15.680315473327937,1,0.050647210509669804,0.039365239553699895
instruct,domain,276.7554199807091,7,0.050647210509669804,0.6947910852850472
think_sft,frame,1.140648097227313,1,0.23758766181935986,0.0012482232926435749
think_sft,system,672.4202213224853,0,0.23758766181935986,0.7358365693499322
think_sft,n_wrong,0.0,1,0.23758766181935986,0.0
think_sft,lexical,0.7822391404406517,1,0.23758766181935986,0.0008560125755603021
think_sft,consensus,1.4605769947829685,4,0.23758766181935986,0.0015983248733935638
think_sft,temperature,5.84464906530593,1,0.23758766181935986,0.006395861368967417
think_sft,domain,232.16901196329127,7,0.23758766181935986,0.25406500853950287
think_dpo,frame,4.670701394945354,2,0.18903517710392437,0.002513631110681689
think_dpo,system,428.1648403661384,1,0.18903517710392437,0.23042544839391865
think_dpo,n_wrong,0.0,1,0.18903517710392437,0.0
think_dpo,lexical,0.012497389474447118,2,0.18903517710392437,6.725719400360788e-06
think_dpo,consensus,2.1099531559666502,5,0.18903517710392437,0.0011355133729290432
think_dpo,temperature,1073.977365197803,1,0.18903517710392437,0.5779823390659578
think_dpo,domain,349.2137460364356,7,0.18903517710392437,0.1879363423371125
think,frame,1.622175915978005,1,0.274369387648542,0.0015601539761922554
think,system,810.163725795117,1,0.274369387648542,0.7791880928055415
think,n_wrong,0.0,1,0.274369387648542,0.0
think,lexical,0.036938790428393986,1,0.274369387648542,3.552648032494443e-05
think,consensus,6.644683499343955,4,0.274369387648542,0.0063906320393065826
think,temperature,11.844706147998295,1,0.274369387648542,0.011391838093273083
think,domain,209.44149975997425,7,0.274369387648542,0.2014337566053617
