variant,family,n,judge_null,think_open,think_unclosed,empty,raw_len_med,raw_len_p90,p_correct,p_refusal,p_other
base,authority_ctrl,800,0.06375,0.0,0.0,0.0,567.0,675.1,0.1775,0.17,0.28
base,control,400,0.1125,0.0,0.0,0.0,574.5,683.0,0.2475,0.0675,0.635
base,participant_frame,2800,0.1742857142857143,0.0,0.0,0.0,584.0,649.0,0.06642857142857143,0.4625,0.07714285714285714
base,warning_sys_frames,800,0.0425,0.0,0.0,0.0,602.5,701.0,0.19125,0.05375,0.23125
instruct,authority_ctrl,800,0.16375,0.0,0.0,0.0,464.5,652.1,0.25375,0.07375,0.39375
instruct,control,400,0.1625,0.0,0.0,0.0,398.5,623.1,0.32,0.095,0.5175
instruct,participant_frame,2800,0.1332142857142857,0.0,0.0,0.03857142857142857,21.0,382.0,0.18535714285714286,0.31607142857142856,0.2307142857142857
instruct,warning_sys_frames,800,0.185,0.0,0.0,0.0,549.0,668.0,0.2325,0.01,0.4975
instruct_dpo,authority_ctrl,800,0.1325,0.0,0.0,0.0,501.5,654.0,0.28,0.04125,0.38625
instruct_dpo,control,400,0.13,0.0,0.0,0.0,413.0,633.0,0.355,0.065,0.5175
instruct_dpo,participant_frame,2800,0.13107142857142856,0.0,0.0,0.005,211.5,489.0,0.25214285714285717,0.2546428571428571,0.2739285714285714
instruct_dpo,warning_sys_frames,800,0.175,0.0,0.0,0.0,548.5,670.0,0.2475,0.01,0.4925
instruct_sft,authority_ctrl,800,0.1,0.0,0.0,0.0,372.0,593.2,0.225,0.02,0.3525
instruct_sft,control,400,0.1,0.0,0.0,0.0,312.0,562.0,0.365,0.045,0.53
instruct_sft,participant_frame,2800,0.09071428571428572,0.0,0.0,0.0175,37.5,313.0999999999999,0.1375,0.22535714285714287,0.18178571428571427
instruct_sft,warning_sys_frames,800,0.08875,0.0,0.0,0.0,281.5,560.2,0.17125,0.00875,0.30125
think,authority_ctrl,800,0.0,0.0,0.0,0.0,1182.0,1327.0,0.085,0.105,0.47125
think,control,400,0.295,0.0,0.0,0.0,1188.5,1324.5,0.545,0.045,0.405
think,participant_frame,2800,0.00035714285714285714,0.0,0.0,0.0,1190.0,1317.0,0.055357142857142855,0.24785714285714286,0.405
think,warning_sys_frames,800,0.0725,0.0,0.0,0.0,1180.5,1325.0,0.3875,0.0225,0.40375
think_dpo,authority_ctrl,798,0.0012531328320802004,0.0,0.0,0.0,1193.0,1346.3000000000002,0.07017543859649122,0.10025062656641603,0.4799498746867168
think_dpo,control,400,0.2875,0.0,0.0,0.0,1192.5,1352.0,0.5525,0.045,0.4
think_dpo,participant_frame,2796,0.0,0.0,0.0,0.0,1195.5,1330.0,0.06831187410586552,0.2213876967095851,0.4005722460658083
think_dpo,warning_sys_frames,800,0.04375,0.0,0.0,0.0,1181.0,1329.1,0.4325,0.0225,0.37875
think_sft,authority_ctrl,800,0.0,0.0,0.0,0.0,1158.0,1310.0,0.08625,0.1175,0.5125
think_sft,control,400,0.315,0.0,0.0,0.0,1162.0,1303.0,0.495,0.06,0.44
think_sft,participant_frame,2800,0.002142857142857143,0.0,0.0,0.0,1165.0,1300.0,0.09071428571428572,0.2257142857142857,0.41285714285714287
think_sft,warning_sys_frames,800,0.0625,0.0,0.0,0.0,1159.0,1301.0,0.37,0.03125,0.37625
