location,uuid,model_id,variant,temperature,total_trials,has_manual,manual_cov_%,has_judge,judge_cov_%,judge_match,judge_mismatch,match_%,parse_errors,refusals,n_conditions,n_datasets,error
runs,a34ad9b1-abd0-4119-96c6-7b1cd61d7f4d,allenai/olmo-3.1-32b-think,think_32b,0.0,1600,1400,87.5,0,0.0,0,0,0.0,0,213,4,8,
runs,7db9896e-9e3b-439f-88e3-74fe25ea2bad,allenai/olmo-3.1-32b-think,think_32b,0.6,1600,1400,87.5,0,0.0,0,0,0.0,0,229,4,8,
runs,1c2e5cb6-0372-4835-bbb7-7230c55517e4,allenai/olmo-3.1-32b-instruct,instruct_32b,0.0,1600,1400,87.5,1600,100.0,0,0,0.0,0,85,4,8,
runs,62187f52-7a7e-4db0-a269-d14d8e887b1b,allenai/olmo-3.1-32b-instruct,instruct_32b,0.6,1600,1400,87.5,1597,99.8,0,0,0.0,0,104,4,8,
runs,1899a883-82e4-45f3-833a-d6403cf1ac95,meta-llama/llama-3-8b-instruct,llama3_8b_instruct,0.0,1600,1400,87.5,1596,99.8,0,0,0.0,0,43,4,8,
runs,70860876-c5c2-4445-a59d-e44ae8094887,meta-llama/llama-3-8b-instruct,llama3_8b_instruct,0.6,1600,1400,87.5,1598,99.9,0,0,0.0,0,46,4,8,
runs,3a0404f7-bd47-4b25-b2e2-5501e550566f,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,0.0,1600,1400,87.5,1592,99.5,0,0,0.0,0,6,4,8,
runs,49d07104-c14c-4a8b-a013-ae0783c5f3e8,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,0.6,1600,1400,87.5,0,0.0,0,0,0.0,0,21,4,8,
runs,485ddc2d-6cae-4715-835e-76ab72e38159,meta-llama/llama-4-maverick,llama4_maverick,0.0,1600,1400,87.5,1596,99.8,0,0,0.0,0,55,4,8,
runs,c2ce0f85-8f67-40f2-a82d-e136927cf6f5,meta-llama/llama-4-maverick,llama4_maverick,0.6,1600,1400,87.5,1599,99.9,0,0,0.0,0,43,4,8,
runs,e043fbf6-27eb-410c-8da7-bc0f9172ab0b,google/gemini-2.5-flash-lite,gemini_25_flash_lite,0.0,1600,1400,87.5,0,0.0,0,0,0.0,0,149,4,8,
runs,d71e75b1-17c5-4789-8ee7-13b29ef18359,google/gemini-2.5-flash-lite,gemini_25_flash_lite,0.6,1600,1400,87.5,0,0.0,0,0,0.0,0,155,4,8,
runs,25056752-7081-449e-9a44-ad090b566107,x-ai/grok-4.1-fast,grok_41_fast,0.0,1600,1400,87.5,0,0.0,0,0,0.0,0,87,4,8,
runs,157a6a9e-13de-4bdb-bdd2-54d761498f24,x-ai/grok-4.1-fast,grok_41_fast,0.6,1600,1400,87.5,0,0.0,0,0,0.0,0,78,4,8,
runs,c07ede3a-16ac-4b47-ac42-4f6ad8dd8370,openai/gpt-4o-mini,gpt4o_mini,0.0,1600,1400,87.5,0,0.0,0,0,0.0,0,12,4,8,
runs,eb63d212-77fe-46ef-965b-7777cc232f1f,openai/gpt-4o-mini,gpt4o_mini,0.6,1600,1400,87.5,0,0.0,0,0,0.0,0,14,4,8,
runs,66765d5e-204c-4074-aaf4-b9c148fe61a5,openai/gpt-oss-20b,gpt_oss_20b,0.0,143,142,99.3,0,0.0,0,0,0.0,0,2,4,1,
runs,3ecdc9b7-49db-4625-b90e-fc3745b9224e,openai/gpt-oss-20b,gpt_oss_20b,0.6,1600,1400,87.5,0,0.0,0,0,0.0,0,132,4,8,
runs/think,f47fe05e-4564-4680-a2d8-39a88c6f8d37,allenai/Olmo-3-7B-Think,think,0.0,1609,1408,87.5,1135,70.5,0,0,0.0,0,179,4,8,
runs_latest/runs,9f240f89-e58e-423a-ae68-f990b31c84cd,allenai/Olmo-3-1025-7B,base,0.0,34794,30444,87.5,34794,100.0,0,0,0.0,0,2203,12,8,
runs_latest/runs,46f0762a-210a-459a-8709-d24a0f194eb0,allenai/Olmo-3-1025-7B,base,0.2,34746,30396,87.5,34746,100.0,0,0,0.0,0,2012,12,8,
runs_latest/runs,bbd05985-d185-460a-b0aa-dd356d27ec94,allenai/Olmo-3-1025-7B,base,0.4,37978,33178,87.4,37978,100.0,0,0,0.0,0,2116,12,8,
runs_latest/runs,86c72262-d1aa-41b5-9c22-d7b2e0570215,allenai/Olmo-3-1025-7B,base,0.6,38170,33370,87.4,38170,100.0,0,0,0.0,0,1990,12,8,
runs_latest/runs,9369442d-d825-4cd0-81a1-8ed276c37814,allenai/Olmo-3-1025-7B,base,0.8,34800,30900,88.8,34800,100.0,0,0,0.0,0,1489,12,8,
runs_latest/runs,9173bfae-4e8a-464f-8c9c-7ee91caa8b6e,allenai/Olmo-3-1025-7B,base,1.0,34800,30900,88.8,34800,100.0,0,0,0.0,0,1417,12,8,
