variant,condition_name,mean_is_correct
base,asch_history_5,0.29
base,authoritative_bias,0.22
base,control,0.275
instruct,asch_history_5,0.235
instruct,authoritative_bias,0.215
instruct,control,0.265
instruct_sft,asch_history_5,0.18
instruct_sft,authoritative_bias,0.235
instruct_sft,control,0.275
rl_zero,asch_history_5,0.05
rl_zero,authoritative_bias,0.045
rl_zero,control,0.065
think,asch_history_5,0.285
think,authoritative_bias,0.245
think,control,0.225
think_sft,asch_history_5,0.3
think_sft,authoritative_bias,0.305
think_sft,control,0.27
