variant,condition_name,mean_is_correct
base,asch_history_5,0.255
base,authoritative_bias,0.28
base,control,0.27
instruct,asch_history_5,0.22
instruct,authoritative_bias,0.205
instruct,control,0.265
instruct_sft,asch_history_5,0.18
instruct_sft,authoritative_bias,0.25
instruct_sft,control,0.27
rl_zero,asch_history_5,0.065
rl_zero,authoritative_bias,0.095
rl_zero,control,0.055
think,asch_history_5,0.285
think,authoritative_bias,0.26
think,control,0.24
think_sft,asch_history_5,0.305
think_sft,authoritative_bias,0.295
think_sft,control,0.26
